"id","label","description","name","uuid:ID","instanceType"
"ScheduledActivityInstance_9","Screen One","-","SCREEN1","94d59b22-2248-4939-9294-b2ffda5beda0","ScheduledActivityInstance"
"ScheduledActivityInstance_10","Screen Two","-","SCREEN2","8c1ef671-d380-4afe-9e98-05839d77deda","ScheduledActivityInstance"
"ScheduledActivityInstance_11","Dose","-","DOSE","bc8987a5-ff3c-4b2e-921e-86c76d2bf860","ScheduledActivityInstance"
"ScheduledActivityInstance_12","Week 2","-","WK2","881b4ed0-b449-4e21-931b-ebecb3590e6f","ScheduledActivityInstance"
"ScheduledActivityInstance_13","Week 4","-","WK4","a813abbd-d1dc-4bd1-840b-d4b02d18ee5e","ScheduledActivityInstance"
"ScheduledActivityInstance_14","Week 6","-","WK6","ac3f84b2-140f-4ded-aec6-8c3199ae061f","ScheduledActivityInstance"
"ScheduledActivityInstance_15","Week 8","-","WK8","b564631d-280a-4d3c-b8f9-fcee10b3503c","ScheduledActivityInstance"
"ScheduledActivityInstance_16","Week NPI","-","WK8N","fdde054a-637c-448b-86fa-aff338473342","ScheduledActivityInstance"
"ScheduledActivityInstance_17","Week 12","-","WK12","2fd6d915-b502-461e-961a-ffc33f9f000f","ScheduledActivityInstance"
"ScheduledActivityInstance_18","Week 12 NPI","-","WK12N","30097cb4-c318-4852-83f6-afd6bff8100f","ScheduledActivityInstance"
"ScheduledActivityInstance_19","Week 16","-","WK16","e92a9932-cbbf-4f44-852f-54e6e5c21d76","ScheduledActivityInstance"
"ScheduledActivityInstance_20","Week 16 NPI","-","WK16N","31ef7890-13de-43c3-8f45-cdb812c5d605","ScheduledActivityInstance"
"ScheduledActivityInstance_21","Week 20","-","WK20","92a64b51-1ae7-449a-8ff6-3f5c476b3130","ScheduledActivityInstance"
"ScheduledActivityInstance_22","Week 20 NPI","-","WK20N","3b563bf9-732b-4a60-b3ef-27c3f7404635","ScheduledActivityInstance"
"ScheduledActivityInstance_23","Week 24","-","WK24","4ed0f332-dd5d-4175-85ca-5a1693b54af7","ScheduledActivityInstance"
"ScheduledActivityInstance_24","Week 26","-","WK26","b3cc6239-3c13-464c-afcc-dab8ae43ca6e","ScheduledActivityInstance"
"ScheduledActivityInstance_1","Adevers Event","-","AE","0dc3ffb1-73c8-45d2-bebd-4eca33ec9b0f","ScheduledActivityInstance"
"ScheduledActivityInstance_2","Early Termination","-","ET","0445316d-651f-412d-bcde-5654d43db7b3","ScheduledActivityInstance"
"ScheduledActivityInstance_3","5 minute supine","","VS_5MIN","81c96fc4-a06e-4c41-a805-576e5ab06910","ScheduledActivityInstance"
"ScheduledActivityInstance_4","Vital signs supine","","VS_SUPINE","2f84a379-bc1a-481b-b1b6-5a33c91f4ce8","ScheduledActivityInstance"
"ScheduledActivityInstance_5","1 minute standing","","VS_1MIN","4f456509-8980-41bc-86da-1b688d332562","ScheduledActivityInstance"
"ScheduledActivityInstance_6","Vital signs after 1 min standing","","VS_STAND1","e793fa67-7047-43db-a730-653cc01cff45","ScheduledActivityInstance"
"ScheduledActivityInstance_7","2 minute standing","","VS_2MIN","822326d1-217e-4647-afa6-b698144815b9","ScheduledActivityInstance"
"ScheduledActivityInstance_8","Vital signs after 3 min standing","","VS_STAND3","7e6489a3-6bbf-4d7d-a504-48f88ab9f535","ScheduledActivityInstance"
