"id","text","uuid:ID","name","instanceType"
"TransitionRule_1","Subject identifier","8cc3aedf-37a5-4b59-838c-67549c63865d","ENCOUNTER_START_RULE_1","TransitionRule"
"TransitionRule_2","completion of screening activities","012666d8-0631-433a-bb8c-b75bfdc602a7","ENCOUNTER_START_RULE_1","TransitionRule"
"TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","203e9820-b086-4264-adb7-7952faae595d","ENCOUNTER_START_RULE_2","TransitionRule"
"TransitionRule_4","subject has connection of ambulatory ECG machine removed","203cf7fe-a866-4de6-8db6-ee8b1c2e6f3b","ENCOUNTER_START_RULE_3","TransitionRule"
"TransitionRule_5","Radomized","41485a29-6649-4608-a8c1-d9c2062d78e2","ENCOUNTER_START_RULE_3","TransitionRule"
"TransitionRule_6","End of treatment","6fb57bff-f15c-4046-9fb7-f983924216bc","ENCOUNTER_START_RULE_12","TransitionRule"
"TransitionRule_7","Informed consent","620048ea-5e01-47b6-90a9-ececf15470e5","ELEMENT_START_RULE_1","TransitionRule"
"TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","d68bae7e-3b0c-4578-8623-295de88fe9c4","ELEMENT_END_RULE_1","TransitionRule"
"TransitionRule_9","Administration of first dose","f485c9b4-437e-4552-b017-1e43cf49a7d0","ELEMENT_START_RULE_2","TransitionRule"
"TransitionRule_14","End of last scheduled visit on study (including early termination)","c2755157-4e31-4e61-8c3e-5898a577824c","ELEMENT_START_RULE_7","TransitionRule"
"TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","c603f147-5fc8-4b43-972a-0100aaaec84a","ELEMENT_END_RULE_7","TransitionRule"
"TransitionRule_10","Administration of first dose","65b36db7-2441-450e-9026-29c84d8cc83c","ELEMENT_START_RULE_3","TransitionRule"
"TransitionRule_11","Randomized","75ec083f-45aa-4ce9-a9a1-e515a9ba73f7","ELEMENT_START_RULE_4","TransitionRule"
"TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","1d3e96c1-b7bd-41a5-a78a-6b9733c448ee","ELEMENT_START_RULE_5","TransitionRule"
"TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","f49f5620-deda-4e32-b964-bec65eb9692d","ELEMENT_START_RULE_6","TransitionRule"
