"id","label","description","name","uuid:ID","instanceType"
"Activity_1","Informed consent","","Informed consent","adf82e15-cf30-4c16-8364-721d8fff2d22","Activity"
"Activity_2","Inclusion and exclusion criteria","","Inclusion/exclusion criteria","5f605b59-89b6-4cb3-953a-6b1bd794abba","Activity"
"Activity_3","Patient number assigned","","Patient number assigned","2a878615-0391-4577-8b9a-b384f6c5f68d","Activity"
"Activity_4","Demographics","","Demographics","f08c792c-e093-4637-a291-2ce4eebc99e3","Activity"
"Activity_5","Hachinski Ischemic Scale","","Hachinski","ec2a24fc-ea4b-4d4e-97e2-e1884d489722","Activity"
"Activity_6","MMSE","","MMSE","2a1a6daf-cefb-4e5f-9424-1b1ac1a5cc9b","Activity"
"Activity_7","Physical examination","","Physical examination","b5c0e634-9d6c-45f6-ac71-b3770439705a","Activity"
"Activity_8","Medical history","","Medical history","fce06049-973a-400e-a55c-b45adf5d27e6","Activity"
"Activity_9","Habits","","Habits","43608412-9c37-4a90-9c32-3215a28f9852","Activity"
"Activity_10","Chest X-ray","","Chest X-ray","e0b1cca3-704d-4909-a9aa-565a5369133d","Activity"
"Activity_11","Apo E genotyping","","Apo E genotyping","77e5f516-08ca-4a21-8ee5-fa18061ba897","Activity"
"Activity_12","Patient randomised","","Patient randomised","11a23f2c-4f35-47bf-936f-0c46a6cfba79","Activity"
"Activity_13","Vital Signs and Temperature","","Vital signs / Temperature","f10b1ae3-a393-4a7e-98cb-9e3d2fd28a5a","Activity"
"Activity_14","Ambulatory ECG placed","","Ambulatory ECG placed","01ad8126-a1f8-4d77-80dd-625e70707c91","Activity"
"Activity_15","Ambulatory ECG removed","","Ambulatory ECG removed","e26124aa-0e0e-443f-908e-4a79f7c9056e","Activity"
"Activity_16","ECG","","ECG","f81627a1-7a2b-4f39-bfdf-afdbf028efb0","Activity"
"Activity_17","Placebo TTS test","","Placebo TTS test","31deb23a-3432-4fb6-9bc6-df912e097ef5","Activity"
"Activity_18","CT scan","","CT scan","b20bf82d-e382-482a-9cd7-2ad47ff7ac8a","Activity"
"Activity_19","Concomitant medications","","Concomitant medications","e27bf10c-535a-47df-9427-93d39055bb9d","Activity"
"Activity_20","Hematology","","Hematology","218c8088-4041-4b94-a13d-9b180f454e81","Activity"
"Activity_21","Chemistry","","Chemistry","f8331936-ba92-4cc0-859a-bca33ec6d149","Activity"
"Activity_22","Uninalysis","","Uninalysis","6c3b3041-cc94-4325-817e-92f691cc4fa0","Activity"
"Activity_23","Plasma Specimen (Xanomeline)","","Plasma Specimen (Xanomeline)","173cc4fe-45ca-4925-be30-62afddc1cd55","Activity"
"Activity_24","Hemoglobin A1C","","Hemoglobin A1C","bdcd9077-3558-4003-b371-32367a654dc1","Activity"
"Activity_25","Study drug record , Medications dispensed, Medications returned","","Study drug","aaf334e7-afa7-461e-af9e-ebc7a29babeb","Activity"
"Activity_26","TTS Acceptability Survey","","TTS Acceptability Survey","d9d385a4-1996-443e-b57d-a7e060eb23d5","Activity"
"Activity_27","ADAS-Cog","","ADAS-Cog","3ee8d144-5de8-4984-bf58-2144a6c98122","Activity"
"Activity_28","CIBIC+","","CIBIC+","9de34c5d-e53b-4ca8-971b-cebd2953f779","Activity"
"Activity_29","DAD","","DAD","58e3dad1-856c-4043-bc14-e8608c89166b","Activity"
"Activity_30","NPI-X","","NPI-X","1e8a0ff1-eba1-4463-8c56-ac76e1ae792c","Activity"
"Activity_31","Adverse events","","Adverse events","d51a4526-cacb-4b4f-989b-d640f8ca39b6","Activity"
"Activity_32","Check adverse events","","Check adverse events","be2bcc25-cb69-4c79-9013-386191bd70f9","Activity"
"Activity_33","Subject supine","","Supine","808638cc-c1c0-4ef7-9236-e7ebe0e9d9ee","Activity"
"Activity_34","Vital signs while supine","","Vital Signs Supine","3f73aca8-532b-4153-82c1-7f59ece22c2b","Activity"
"Activity_35","Subject Standing","","Stand","7262a378-69f0-4304-9a7f-d3806a9ab2e9","Activity"
"Activity_36","Vital signs while standing","","Vital Signs Standing","563e0c98-440f-4a3c-8856-cba658c6a09f","Activity"
