"id","codeSystemVersion","decode","code","codeSystem","uuid:ID","instanceType"
"Code_1","2023-12-15","Interventional Study","C98388","http://www.cdisc.org","b3c6c3e7-449a-409f-9b8d-a7d227bd6b4e","Code"
"Code_2","2023-12-15","Phase II Trial","C15601","http://www.cdisc.org","7021e27b-6e15-49dd-9253-ec81aaacf880","Code"
"Code_9","2023-12-15","Sponsor Approval Date","C132352","http://www.cdisc.org","2e2de2bf-2c54-4351-94bb-9c21a694a88d","Code"
"Code_10","2023-12-15","Global","C68846","http://www.cdisc.org","6eca450f-a9ec-4bb6-9bbf-868eebf3fa9f","Code"
"Code_72","2023-12-15","IRB/IEC Feedback","C99904x3","http://www.cdisc.org","7934d36f-84c0-4de5-ae4a-50ad7e0e30a5","Code"
"Code_73","2023-12-15","Other","C17649","http://www.cdisc.org","10366df5-db24-48cd-9bc9-012cfd0f349f","Code"
"Code_75","2023-12-15","Region","C41129","http://www.cdisc.org","7974c2ab-232a-44b7-92d4-19ed9f27e560","Code"
"Code_74","2020-08","Europe","150","ISO 3166 1 alpha3","e08306dc-1ce3-4d87-af96-80d43742cca9","Code"
"Code_4","12","Eli Lilly","PHARMA","SPONSOR","98eaa5a3-5452-4683-8461-0e5e3701b0f1","Code"
"Code_76","2023-12-15","Clinical Study Sponsor","C70793","http://www.cdisc.org","cad33f0a-61d1-4e09-abe8-f9730d3acbed","Code"
"Code_77","2020-08","United States of America","USA","ISO 3166 1 alpha3","f7b86312-f23d-4560-8d2a-cee6ef118204","Code"
"Code_78","2023-12-15","Study Registry","C93453","http://www.cdisc.org","177811d1-1cb2-4b5f-b4fd-6f98eb92b209","Code"
"Code_79","2020-08","United States of America","USA","ISO 3166 1 alpha3","c4a33337-25b5-4cee-80f8-a9bb4cc2b8ea","Code"
"Code_137","2023-12-15","Treatment Study","C49656","http://www.cdisc.org","b15e3235-22ad-41da-9736-9c15be7f0d09","Code"
"Code_138","2023-12-15","Efficacy Study","C49666","http://www.cdisc.org","98c9e06f-3215-4ed8-9518-5f1f19bddeee","Code"
"Code_139","2023-12-15","Safety Study","C49667","http://www.cdisc.org","72f20bd3-a0d6-4f0e-a31d-7856126af596","Code"
"Code_140","2023-12-15","Pharmacokinetic Study","C49663","http://www.cdisc.org","f78b9ddc-5cd2-47da-ba1d-4b74d36853bf","Code"
"Code_134","12","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","SPONSOR","376ebdc2-c651-4d2a-8e48-63fc5624cc17","Code"
"Code_135","January 31, 2018","Alzheimer's disease","26929004","SNOMED","e9a1f082-92aa-4f39-9a77-f5b56f3cd855","Code"
"Code_143","2023-12-15","EXTENSION","C99907x1","http://www.cdisc.org","ca93bee5-3519-4bc0-bd0c-7bfab0826e5c","Code"
"Code_144","2023-12-15","ADAPTIVE","C98704","http://www.cdisc.org","d6cc6b86-394a-4deb-91b9-afbd971af6dd","Code"
"Code_141","2023-12-15","Parallel Study","C82639","http://www.cdisc.org","484c2745-23d6-4687-bb90-a7609f68e5ba","Code"
"Code_83","2023-12-15","Visit","C25716","http://www.cdisc.org","4f9d43f5-7147-4ce5-a891-de3dfd5e0789","Code"
"Code_84","2023-12-15","Clinic","C51282","http://www.cdisc.org","029bbf8b-e66a-42a3-842b-b45695b0cd0a","Code"
"Code_85","2023-12-15","In Person","C175574","http://www.cdisc.org","d048e1ce-9ce7-47b1-ad90-129e3b72aed5","Code"
"Code_86","2023-12-15","Visit","C25716","http://www.cdisc.org","75d037d6-7290-4193-9ec7-d1a736ec6bd7","Code"
"Code_87","2023-12-15","Clinic","C51282","http://www.cdisc.org","18bba75a-266b-4a80-a249-0c4c7e8d91f5","Code"
"Code_88","2023-12-15","In Person","C175574","http://www.cdisc.org","f9eb5ced-78af-4d7a-a2e7-8bed5d6b6c10","Code"
"Code_89","2023-12-15","Visit","C25716","http://www.cdisc.org","08a8c403-85d5-4a0e-977e-0cf66ec821af","Code"
"Code_90","2023-12-15","Clinic","C51282","http://www.cdisc.org","b39b2b6d-bdb0-4f3e-b9d9-533c3877f47c","Code"
"Code_91","2023-12-15","In Person","C175574","http://www.cdisc.org","8aa7ba70-ba30-4fed-8b60-62b70e2a232b","Code"
"Code_92","2023-12-15","Visit","C25716","http://www.cdisc.org","eff1e00e-f7bb-4927-93ca-a9133e923328","Code"
"Code_93","2023-12-15","Clinic","C51282","http://www.cdisc.org","f47ab46c-fc7c-4031-a4c9-cc0296bd2228","Code"
"Code_94","2023-12-15","In Person","C175574","http://www.cdisc.org","15ca2f07-7fdb-42f8-8aa9-7d4608706cbc","Code"
"Code_95","2023-12-15","Visit","C25716","http://www.cdisc.org","b41fb5c7-1cca-4f3e-accc-cee346fcce00","Code"
"Code_96","2023-12-15","Clinic","C51282","http://www.cdisc.org","71490bd0-e39a-4804-b69e-ba8e57e94ab7","Code"
"Code_97","2023-12-15","In Person","C175574","http://www.cdisc.org","f92ce696-7c7f-4a08-b31c-7b298d5ed385","Code"
"Code_98","2023-12-15","Visit","C25716","http://www.cdisc.org","88e6ffbf-ce9b-40c8-8965-52957e9d8565","Code"
"Code_99","2023-12-15","Clinic","C51282","http://www.cdisc.org","f5a8f7b4-dabc-42c4-8e8c-cc98c68e838c","Code"
"Code_100","2023-12-15","In Person","C175574","http://www.cdisc.org","3b444e44-d054-4b34-8dbd-00c604c7fc1e","Code"
"Code_101","2023-12-15","Visit","C25716","http://www.cdisc.org","ba13e69c-d4c5-446c-85d6-8b23d049dbae","Code"
"Code_102","2023-12-15","Clinic","C51282","http://www.cdisc.org","27d0a8ae-0cd4-4c70-9ee4-84e00e7bf0be","Code"
"Code_103","2023-12-15","In Person","C175574","http://www.cdisc.org","964a1341-dbc3-45d0-aa9f-907213167f13","Code"
"Code_104","2023-12-15","Telephone Call","C171537","http://www.cdisc.org","6599349c-5254-4025-8b7d-2abbea4c8116","Code"
"Code_105","2023-12-15","Visit","C25716","http://www.cdisc.org","1f44cbcb-b166-4786-88aa-9ddfd1da8473","Code"
"Code_106","2023-12-15","Clinic","C51282","http://www.cdisc.org","6db28e8d-91c3-4503-85b5-223e0979aaef","Code"
"Code_107","2023-12-15","In Person","C175574","http://www.cdisc.org","5f0142ab-3687-4bd2-a638-9483312ffaec","Code"
"Code_108","2023-12-15","Telephone Call","C171537","http://www.cdisc.org","cf699ca4-a824-47eb-9bf8-834ede12221a","Code"
"Code_109","2023-12-15","Visit","C25716","http://www.cdisc.org","4d1d4558-57bf-4b0d-ace0-8249e1855ced","Code"
"Code_110","2023-12-15","Clinic","C51282","http://www.cdisc.org","5232a15a-5b86-4ac8-bd53-cc049770323e","Code"
"Code_111","2023-12-15","In Person","C175574","http://www.cdisc.org","15f7969d-27f9-4d35-b2f0-60fe026d26d2","Code"
"Code_112","2023-12-15","Telephone Call","C171537","http://www.cdisc.org","bc84e992-0e07-45e6-87d9-4c97d192a702","Code"
"Code_113","2023-12-15","Visit","C25716","http://www.cdisc.org","2ce6b165-80fc-4e9a-997c-350a110877eb","Code"
"Code_114","2023-12-15","Clinic","C51282","http://www.cdisc.org","1e6bd447-39d2-4ae3-baf5-1ed33afc30ca","Code"
"Code_115","2023-12-15","In Person","C175574","http://www.cdisc.org","54d2b4ca-6baf-41cf-890f-c3bb5bae3af1","Code"
"Code_116","2023-12-15","Telephone Call","C171537","http://www.cdisc.org","aeeec20d-af8a-4bd4-a888-f56a2ffe59f6","Code"
"Code_117","2023-12-15","Visit","C25716","http://www.cdisc.org","d5ea1997-a751-44af-9ed9-83b757964be2","Code"
"Code_118","2023-12-15","Clinic","C51282","http://www.cdisc.org","481e15c6-f78a-484b-b75b-ed66dc56d1f5","Code"
"Code_119","2023-12-15","In Person","C175574","http://www.cdisc.org","e17ec2d4-5b39-4102-900d-22ebefde7986","Code"
"Code_120","2023-12-15","Visit","C25716","http://www.cdisc.org","290bfaaf-4be1-4f0a-b75e-ffdbc3cb9bd0","Code"
"Code_121","2023-12-15","Clinic","C51282","http://www.cdisc.org","57003dbe-5ad1-471d-8bc6-58b10909d968","Code"
"Code_122","2023-12-15","In Person","C175574","http://www.cdisc.org","6d73b20c-c383-4007-9040-d6ae6006a06f","Code"
"Code_80","January 31, 2018","CT of head without contrast","383371000119108","SNOMED","23387fb2-c66e-4b53-9a00-e5444b4762d8","Code"
"Code_81","12","Subject Supine","123","SPONSOR","89c346c8-25ee-4a4a-abe9-6d34c417dfde","Code"
"Code_82","12","Subject Standing","124","SPONSOR","e10a6692-77a0-413f-b140-91c3cb8536b2","Code"
"Code_429","2023-12-15","Dictionary-derived Term","C82977","http://www.cdisc.org","e27fd16c-aa21-4055-b4cf-8655ffd4ad4d","Code"
"Code_430","2023-12-15","Reported Event Term","C82571","http://www.cdisc.org","5470451b-78d5-4af8-b92e-c89cde4997fa","Code"
"Code_431","2023-12-15","Observation Start Date Time","C82517","http://www.cdisc.org","c5f6c376-31de-4635-b1d8-729181b0c2ba","Code"
"Code_432","2023-12-15","Informed Consent","C16735","http://www.cdisc.org","a0dd9812-58ff-4900-b5c7-d6e3cc5ee415","Code"
"Code_433","2023-12-15","Male","C20197","http://www.cdisc.org","92e38ead-64ea-48d5-a130-2748e2b98cab","Code"
"Code_434","2023-12-15","Female","C16576","http://www.cdisc.org","7d53f34d-2a89-4cf7-8e39-70df57fb2524","Code"
"Code_435","2023-12-15","Sex","C28421","http://www.cdisc.org","29c3c54b-e3c2-47c3-b8c5-d2c782d4c8db","Code"
"Code_436","2023-12-15","Sex","C28421","http://www.cdisc.org","fa1270a1-5588-4d70-9972-5252364fc0d1","Code"
"Code_437","2023-12-15","Race","C17049","http://www.cdisc.org","de6c6c62-2b93-4712-bb1f-427678ec7f8b","Code"
"Code_438","2023-12-15","Race","C17049","http://www.cdisc.org","804f0527-0021-4a1a-92db-c7038897986c","Code"
"Code_439","2023-12-15","TEMP","C174446","http://www.cdisc.org","6e42e88f-a1ac-45c4-853e-74ba2da096c0","Code"
"Code_440","2023-12-15","Clinical Test Result","C77140","http://www.cdisc.org","c8090826-b1d6-453a-a7bb-d7f020cba855","Code"
"Code_441","2023-12-15","Degree Celsius","C42559","http://www.cdisc.org","5a82d83f-1a4f-41c1-b55d-c44d823a54ca","Code"
"Code_442","2023-12-15","Degree Fahrenheit","C44277","http://www.cdisc.org","da345cb4-72bc-4f90-9535-984c5e5033bf","Code"
"Code_443","2023-12-15","Kelvin","C42537","http://www.cdisc.org","48de0f63-0bd3-48d3-9d2b-6a95078dd878","Code"
"Code_444","2023-12-15","Unit of Temperature","C44276","http://www.cdisc.org","5fa28a26-3dbb-4a2b-8633-6d92a8e04a90","Code"
"Code_445","2023-12-15","Axilla","C12674","http://www.cdisc.org","1290b1b0-2ad6-4355-9101-ea374bc3a683","Code"
"Code_446","2023-12-15","Ear","C12394","http://www.cdisc.org","3c1b3d0e-76e0-49b3-a436-9c0e1356301a","Code"
"Code_447","2023-12-15","Forehead","C89803","http://www.cdisc.org","99754bc5-9f3c-4706-9032-17afbbb98e5e","Code"
"Code_448","2023-12-15","Oral Cavity","C12421","http://www.cdisc.org","cf1e5db6-fa0e-4a89-b88d-8878e0e8e654","Code"
"Code_449","2023-12-15","Rectum","C12390","http://www.cdisc.org","d1fbb8c4-175d-4d61-a15e-79668015e7fd","Code"
"Code_450","2023-12-15","Anatomic Site","C13717","http://www.cdisc.org","10092d02-0730-4454-9d7f-5948a0856eef","Code"
"Code_451","2023-12-15","TEMP","C174446","http://www.cdisc.org","b05a880b-5e37-402b-8f41-6dbf4cbc645f","Code"
"Code_452","2023-12-15","WEIGHT","C25208","http://www.cdisc.org","c0b7a419-a697-41dd-bf37-4bff8b448e18","Code"
"Code_453","2023-12-15","Clinical Test Result","C77140","http://www.cdisc.org","68bb404c-198e-429e-9370-32be9081d7c8","Code"
"Code_454","2023-12-15","Pound","C48531","http://www.cdisc.org","2bcd364e-296a-4cce-95f4-8f5cba2a1fb4","Code"
"Code_455","2023-12-15","Gram","C48155","http://www.cdisc.org","7b85aad2-2a3b-4880-88c0-cc81163b4f74","Code"
"Code_456","2023-12-15","Kilogram","C28252","http://www.cdisc.org","c18e684e-e8fc-4868-b635-8a25f6cc513e","Code"
"Code_457","2023-12-15","Unit of Weight","C48208","http://www.cdisc.org","849acd4b-e050-4c1d-834e-e38e9a56817b","Code"
"Code_458","2023-12-15","WEIGHT","C25208","http://www.cdisc.org","b7872c40-94df-437e-922a-305652f98014","Code"
"Code_459","2023-12-15","HEIGHT","C25347","http://www.cdisc.org","7f007b38-af69-4b83-8529-7ed9ec56ec33","Code"
"Code_460","2023-12-15","Clinical Test Result","C77140","http://www.cdisc.org","d190bfeb-65eb-44b9-ac45-ecf8e105683a","Code"
"Code_461","2023-12-15","Centimeter","C49668","http://www.cdisc.org","5ec2d4e4-185f-48b3-aa5b-91fe72e34f45","Code"
"Code_462","2023-12-15","Inch","C48500","http://www.cdisc.org","3b9eaebb-d9d2-46d4-95ad-fc6f04beb6d4","Code"
"Code_463","2023-12-15","Meter","C41139","http://www.cdisc.org","a1b29882-c34f-4481-a9b1-c1bfdb6eb11b","Code"
"Code_464","2023-12-15","Unit of Height","C168688","http://www.cdisc.org","a025b9f8-25cb-4bc3-917f-ad3fad3e76e3","Code"
"Code_465","2023-12-15","HEIGHT","C25347","http://www.cdisc.org","8fa3b204-61d9-4536-8488-fc64b09f99a1","Code"
"Code_466","2023-12-15","ALT","C64433","http://www.cdisc.org","1b463ba4-f23e-4e5a-9a09-b6293da72aa3","Code"
"Code_467","2023-12-15","Laboratory Test Result","C36292","http://www.cdisc.org","3682b090-1789-4043-aefb-a908c7fcc611","Code"
