"id","label","reference","synonyms","name","uuid:ID","instanceType"
"BiomedicalConcept_20","Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained","fcf42987-f245-43f9-b8a5-534f411bb88b","BiomedicalConcept"
"BiomedicalConcept_21","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","Sex","6849afeb-a87f-4bdf-a07c-e1d08b74044e","BiomedicalConcept"
"BiomedicalConcept_22","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","Race","77bee565-d39b-4c9c-b4d7-4c72718a3305","BiomedicalConcept"
"BiomedicalConcept_23","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","Temperature","d0bc9755-38cb-442a-9534-ab370ae448e3","BiomedicalConcept"
"BiomedicalConcept_24","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","Weight","35711748-c3f9-439b-9f08-44431003c913","BiomedicalConcept"
"BiomedicalConcept_25","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","Height","7580479d-d2cb-417a-a93f-f9808b2e538a","BiomedicalConcept"
"BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","42c62f20-6a07-4aaf-a9ff-bfa836ab74c3","BiomedicalConcept"
"BiomedicalConcept_27","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","2c98be78-455e-4e37-939d-de643eee068b","BiomedicalConcept"
"BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","94fcb99e-b358-46f5-9e18-8d83a738451b","BiomedicalConcept"
"BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","98b080ae-97ac-4a74-9b23-b00e47a49ca2","BiomedicalConcept"
