"description","label","name","uuid:ID","id","instanceType"
"Screening encounter","Screening 1","E1","ab4d966a-8edb-44e0-8057-17a5481b5bbc","Encounter_1","Encounter"
"Screening encounter - Ambulatory ECG Placement","Screening 2","E2","12c49a68-902b-4812-a02c-fd91b071aad3","Encounter_2","Encounter"
"Baseline encounter - Ambulatory ECG Removal","Baseline","E3","579d9deb-ba71-46dc-a5d4-a555be733619","Encounter_3","Encounter"
"Day 14","Week 2","E4","be541771-0157-46f3-acee-daa235646e91","Encounter_4","Encounter"
"Day 28","Week 4","E5","8cc17f4a-bcf4-4600-ad21-f40311587bd1","Encounter_5","Encounter"
"Day 42","Week 6","E7","dffed985-1e5c-43ee-8756-b174e1de8e0d","Encounter_6","Encounter"
"Day 56","Week 8","E8","9e013e51-33c8-4c7e-9d83-9511d39cb801","Encounter_7","Encounter"
"Day 84","Week 12","E9","750bafc3-0a05-44ad-b5c6-4bb0612764fd","Encounter_8","Encounter"
"Day 112","Week 16","E10","3d98622b-f77c-4b30-aa5d-bb18257cf184","Encounter_9","Encounter"
"Day 140","Week 20","E11","69ed94a5-8b0c-414d-9948-e2332ae36786","Encounter_10","Encounter"
"Day 168","Week 24","E12","b5a0e9df-f53c-4f21-975c-4b70f7fa8351","Encounter_11","Encounter"
"Day 182","Week 26","E13","788af2e0-9c46-42c8-8806-4aee0fcd6c05","Encounter_12","Encounter"
