"description","purpose","label","name","uuid:ID","id","text","instanceType"
"","","","END1","5c260d6c-2831-47bf-a1ba-22595bbbc1a9","Endpoint_1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint"
"","","","END2","2345a0a5-a34e-499a-94a3-4054dbebea5e","Endpoint_2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint"
"","","","END3","37dd539d-7329-4e9f-a1f3-824374291e93","Endpoint_3","Adverse events","Endpoint"
"","","","END4","39f7a08c-d0f5-472f-a384-b10c70473629","Endpoint_4","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint"
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","","END5","5ab47126-e4b4-4135-8470-ef069a3d799c","Endpoint_5","Laboratory evaluations (Change from Baseline)","Endpoint"
"","","","END6","a476ca7f-5729-4e02-9a38-7a321e266a35","Endpoint_6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint"
"","","","END7","6075a124-b4c5-4b48-94da-448d44f7222b","Endpoint_7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint"
"","","","END8","ec7bc52b-9c33-4287-9c1b-a8d6f1db9ad9","Endpoint_8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint"
"","","","END9","7e351ba6-0755-4e67-9199-25588326ee63","Endpoint_9","*** To be determined from protocol ***","Endpoint"
"","","","END10","a36d2f20-e815-46e2-8411-e0944227c3ea","Endpoint_10","*** To be determined from protocol ***","Endpoint"
"","","","END11","8d3ffb2d-a114-4c43-887b-b02f26ae0be7","Endpoint_11","*** To be determined from protocol ***","Endpoint"
