"name","uuid:ID","id","text","instanceType"
"ENCOUNTER_START_RULE_1","acb03633-05e9-48d2-97eb-f0cee5e0ec18","TransitionRule_1","Subject identifier","TransitionRule"
"ENCOUNTER_START_RULE_1","3e1bb9b0-4974-4c16-b4dd-84e6f03be86e","TransitionRule_2","completion of screening activities","TransitionRule"
"ENCOUNTER_START_RULE_2","02fb0c0d-dc89-4eee-87ee-cfae3ce3e6f3","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"ENCOUNTER_START_RULE_3","e74c2a10-0a65-45d9-b361-4ff8d64be96a","TransitionRule_4","subject has connection of ambulatory ECG machine removed","TransitionRule"
"ENCOUNTER_START_RULE_3","53c87a43-981a-4f21-8e86-71d5fe6736b5","TransitionRule_5","Radomized","TransitionRule"
"ENCOUNTER_START_RULE_12","c9a84e16-bbef-4f20-aa3b-9afdcef767d4","TransitionRule_6","End of treatment","TransitionRule"
"ELEMENT_START_RULE_1","a23b3706-d9d2-4247-948c-9daf500a1c49","TransitionRule_7","Informed consent","TransitionRule"
"ELEMENT_END_RULE_1","156a7a0f-49f6-4cf1-be59-e7e3f02988c4","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"ELEMENT_START_RULE_2","01b93faf-a66c-4e72-bba4-0264ade0c851","TransitionRule_9","Administration of first dose","TransitionRule"
"ELEMENT_START_RULE_7","d1eedcea-4825-42c4-8738-1c7af41f0e43","TransitionRule_14","End of last scheduled visit on study (including early termination)","TransitionRule"
"ELEMENT_END_RULE_7","5f80f46b-34d5-494b-beee-5566d393342d","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"ELEMENT_START_RULE_3","e078f2ea-4157-4717-bc55-7290ed552c4c","TransitionRule_10","Administration of first dose","TransitionRule"
"ELEMENT_START_RULE_4","dce9e430-fa3a-4901-bdbc-c2814a76578b","TransitionRule_11","Randomized","TransitionRule"
"ELEMENT_START_RULE_5","674f5db6-e842-4ad6-abf6-b2ed1b4927a7","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"ELEMENT_START_RULE_6","d1cfedf8-7cce-4a8b-9c6a-5e777db7fbc9","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
