"value","description","valueLabel","label","name","windowLabel","uuid:ID","id","windowUpper","windowLower","instanceType"
"P2W","Screening timing","2 weeks","Screening","TIM1","","5e15f62e-5b7b-4d9d-980f-246ff3525d7f","Timing_1","","","Timing"
"P2D","Pre dose timing","2 days","Pre dose","TIM2","-4..0 hours","10c679d1-d47b-40a2-b9db-d1e398a74475","Timing_2","PT0H","PT4H","Timing"
"P1D","Dosing anchor","1 Day","Dosing","TIM3","","e502716e-e2d2-40c3-a01f-335619961dbb","Timing_3","","","Timing"
"P2W","Week 2 timing","2 Weeks","Week 2","TIM4","-3..3 days","c79418f2-611c-4600-afe0-7d3a741483d3","Timing_4","P3D","P3D","Timing"
"P4W","Week 4 timing","4 Weeks","Week 4","TIM5","-3..3 days","640f0f5c-cb1b-48d7-84cc-3d6402217760","Timing_5","P3D","P3D","Timing"
"P6W","Week 6 timing","6 Weeks","Week 6","TIM6","-3..3 days","ae4ff216-211a-42d4-a720-9ad616906481","Timing_6","P3D","P3D","Timing"
"P8W","Week 8 timing","8 Weeks","Week 8","TIM7","-3..3 days","eecfdad4-40f4-4180-ba12-b8dc25d0052b","Timing_7","P3D","P3D","Timing"
"P12W","Week 12 timing","12 Weeks","Week 12","TIM9","-4..4 days","637a185a-ad6b-4181-a35c-18623e53e44c","Timing_9","P4D","P4D","Timing"
"P16W","Week 16 timing","16 Weeks","Week 16","TIM11","-4..4 days","0c07091c-e54f-4392-a1b9-d01ea09b3bef","Timing_11","P4D","P4D","Timing"
"P20W","Week 20 timing","20 Weeks","Week 20","TIM13","-4..4 days","888ce022-b564-488e-bdb8-162f8f344bbd","Timing_13","P4D","P4D","Timing"
"P24W","Week 24 timing","24 Weeks","Week 24","TIM15","-4..4 days","b05fa8a7-0382-411d-aa2b-fbb2e6b1cfae","Timing_15","P4D","P4D","Timing"
"P26W","Week 26 timing","26 Weeks","Week 26","TIM16","-3..3 days","462c0130-7a65-4465-a919-9deae5310951","Timing_16","P3D","P3D","Timing"
"P2W","Week 8 at home timing","2 Weeks","Week 8 Home","TIM8","","0ca3e0da-bacd-43dd-a3ff-66db5154e942","Timing_8","","","Timing"
"P2W","Week 12 at home timing","2 Weeks","Week 12 Home","TIM10","","ba219676-4f48-4159-b265-bd4282fa1846","Timing_10","","","Timing"
"P2W","Week 16 at home timing","2 Weeks","Week 16 Home","TIM12","","ee8147a8-6443-4f22-98b5-d8a3df1428f5","Timing_12","","","Timing"
"P2W","Week 20 at home timing","2 Weeks","Week 20 Home","TIM14","","3670337c-1c98-4f54-a959-43e496b62372","Timing_14","","","Timing"
"P1D","Adverse Event","1 Day","Adverse Event","TIM17","","db6b959d-0dde-49e0-9d5b-97e1567d4339","Timing_17","","","Timing"
"P1D","Early Termination","1 Day","Early Termination","TIM18","","6cbd91d5-abdc-4059-8f4b-982633182597","Timing_18","","","Timing"
"PT0M","Supine","0 mins","Supine","TIM19","","c7f89ba0-18c4-4514-b83b-7485296dd457","Timing_19","","","Timing"
"PT5M","VS while supine","5 mins","VS while supine","TIM20","","8849d72c-3862-462f-bf8e-f5181e472cab","Timing_20","","","Timing"
"PT0M","Standing","0 min","Standing","TIM21","","7242dda8-c261-4d7d-ae58-bb499b256a36","Timing_21","","","Timing"
"PT1M","VS while standing","1 min","VS while standing","TIM22","","2858c361-3928-4853-8592-2252f0bafc3b","Timing_22","","","Timing"
"PT0M","Standing","0 min","Standing","TIM23","","2dadc30e-b12a-4afe-aff1-9c4f9ea98197","Timing_23","","","Timing"
"PT2M","VS while standing","2 min","VS while standing","TIM24","","54ca9881-3f1d-4ad5-9b5d-1f130cdfebfc","Timing_24","","","Timing"
