"codeSystem","codeSystemVersion","id","uuid:ID","decode","code","instanceType"
"http://www.cdisc.org","2023-12-15","Code_1","b59ec157-435c-4b2b-8220-4b818b762d2d","Interventional Study","C98388","Code"
"http://www.cdisc.org","2023-12-15","Code_2","e9b8f645-99d7-4649-88bb-0184b3a9c624","Phase II Trial","C15601","Code"
"http://www.cdisc.org","2023-12-15","Code_9","2689281e-d830-4b2d-b882-64b28334a4e5","Sponsor Approval Date","C132352","Code"
"http://www.cdisc.org","2023-12-15","Code_10","a4412b3e-5f15-4b73-9af4-3c9b1001a0ea","Global","C68846","Code"
"http://www.cdisc.org","2023-12-15","Code_72","dfbd4dec-d0df-49be-85d0-b37c2c23a143","IRB/IEC Feedback","C99904x3","Code"
"http://www.cdisc.org","2023-12-15","Code_73","db92bc4a-4c8d-4d89-ae3c-71a10e6f668e","Other","C17649","Code"
"http://www.cdisc.org","2023-12-15","Code_75","ef690fd1-899c-486a-a02a-db3b08171d64","Region","C41129","Code"
"ISO 3166 1 alpha3","2020-08","Code_74","93e9a4f8-03cf-444f-97e1-6342b41402c6","Europe","150","Code"
"SPONSOR","12","Code_4","88aa8964-6fa9-4bfa-b14d-64ebeaa12d79","Eli Lilly","PHARMA","Code"
"http://www.cdisc.org","2023-12-15","Code_76","56d83976-bb5f-4536-a502-f084a9c77fa0","Clinical Study Sponsor","C70793","Code"
"ISO 3166 1 alpha3","2020-08","Code_77","61e5dabf-a37b-4637-b786-1e28567de5ef","United States of America","USA","Code"
"http://www.cdisc.org","2023-12-15","Code_78","1c4baed5-8d3f-45eb-99e7-1cc69b8d0db2","Study Registry","C93453","Code"
"ISO 3166 1 alpha3","2020-08","Code_79","a1011e7d-52a7-458b-b199-4d4fb95ba66d","United States of America","USA","Code"
"http://www.cdisc.org","2023-12-15","Code_137","31e92727-b85a-41de-bf3b-ac843e8eda69","Treatment Study","C49656","Code"
"http://www.cdisc.org","2023-12-15","Code_138","f01d2bff-eb84-486e-bb81-9eeffa97e142","Efficacy Study","C49666","Code"
"http://www.cdisc.org","2023-12-15","Code_139","1135edd5-2f34-4d1b-9650-af83e7b37f68","Safety Study","C49667","Code"
"http://www.cdisc.org","2023-12-15","Code_140","828694cb-e8c4-45c0-899d-58d7c3e515b6","Pharmacokinetic Study","C49663","Code"
