"description","label","name","uuid:ID","id","instanceType"
"-","Screen One","SCREEN1","13fb5e52-4f9d-406c-9c06-b53548dbfaf5","ScheduledActivityInstance_9","ScheduledActivityInstance"
"-","Screen Two","SCREEN2","e708646e-86b2-4aeb-83d1-4b799181a7ea","ScheduledActivityInstance_10","ScheduledActivityInstance"
"-","Dose","DOSE","be17614a-36d1-4d44-b5d0-a2bc6dc4e4f9","ScheduledActivityInstance_11","ScheduledActivityInstance"
"-","Week 2","WK2","c17d76b8-4a6e-4561-918e-1a5042e39a0a","ScheduledActivityInstance_12","ScheduledActivityInstance"
"-","Week 4","WK4","2d21f843-5867-44c8-a7a2-7320661976fa","ScheduledActivityInstance_13","ScheduledActivityInstance"
"-","Week 6","WK6","e72d4b17-dfb5-4cee-a16d-769477f1fc2b","ScheduledActivityInstance_14","ScheduledActivityInstance"
"-","Week 8","WK8","f6708a0e-529f-4376-a53b-c2646b78cd31","ScheduledActivityInstance_15","ScheduledActivityInstance"
"-","Week NPI","WK8N","46921708-c7bf-4a78-9843-6507cc9af941","ScheduledActivityInstance_16","ScheduledActivityInstance"
"-","Week 12","WK12","9307812a-8ac2-418a-bc9a-85aaa68079bb","ScheduledActivityInstance_17","ScheduledActivityInstance"
"-","Week 12 NPI","WK12N","6b7ab472-0f94-45ae-9773-9a98079cd0f0","ScheduledActivityInstance_18","ScheduledActivityInstance"
"-","Week 16","WK16","e99fdb20-e148-4654-a65a-62fb746427a1","ScheduledActivityInstance_19","ScheduledActivityInstance"
"-","Week 16 NPI","WK16N","c7e0c8ba-275a-4cc5-b3cf-9d5512716b01","ScheduledActivityInstance_20","ScheduledActivityInstance"
"-","Week 20","WK20","f72ff337-5fb7-4260-ac63-d20ddf788935","ScheduledActivityInstance_21","ScheduledActivityInstance"
"-","Week 20 NPI","WK20N","7546ecc8-e744-4f15-905a-b0f832bdea02","ScheduledActivityInstance_22","ScheduledActivityInstance"
"-","Week 24","WK24","b63fc4d8-3a69-4f74-b3e2-4cbdf8e87b1a","ScheduledActivityInstance_23","ScheduledActivityInstance"
"-","Week 26","WK26","0cbfaca9-6e79-4e7b-8c91-eb7f237cebbd","ScheduledActivityInstance_24","ScheduledActivityInstance"
"-","Adevers Event","AE","1680e9b1-1874-430b-86cf-e37fd3e47c59","ScheduledActivityInstance_1","ScheduledActivityInstance"
"-","Early Termination","ET","95461d72-678b-4878-9e9d-1185ff8a47e9","ScheduledActivityInstance_2","ScheduledActivityInstance"
"","5 minute supine","VS_5MIN","0a5da23b-c964-4bb4-a471-529c9685c68c","ScheduledActivityInstance_3","ScheduledActivityInstance"
"","Vital signs supine","VS_SUPINE","b2002f38-8379-4597-a836-d5e6b85ba43e","ScheduledActivityInstance_4","ScheduledActivityInstance"
"","1 minute standing","VS_1MIN","d1c46477-7c77-45d8-aa70-870529535612","ScheduledActivityInstance_5","ScheduledActivityInstance"
"","Vital signs after 1 min standing","VS_STAND1","77000972-b82d-4055-9b33-e15ca46fc9e3","ScheduledActivityInstance_6","ScheduledActivityInstance"
"","2 minute standing","VS_2MIN","a5f8ec75-7e6e-46d2-9982-7498e00035fa","ScheduledActivityInstance_7","ScheduledActivityInstance"
"","Vital signs after 3 min standing","VS_STAND3","13710d79-5659-4d7f-b7bd-9b31830911f5","ScheduledActivityInstance_8","ScheduledActivityInstance"
