"description","label","name","uuid:ID","id","instanceType"
"","Informed consent","Informed consent","66e2cdb0-c2f4-40f5-9c32-44253d99d45b","Activity_1","Activity"
"","Inclusion and exclusion criteria","Inclusion/exclusion criteria","96034254-429e-4828-a85b-160b12a98ee3","Activity_2","Activity"
"","Patient number assigned","Patient number assigned","217e77c8-e93b-49cb-80b1-572b3a9c0875","Activity_3","Activity"
"","Demographics","Demographics","84b35710-3eb9-4c5c-8540-0d3a9b88ea09","Activity_4","Activity"
"","Hachinski Ischemic Scale","Hachinski","175bb252-07b5-49a0-aa5a-72169959156a","Activity_5","Activity"
"","MMSE","MMSE","3c24b5ac-1653-416f-ad90-1e70ebe3053e","Activity_6","Activity"
"","Physical examination","Physical examination","8bedeb60-4d97-4b23-8289-04ab517f56f1","Activity_7","Activity"
"","Medical history","Medical history","b1db21e6-d0f5-44fe-aed3-e0c03398e14a","Activity_8","Activity"
"","Habits","Habits","b9825109-d899-4a8f-a721-4b0c8c8de9b9","Activity_9","Activity"
"","Chest X-ray","Chest X-ray","cdc24c40-edd1-441d-864d-050ddf353f21","Activity_10","Activity"
"","Apo E genotyping","Apo E genotyping","5d46fa53-f2f6-491f-bf24-e0356c4c0ce7","Activity_11","Activity"
"","Patient randomised","Patient randomised","6da0339f-61aa-4a9f-b20f-65dd100481da","Activity_12","Activity"
"","Vital Signs and Temperature","Vital signs / Temperature","4eb57626-4929-43b5-81b2-a8b5cc444301","Activity_13","Activity"
"","Ambulatory ECG placed","Ambulatory ECG placed","e56a8189-c911-44b8-8e4d-647b8ea640eb","Activity_14","Activity"
"","Ambulatory ECG removed","Ambulatory ECG removed","01c50363-fabb-4766-8a0b-c75ac9c2c7dd","Activity_15","Activity"
"","ECG","ECG","e5388874-947b-4c77-b496-e2176fa9034b","Activity_16","Activity"
"","Placebo TTS test","Placebo TTS test","4da481a5-c8a2-4c6a-89a5-09e15d60d2b0","Activity_17","Activity"
"","CT scan","CT scan","a26f8b47-0cc5-4b9b-94ac-3d7edb7027cd","Activity_18","Activity"
"","Concomitant medications","Concomitant medications","c86da87b-0d3a-4b3c-a452-2a6f5c07517a","Activity_19","Activity"
"","Hematology","Hematology","7f45a5cf-a78a-41d0-a879-fd4b3a586915","Activity_20","Activity"
"","Chemistry","Chemistry","abc89c06-4bd1-442b-b474-9e40f7707bb9","Activity_21","Activity"
"","Uninalysis","Uninalysis","41a659a2-e99e-439b-b34f-cbe03f397aff","Activity_22","Activity"
"","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","0973c145-1f28-4d05-9fc2-18722ed26c60","Activity_23","Activity"
"","Hemoglobin A1C","Hemoglobin A1C","a407cd9f-ae85-461a-a60e-91c2827ee6f2","Activity_24","Activity"
"","Study drug record , Medications dispensed, Medications returned","Study drug","b270bfdc-d7b4-494e-af26-22c300f24b49","Activity_25","Activity"
"","TTS Acceptability Survey","TTS Acceptability Survey","52f96ad2-676e-45f4-953e-999d11649a6c","Activity_26","Activity"
"","ADAS-Cog","ADAS-Cog","24fe7f9e-ce95-4584-b812-6b1f2792637f","Activity_27","Activity"
"","CIBIC+","CIBIC+","149de463-9c75-4294-8282-16b3b2579bff","Activity_28","Activity"
"","DAD","DAD","2570af07-a7de-4790-82b1-2cb3424fc587","Activity_29","Activity"
"","NPI-X","NPI-X","f4aa4389-e2ea-4f74-bdf8-385b76046794","Activity_30","Activity"
"","Adverse events","Adverse events","43f97204-2953-4c7e-aa6b-ec58c921c970","Activity_31","Activity"
"","Check adverse events","Check adverse events","91e15003-348d-4714-9778-939186f12ed4","Activity_32","Activity"
"","Subject supine","Supine","837cc3be-64d7-4978-afd1-fea32a63f9cd","Activity_33","Activity"
"","Vital signs while supine","Vital Signs Supine","2cb2fb55-f683-4179-8382-08bb57e643c8","Activity_34","Activity"
"","Subject Standing","Stand","68873f48-a7d4-4360-8d2f-b780638af2b7","Activity_35","Activity"
"","Vital signs while standing","Vital Signs Standing","4da1d26e-fc66-44e2-857d-47da222295c7","Activity_36","Activity"
