"label","id","name","text","purpose","uuid:ID","description","instanceType"
"","Endpoint_1","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","615cc5dc-ede1-4f5f-8100-fecfeb105089","","Endpoint"
"","Endpoint_2","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","ac857675-485c-4249-8808-9295826e213f","","Endpoint"
"","Endpoint_3","END3","Adverse events","","67114c99-2eb1-4483-a2bf-0f19f7d5b1ea","","Endpoint"
"","Endpoint_4","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","","999ffba4-a4b7-47fc-9168-76f95102a0e5","","Endpoint"
"","Endpoint_5","END5","Laboratory evaluations (Change from Baseline)","","7413db75-b67e-49a2-8c24-000f99f3a98b","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint"
"","Endpoint_6","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","2ce6a150-b775-4a82-bcd9-49cb117efa6d","","Endpoint"
"","Endpoint_7","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","d3065eb9-9490-4154-9ab3-7bb9c09bf8bd","","Endpoint"
"","Endpoint_8","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","28b1b0da-a1ee-4044-992c-73aae520f9ee","","Endpoint"
"","Endpoint_9","END9","*** To be determined from protocol ***","","0706cf8c-56db-4259-bfc6-84e125eb0439","","Endpoint"
"","Endpoint_10","END10","*** To be determined from protocol ***","","9c288995-1329-4402-94c7-d58e5a616cd0","","Endpoint"
"","Endpoint_11","END11","*** To be determined from protocol ***","","8efa19e7-ae17-4746-af3c-45ef84f470bc","","Endpoint"
