"synonyms","label","id","name","uuid:ID","reference","instanceType"
"","Sex","BiomedicalConcept_20","Sex","648d1341-006b-4b31-8213-b883fbec7e7e","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept"
"['Racial Group']","Race","BiomedicalConcept_21","Race","5d83c00a-ce2a-41b3-83d3-a743390dc47f","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept"
"['Temperature', 'Body Temperature']","Temperature","BiomedicalConcept_22","Temperature","b275f76e-d97e-4728-88d8-7f04efc2d52a","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept"
"['Weight', 'Body Weight']","Weight","BiomedicalConcept_23","Weight","ddb79c06-1533-43f8-ba1b-45dc71d0addc","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept"
"['Height', 'Body Height']","Height","BiomedicalConcept_24","Height","d5dc2ca5-2c99-48af-82bf-e6e06f8dcd47","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept"
"['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_25","Alanine Aminotransferase Concentration in Serum/Plasma","a8ec6aa9-a9d4-4873-a3e2-b7fc37f1fbc6","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept"
"['Albumin', 'Albumin Measurement']","Albumin Presence in Urine","BiomedicalConcept_26","Albumin Presence in Urine","2545b43c-4008-4d39-b616-451c22f5ed08","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept"
"['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_27","Alkaline Phosphatase Concentration in Serum/Plasma","2a6a2d43-c12b-403b-94d9-a97c5e4047b8","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept"
"['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_28","Aspartate Aminotransferase in Serum/Plasma","da1c7bd0-7df2-4452-ab49-cf503f2a4e60","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept"
"['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine","BiomedicalConcept_29","Creatinine Concentration in Urine","2a76f6e6-0fd1-4f4f-9e86-1b48c43cfbd1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept"
