"label","id","name","uuid:ID","description","instanceType"
"Screen One","ScheduledActivityInstance_9","SCREEN1","ab717bd9-8501-4249-9ef2-99d0c5627053","-","ScheduledActivityInstance"
"Screen Two","ScheduledActivityInstance_10","SCREEN2","4cd69d2b-9052-4792-963e-3e4925450c20","-","ScheduledActivityInstance"
"Dose","ScheduledActivityInstance_11","DOSE","9d34e63e-b4ba-483c-a494-368f9ad477ea","-","ScheduledActivityInstance"
"Week 2","ScheduledActivityInstance_12","WK2","b2881b8d-1cc2-4252-862a-ce3ae6425054","-","ScheduledActivityInstance"
"Week 4","ScheduledActivityInstance_13","WK4","1ac8fe94-5ba5-4b72-b21c-986927f091fc","-","ScheduledActivityInstance"
"Week 6","ScheduledActivityInstance_14","WK6","9eb9cee9-f2c7-40da-8057-6266b12ecc09","-","ScheduledActivityInstance"
"Week 8","ScheduledActivityInstance_15","WK8","172f9ebb-20c1-4f63-9ce0-40c6493c6b18","-","ScheduledActivityInstance"
"Week NPI","ScheduledActivityInstance_16","WK8N","3ab0d476-3a43-4154-bfb8-28efb61ebe15","-","ScheduledActivityInstance"
"Week 12","ScheduledActivityInstance_17","WK12","362b5a62-437b-4596-ae0b-f094618b5174","-","ScheduledActivityInstance"
"Week 12 NPI","ScheduledActivityInstance_18","WK12N","090109cc-9b4b-48c2-aebc-f09114771fd7","-","ScheduledActivityInstance"
"Week 16","ScheduledActivityInstance_19","WK16","6842db22-80ea-451b-9a77-f26bc3201363","-","ScheduledActivityInstance"
"Week 16 NPI","ScheduledActivityInstance_20","WK16N","cb342540-2543-44d0-9054-4f1b6999a9ab","-","ScheduledActivityInstance"
"Week 20","ScheduledActivityInstance_21","WK20","5659468d-53c8-4478-8822-a49f04994f56","-","ScheduledActivityInstance"
"Week 20 NPI","ScheduledActivityInstance_22","WK20N","476ff2f6-2354-45f5-bb80-09f8ba63a6a5","-","ScheduledActivityInstance"
"Week 24","ScheduledActivityInstance_23","WK24","7f957726-343d-4fef-86df-64bfedb9a56c","-","ScheduledActivityInstance"
"Week 26","ScheduledActivityInstance_24","WK26","a7c47440-3456-4b2f-9041-dd227ebb598f","-","ScheduledActivityInstance"
"Adevers Event","ScheduledActivityInstance_1","AE","27dcb03e-aade-491d-ba4a-e9e54b8f1724","-","ScheduledActivityInstance"
"Early Termination","ScheduledActivityInstance_2","ET","cae21e96-6337-48b3-a79a-1b03c1435e7a","-","ScheduledActivityInstance"
"5 minute supine","ScheduledActivityInstance_3","VS_5MIN","0524463e-bfa3-408e-81bf-5390e5534016","","ScheduledActivityInstance"
"Vital signs supine","ScheduledActivityInstance_4","VS_SUPINE","eceeabe2-a5dd-480a-81e5-d50407f3bfbf","","ScheduledActivityInstance"
"1 minute standing","ScheduledActivityInstance_5","VS_1MIN","750dcaca-8f21-4184-82b7-b69d93b87e7e","","ScheduledActivityInstance"
"Vital signs after 1 min standing","ScheduledActivityInstance_6","VS_STAND1","25308b99-8c1f-424c-a1fc-1692550be951","","ScheduledActivityInstance"
"2 minute standing","ScheduledActivityInstance_7","VS_2MIN","f2dea4a2-f4c8-4856-a45a-39ef2fa9131c","","ScheduledActivityInstance"
"Vital signs after 3 min standing","ScheduledActivityInstance_8","VS_STAND3","a071026f-8481-4040-ae35-1920a8a5ae9f","","ScheduledActivityInstance"
