"windowLower","label","id","name","windowUpper","windowLabel","uuid:ID","valueLabel","value","description","instanceType"
"","Screening","Timing_1","TIM1","","","7fd6965d-953b-4359-bf35-0e2b3dfb1c3f","2 weeks","P2W","Screening timing","Timing"
"PT4H","Pre dose","Timing_2","TIM2","PT0H","-4..0 hours","7c2890d4-cb60-4653-9c64-239c969ba5d5","2 days","P2D","Pre dose timing","Timing"
"","Dosing","Timing_3","TIM3","","","13e052c0-6b8d-41cf-b812-3e32564f1c17","1 Day","P1D","Dosing anchor","Timing"
"P3D","Week 2","Timing_4","TIM4","P3D","-3..3 days","4c332a6c-987e-4771-a0bd-e3dbb37c423a","2 Weeks","P2W","Week 2 timing","Timing"
"P3D","Week 4","Timing_5","TIM5","P3D","-3..3 days","d4d3b4b6-ad24-46ef-a2ce-8c56cd4ce6ba","4 Weeks","P4W","Week 4 timing","Timing"
"P3D","Week 6","Timing_6","TIM6","P3D","-3..3 days","32a4e72c-6f64-444c-80cc-1904627e7853","6 Weeks","P6W","Week 6 timing","Timing"
"P3D","Week 8","Timing_7","TIM7","P3D","-3..3 days","9c7c76ce-e153-41c7-9b33-caa809b6a0d8","8 Weeks","P8W","Week 8 timing","Timing"
"P4D","Week 12","Timing_9","TIM9","P4D","-4..4 days","d1c87474-712c-48ac-a8d3-76afa80bd62d","12 Weeks","P12W","Week 12 timing","Timing"
"P4D","Week 16","Timing_11","TIM11","P4D","-4..4 days","b6ff5b91-3635-4eb3-873f-6dc31cf5d619","16 Weeks","P16W","Week 16 timing","Timing"
"P4D","Week 20","Timing_13","TIM13","P4D","-4..4 days","4268f7d4-4542-46a7-9638-720a04416191","20 Weeks","P20W","Week 20 timing","Timing"
"P4D","Week 24","Timing_15","TIM15","P4D","-4..4 days","d3e9fd9b-fc43-479d-8455-96ad6873ee96","24 Weeks","P24W","Week 24 timing","Timing"
"P3D","Week 26","Timing_16","TIM16","P3D","-3..3 days","70867733-d300-4432-970d-84a9e0f2a88f","26 Weeks","P26W","Week 26 timing","Timing"
"","Week 8 Home","Timing_8","TIM8","","","c989262b-f6ee-44be-b5fc-90b27847caa8","2 Weeks","P2W","Week 8 at home timing","Timing"
"","Week 12 Home","Timing_10","TIM10","","","c12d36af-55eb-4bd7-ac09-e95cf050c6db","2 Weeks","P2W","Week 12 at home timing","Timing"
"","Week 16 Home","Timing_12","TIM12","","","76107fc1-753f-435e-bfaa-d7741c4d83e9","2 Weeks","P2W","Week 16 at home timing","Timing"
"","Week 20 Home","Timing_14","TIM14","","","47741a2c-cc68-4f2a-a362-b14ecdf35c38","2 Weeks","P2W","Week 20 at home timing","Timing"
"","Adverse Event","Timing_17","TIM17","","","734c2bd6-85ca-4e13-a36f-c3eacfd82108","1 Day","P1D","Adverse Event","Timing"
"","Early Termination","Timing_18","TIM18","","","381fcd7c-ac55-4e57-a7a0-96ae7fa5138e","1 Day","P1D","Early Termination","Timing"
"","Supine","Timing_19","TIM19","","","8da27ea8-0a33-4ac0-9f9c-de4d22b491a6","0 mins","PT0M","Supine","Timing"
"","VS while supine","Timing_20","TIM20","","","c928af22-6246-46b1-8a3c-2993ea3e07d3","5 mins","PT5M","VS while supine","Timing"
"","Standing","Timing_21","TIM21","","","4b6152c3-d7ed-48f5-8af2-4005b0a27b9d","0 min","PT0M","Standing","Timing"
"","VS while standing","Timing_22","TIM22","","","09219189-7166-49ae-a41e-a902ce1aa1da","1 min","PT1M","VS while standing","Timing"
"","Standing","Timing_23","TIM23","","","01c96755-c64e-490d-a84a-e82425c6a280","0 min","PT0M","Standing","Timing"
"","VS while standing","Timing_24","TIM24","","","e27a6a48-913c-4986-b84f-f9426dac7bca","2 min","PT2M","VS while standing","Timing"
