"decode","id","codeSystem","code","uuid:ID","codeSystemVersion","instanceType"
"Interventional Study","Code_1","http://www.cdisc.org","C98388","48a3fc8d-ac45-45c7-a01b-2cd0e3c5fbc1","2023-12-15","Code"
"Phase II Trial","Code_2","http://www.cdisc.org","C15601","a2c0e617-621a-4cb5-ad2b-b622e53cb5c4","2023-12-15","Code"
"Sponsor Approval Date","Code_9","http://www.cdisc.org","C132352","3648d50e-f3ab-4daa-8d4f-64ad6f37d5a4","2023-12-15","Code"
"Global","Code_10","http://www.cdisc.org","C68846","e4763d1d-ce9f-4c38-a86b-77a328caa3ea","2023-12-15","Code"
"IRB/IEC Feedback","Code_72","http://www.cdisc.org","C99904x3","3c77d30f-885c-46dc-90f1-21535ff7fb02","2023-12-15","Code"
"Other","Code_73","http://www.cdisc.org","C17649","f574134f-4517-4856-8cb9-03a876eb487f","2023-12-15","Code"
"Region","Code_75","http://www.cdisc.org","C41129","81d7210a-be4d-494d-a63b-b66ac4337630","2023-12-15","Code"
"Europe","Code_74","ISO 3166 1 alpha3","150","11e55464-f9e0-4396-93a9-6c7bed030a18","2020-08","Code"
"Eli Lilly","Code_4","SPONSOR","PHARMA","6f049ec7-6a34-4dc5-bb0d-7e9dd8b69478","12","Code"
"Clinical Study Sponsor","Code_76","http://www.cdisc.org","C70793","c8bb9a87-1b14-45fc-a1d4-20e78302009d","2023-12-15","Code"
"United States of America","Code_77","ISO 3166 1 alpha3","USA","f8ee6b00-6518-461b-8561-f6a9b78758c6","2020-08","Code"
"Study Registry","Code_78","http://www.cdisc.org","C93453","bc0e7ce6-3c37-4c19-9d4c-09e0489791b3","2023-12-15","Code"
"United States of America","Code_79","ISO 3166 1 alpha3","USA","d3263d23-b369-438c-8d61-dd3e59d5a207","2020-08","Code"
"Treatment Study","Code_137","http://www.cdisc.org","C49656","904506b4-88cd-4002-9b3b-516fe90990ed","2023-12-15","Code"
"Efficacy Study","Code_138","http://www.cdisc.org","C49666","76ee143a-b0f0-4f09-907a-6c72b48f11c4","2023-12-15","Code"
"Safety Study","Code_139","http://www.cdisc.org","C49667","9b952443-4dd5-40f8-8f0d-dddffec17f81","2023-12-15","Code"
"Pharmacokinetic Study","Code_140","http://www.cdisc.org","C49663","ee759910-e145-4e49-8327-847faf300d0b","2023-12-15","Code"
"Mild to Moderate Alzheimer's Disease","Code_134","SPONSOR","MILD_MOD_ALZ","9b7fa4ab-ff82-4d06-a0de-2f90a240d31c","12","Code"
"Alzheimer's disease","Code_135","SNOMED","26929004","148ea479-a9b0-494c-8269-41efca5a44a7","January 31, 2018","Code"
"EXTENSION","Code_143","http://www.cdisc.org","C99907x1","af2b941f-628f-4de6-9c52-21ec3d087624","2023-12-15","Code"
"ADAPTIVE","Code_144","http://www.cdisc.org","C98704","c4972421-c1d2-4db1-9122-9678f3d3f46a","2023-12-15","Code"
"Parallel Study","Code_141","http://www.cdisc.org","C82639","91f90203-437a-4871-9938-9aa0b8a18d09","2023-12-15","Code"
"Visit","Code_83","http://www.cdisc.org","C25716","13a57a00-c086-48c1-af59-817acfd5d7a0","2023-12-15","Code"
"Clinic","Code_84","http://www.cdisc.org","C51282","2b999d10-0afe-4936-b01c-08538c24d5e9","2023-12-15","Code"
"In Person","Code_85","http://www.cdisc.org","C175574","d05e418a-1cc8-4af6-ad41-984af60abd0e","2023-12-15","Code"
"Visit","Code_86","http://www.cdisc.org","C25716","5049d04c-1934-461a-9500-f59f617f516b","2023-12-15","Code"
"Clinic","Code_87","http://www.cdisc.org","C51282","d3aa5b73-8426-44ef-912d-f5b6507bb1a8","2023-12-15","Code"
"In Person","Code_88","http://www.cdisc.org","C175574","c4a54c86-4156-4e4f-bee0-0d8c4aac9ca1","2023-12-15","Code"
"Visit","Code_89","http://www.cdisc.org","C25716","44694426-a76d-4be2-a151-13e10b881eaf","2023-12-15","Code"
"Clinic","Code_90","http://www.cdisc.org","C51282","bd63d202-5349-49fc-a07d-0e47d8a7f7c8","2023-12-15","Code"
"In Person","Code_91","http://www.cdisc.org","C175574","39a6d892-4e30-4491-8381-7cecd3387d86","2023-12-15","Code"
