"id","name","text","uuid:ID","instanceType"
"TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier","5f85281b-76c8-4261-acc0-01a7943abe5b","TransitionRule"
"TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities","607e1259-c145-423d-b6ea-782cbdb024fd","TransitionRule"
"TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","881b4e54-e591-4881-8178-d222483aae16","TransitionRule"
"TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","4672b0fe-a9cf-49dd-9b6a-787df789fb9b","TransitionRule"
"TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized","5496fcc6-e1a5-4372-a972-f4f60559ba82","TransitionRule"
"TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment","d0529d2f-b087-47b1-9ea5-46e3839ad1c1","TransitionRule"
"TransitionRule_7","ELEMENT_START_RULE_1","Informed consent","c0b98f55-e28f-447b-a908-cce92ec8f30a","TransitionRule"
"TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","91fe9643-e7cc-4d98-b820-837fbb88936b","TransitionRule"
"TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose","90410cac-ccbe-4ed8-bc10-f086514caf58","TransitionRule"
"TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","b5e6f69f-b9d6-4710-bc33-ee3144bb815c","TransitionRule"
"TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","d7519cc4-f43b-4c97-b053-770789022a34","TransitionRule"
"TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose","6be9aef2-ef1b-4f09-9943-3c41c8607321","TransitionRule"
"TransitionRule_11","ELEMENT_START_RULE_4","Randomized","cb241bd5-70ff-4752-9214-88a9c88dbe6b","TransitionRule"
"TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","41878214-5f13-4e9b-9ee9-235d4ecb959a","TransitionRule"
"TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","e27e3158-21a5-45d9-9986-aea219e278ba","TransitionRule"
