"instanceType","id","name","text","uuid:ID"
"TransitionRule","TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier","fc816be3-dfca-4dee-a37d-479e282aaf21"
"TransitionRule","TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities","3888d3c0-5669-4c3c-9cfd-9b2d5d8a843b"
"TransitionRule","TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","6fd7858f-c94f-4295-9960-9be231b4de88"
"TransitionRule","TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","071435ed-788b-4ec0-aabe-c20c2b8a22ff"
"TransitionRule","TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized","f62ef3e6-8726-41bb-b82f-18bb22d0231a"
"TransitionRule","TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment","9763939b-4abc-4119-b089-00b3bd7385b6"
"TransitionRule","TransitionRule_7","ELEMENT_START_RULE_1","Informed consent","37f6d49a-19f9-461e-96e7-317edce8b7fd"
"TransitionRule","TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","6b574888-bed9-441b-a19c-71f674b71170"
"TransitionRule","TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose","e549c92d-f6b0-4f2d-8be4-312c23839694"
"TransitionRule","TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","22c8eace-9f06-49e5-b1b3-8c88382dc4c4"
"TransitionRule","TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","a76c38d3-6314-45af-b775-5b0c55a07ddd"
"TransitionRule","TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose","2a5757b8-8830-4abd-bc45-db9e484acff1"
"TransitionRule","TransitionRule_11","ELEMENT_START_RULE_4","Randomized","37114ca5-e74d-4ec4-935e-932cf0cc82a0"
"TransitionRule","TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","d15e8abf-ddfe-4d11-8e5d-8de0249d4817"
"TransitionRule","TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","aab5cf94-1ca7-4720-b2d8-1de9de6a3cbf"
