"instanceType","id","name","label","uuid:ID","description"
"Activity","Activity_1","Informed consent","","50491114-7acf-452f-b5f2-430a6b0a1a7f",""
"Activity","Activity_2","Inclusion/exclusion criteria","","8a8a54bf-9057-4724-a1c9-f477c17d4a4f",""
"Activity","Activity_3","Patient number assigned","","4ea857c8-27fe-4d1e-8c0b-a01acaf261e9",""
"Activity","Activity_4","Demographics","Demographics","25ffe2b8-bc95-4ac7-bdd4-d81e5e8b0220",""
"Activity","Activity_5","Hachinski","Hachinski","04b3e2d1-0700-4098-a55d-545688dffcda",""
"Activity","Activity_6","MMSE","MMSE","0c655f33-e353-4715-9d6c-21e4d5a30779",""
"Activity","Activity_7","Physical examination","","f67d2efc-831c-4b85-8263-77761f805452",""
"Activity","Activity_8","Medical history","","28b3391b-5e2a-422f-a80f-ecbb62eb817d",""
"Activity","Activity_9","Habits","","0d1ebe3a-87ff-461f-b74b-ab29bc1d569a",""
"Activity","Activity_10","Chest X-ray","","b9b1e781-f8db-4670-92b5-3264144da682",""
"Activity","Activity_11","Apo E genotyping","","808d9bd1-8417-4a84-88bd-409380b61f9c",""
"Activity","Activity_12","Patient randomised","","4a5efd6a-9bf3-478e-b2de-23474cf927d0",""
"Activity","Activity_13","Vital signs / Temperature","Vital Signs and Temperature","d0232ca9-5fab-4dfe-9c54-703e1371ac05",""
"Activity","Activity_14","Ambulatory ECG placed","","a6b93a0d-f03b-4d11-9b55-1db596e78e40",""
"Activity","Activity_15","Ambulatory ECG removed","","9a9b440d-12d1-4682-980d-627431f5e6a4",""
"Activity","Activity_16","ECG","","e59ef008-fdcf-475f-9a84-f25aa5aca657",""
"Activity","Activity_17","Placebo TTS test","","7bd12c77-e2d2-493a-acc7-c44d78a78c06",""
"Activity","Activity_18","CT scan","","3e2b6fe7-60ab-4012-97ac-e5522ea8a16c",""
"Activity","Activity_19","Concomitant medications","","a72e3f68-64a0-45e8-a2d2-30971123e513",""
"Activity","Activity_20","Hematology","","843ee700-72f0-42a2-8182-452436cbcd10",""
"Activity","Activity_21","Chemistry","","f38c0ea2-830d-47d4-996d-3ca1f5895a69",""
"Activity","Activity_22","Uninalysis","","606d9765-bbc3-4b94-8bdd-7a18d586ea73",""
"Activity","Activity_23","Plasma Specimen (Xanomeline)","","0c224d7d-ea28-4c94-8b48-cde8f4a64664",""
"Activity","Activity_24","Hemoglobin A1C","","78e77236-59ec-4fe7-80d2-205f9049acf6",""
"Activity","Activity_25","Study drug","Study drug record , Medications dispensed, Medications returned","65d490f6-bc5b-4550-a571-9b786fa6a50f",""
"Activity","Activity_26","TTS Acceptability Survey","","244012fd-e85d-482f-adb9-8330d1bb62b8",""
"Activity","Activity_27","ADAS-Cog","","3c04bfaf-22c2-4096-834d-39c23ef43f8b",""
"Activity","Activity_28","CIBIC+","","0d8a93dc-e8e8-4d7a-b4b5-6fa1649af91b",""
"Activity","Activity_29","DAD","","028c841a-9d6f-4a24-be58-09acc323ccdd",""
"Activity","Activity_30","NPI-X","","fddb0e6e-6fe1-4e48-8569-9db0951625c3",""
"Activity","Activity_31","Adverse events","","226d40d4-ba2f-4a65-9877-9eacb6177e68",""
"Activity","Activity_32","Check adverse events","","fe662f22-7f30-4a19-932a-4e57c95bdbf2",""
"Activity","Activity_33","Supine","Subject supine","83083ec9-260e-40da-ba05-ce62e344d37f",""
"Activity","Activity_34","Vital Signs Supine","Vital signs while supine","b0dadfd3-9f07-4f9e-a0f1-69f0bb43da0a",""
"Activity","Activity_35","Stand","Subject Standing","245536e8-c2c1-43e6-af32-c22b8e7c1997",""
"Activity","Activity_36","Vital Signs Standing","Vital signs while standing","ca7e1cb4-76e0-4078-8e85-f63043126665",""
