"instanceType","id","name","label","uuid:ID","description"
"Encounter","Encounter_1","E1","Screening 1","c3a64922-201b-4d18-8a9e-287b825d2957","Screening encounter"
"Encounter","Encounter_2","E2","Screening 2","a5f634f7-78f0-4a35-9aec-6c71d9aa9840","Screening encounter - Ambulatory ECG Placement"
"Encounter","Encounter_3","E3","Baseline","b9476b8d-adc2-42c0-89d6-412ed8c875ff","Baseline encounter - Ambulatory ECG Removal"
"Encounter","Encounter_4","E4","Week 2","8c922e14-9fc6-4f5e-9e4a-e7ffaa59f320","Day 14"
"Encounter","Encounter_5","E5","Week 4","0893b8bb-8ba1-4cd1-8f6b-0b4ff5bcbc92","Day 28"
"Encounter","Encounter_6","E7","Week 6","3d5f7f09-38d0-4569-8d51-ce489a895c14","Day 42"
"Encounter","Encounter_7","E8","Week 8","e4d4a5a1-b4fd-4b6b-b47e-d7c6cd3f5fd7","Day 56"
"Encounter","Encounter_8","E9","Week 12","c84a5c1b-b8a7-44e9-bade-066a5e7d289e","Day 84"
"Encounter","Encounter_9","E10","Week 16","5da897b2-9836-400d-b7c1-a3b314c48ed6","Day 112"
"Encounter","Encounter_10","E11","Week 20","6d3c01d0-13b5-44b0-b003-db6f4d65033a","Day 140"
"Encounter","Encounter_11","E12","Week 24","c6597523-a77e-41be-8e16-3f3f098be7c5","Day 168"
"Encounter","Encounter_12","E13","Week 26","851b1a18-767c-468c-97d2-fb0a12068c8a","Day 182"
