"instanceType","id","name","label","value","uuid:ID","window","windowLower","windowUpper","description"
"Timing","Timing_1","TIM1","Screening","P2W","ebbeca83-1941-4a9c-9f89-9814f924b37e","","","","Screening timing"
"Timing","Timing_2","TIM2","Pre dose","P2D","29282ea7-0b53-4bd6-a778-f4435f3d8218","-4..0 hours","PT4H","PT0H","Pre dose timing"
"Timing","Timing_3","TIM3","Dosing","P1D","dc6f5fc6-40f8-4a99-8f30-2fe249dde15e","","","","Dosing anchor"
"Timing","Timing_4","TIM4","Week 2","P2W","2e55a00d-f3ec-413b-9bcc-d1cb15bb831a","-3..3 days","P3D","P3D","Week 2 timing"
"Timing","Timing_5","TIM5","Week 4","P4W","86e669c2-08cc-4c58-b08e-d472b2c578a0","-3..3 days","P3D","P3D","Week 4 timing"
"Timing","Timing_6","TIM6","Week 6","P6W","38da7175-ec62-47dd-a033-fdb64e25daec","-3..3 days","P3D","P3D","Week 6 timing"
"Timing","Timing_7","TIM7","Week 8","P8W","5d12cff4-ce86-45a0-b73a-0c7993ab35af","-3..3 days","P3D","P3D","Week 8 timing"
"Timing","Timing_9","TIM9","Week 12","P12W","fba822c3-5da9-4fc4-8470-5aaf30f8f43c","-4..4 days","P4D","P4D","Week 12 timing"
"Timing","Timing_11","TIM11","Week 16","P16W","c798ee7a-1eaa-404b-8d02-4d0208068b1c","-4..4 days","P4D","P4D","Week 16 timing"
"Timing","Timing_13","TIM13","Week 20","P20W","a01b9865-1880-4f0f-88ac-78422afcaa3f","-4..4 days","P4D","P4D","Week 20 timing"
"Timing","Timing_15","TIM15","Week 24","P24W","b4a24ca1-afe1-4f07-9534-f37b21ee4415","-4..4 days","P4D","P4D","Week 24 timing"
"Timing","Timing_16","TIM16","Week 26","P26W","3e2c9ffe-15a5-4653-b7e1-beab8f03decc","-3..3 days","P3D","P3D","Week 26 timing"
"Timing","Timing_8","TIM8","Week 8 Home","P2W","704dbfc5-e00c-4920-9aea-a4dc2640c9e6","","","","Week 8 at home timing"
"Timing","Timing_10","TIM10","Week 12 Home","P2W","0e8d4c48-6249-423b-839e-11ed596ff6ec","","","","Week 12 at home timing"
"Timing","Timing_12","TIM12","Week 16 Home","P2W","773e8f94-ad0b-4f56-8527-d45b87af732c","","","","Week 16 at home timing"
"Timing","Timing_14","TIM14","Week 20 Home","P2W","ff0410d2-8d7c-42ba-8185-4a2ab446052b","","","","Week 20 at home timing"
"Timing","Timing_17","TIM17","Adverse Event","P1D","81b41d97-c2a1-482f-b573-698c1e24eec1","","","","Adverse Event"
"Timing","Timing_18","TIM18","Early Termination","P1D","8ad1d34c-83da-42ef-9efa-0e351d2daac2","","","","Early Termination"
"Timing","Timing_19","TIM19","Supine","PT0M","f2a875cc-2dca-4342-94d1-18a56021af8c","","","","Supine"
"Timing","Timing_20","TIM20","VS while supine","PT5M","d41d6872-270e-40bf-be40-229b6746624e","","","","VS while supine"
"Timing","Timing_21","TIM21","Standing","PT0M","13bee95b-03e8-4691-88a1-071a7e4bece1","","","","Standing"
"Timing","Timing_22","TIM22","VS while standing","PT1M","87cacdbc-4df1-46b6-aa8d-cf03b7377bcb","","","","VS while standing"
"Timing","Timing_23","TIM23","Standing","PT0M","21f7e88d-d9dc-4087-9ef3-4c8b065132aa","","","","Standing"
"Timing","Timing_24","TIM24","VS while standing","PT2M","7450c0cf-e92b-450b-9f6a-d10404573529","","","","VS while standing"
