"instanceType","id","name","text","sectionTitle","uuid:ID","sectionNumber"
"NarrativeContent","NarrativeContent_1","ROOT","","Root","a3b9e1ef-da4d-4353-8ec2-ca2701088333","0"
"NarrativeContent","NarrativeContent_2","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","TITLE PAGE","bfb56847-669e-4697-8e90-87debe70e3a5","0"
"NarrativeContent","NarrativeContent_3","SECTION 1","<div></div>","PROTOCOL SUMMARY","9c925787-0b7c-4798-970d-1e1c8c59c8cd","1"
"NarrativeContent","NarrativeContent_4","SECTION 1.1","<div></div>","Protocol Synopsis","9c6754cf-a804-4f2c-8da0-64e49de3eebc","1.1"
"NarrativeContent","NarrativeContent_5","SECTION 1.2","<div></div>","Trial Schema","d80aaca3-7fc2-4714-bdc6-2a0a0b6c1107","1.2"
"NarrativeContent","NarrativeContent_6","SECTION 1.3","<div></div>","Schedule of Activities","55cc8753-4ca3-4db9-851b-07bd601912c6","1.3"
"NarrativeContent","NarrativeContent_7","SECTION 2","<div></div>","INTRODUCTION","c2792567-60e3-4c07-973b-c22ef31c3f1c","2"
"NarrativeContent","NarrativeContent_8","SECTION 2.1","<div></div>","Purpose of Trial","d669d2b3-6179-4c86-8780-0dd8c5be93e4","2.1"
"NarrativeContent","NarrativeContent_9","SECTION 2.2","<div></div>","Summary of Benefits and Risks","9c049310-d756-49eb-bc73-ad8c2db0465d","2.2"
"NarrativeContent","NarrativeContent_10","SECTION 3","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3073ed0e-7f6c-4ba6-bf8d-166546b09953","3"
"NarrativeContent","NarrativeContent_11","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","Primary Objectives","cbb148b5-a626-4373-9d1a-554d5a653fa6","3.1"
"NarrativeContent","NarrativeContent_12","SECTION 4","<div></div>","TRIAL DESIGN","89069153-1570-4c2e-ada6-74b381512ea3","4"
"NarrativeContent","NarrativeContent_13","SECTION 4.1","<div></div>","Description of Trial Design","e39823bf-fc21-49cf-8d8c-2866b83cfe7e","4.1"
"NarrativeContent","NarrativeContent_14","SECTION 4.1.1","<div></div>","Participant Input into Design","7ea63117-d55b-4511-9356-80e07a6e6a0f","4.1.1"
"NarrativeContent","NarrativeContent_15","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","Rationale for Trial Design","e445a2a0-6663-436d-9f85-9a73d4723455","4.2"
