"instanceType","id","name","label","isRequired","isEnabled","datatype","uuid:ID"
"BiomedicalConceptProperty","BiomedicalConceptProperty_98","Vital Signs Result","Vital Signs Result","True","True","decimal","2efdab5c-514a-45e6-bec3-b01adf69e04b"
"BiomedicalConceptProperty","BiomedicalConceptProperty_99","Unit of Temperature","Unit of Temperature","True","True","string","508c943c-6fb6-421a-8dd7-034225edd23d"
"BiomedicalConceptProperty","BiomedicalConceptProperty_100","Vital Signs Location","Vital Signs Location","True","True","string","8a4be1ff-39f1-4eef-b03b-31c22f949824"
"BiomedicalConceptProperty","BiomedicalConceptProperty_101","Vital Signs Result","Vital Signs Result","True","True","decimal","eda51c37-d9f6-442d-aae0-0beae8150503"
"BiomedicalConceptProperty","BiomedicalConceptProperty_102","Unit of Weight","Unit of Weight","True","True","string","3a6955ce-c08b-42a0-bd32-b9202dd1bab1"
"BiomedicalConceptProperty","BiomedicalConceptProperty_103","Vital Signs Result","Vital Signs Result","True","True","decimal","9d91648c-6ad4-4348-ba01-1bbaa9b9e3d0"
"BiomedicalConceptProperty","BiomedicalConceptProperty_104","Unit of Height","Unit of Height","True","True","string","9c2446c3-05fb-438b-92d1-915aa5041fae"
"BiomedicalConceptProperty","BiomedicalConceptProperty_105","Laboratory Test Result","Laboratory Test Result","True","True","decimal","d00f0460-4448-433a-b427-f1628668312c"
"BiomedicalConceptProperty","BiomedicalConceptProperty_106","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","True","boolean","c0a36249-5bc1-4aa5-b58e-bfbd4114dfc0"
"BiomedicalConceptProperty","BiomedicalConceptProperty_107","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","True","string","9bbfe33b-e6ae-43b5-9421-8a236adc87df"
"BiomedicalConceptProperty","BiomedicalConceptProperty_108","Biospecimen Type","Biospecimen Type","True","True","string","242e22c0-c297-476d-88b2-22d1cfd16f73"
"BiomedicalConceptProperty","BiomedicalConceptProperty_109","Laboratory Test Result","Laboratory Test Result","True","True","string","47778961-0639-48ec-a02b-e83a1b55f9fc"
"BiomedicalConceptProperty","BiomedicalConceptProperty_110","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","True","boolean","3e3061d1-e0cb-4ce3-aea8-bd4f06c38362"
"BiomedicalConceptProperty","BiomedicalConceptProperty_111","Unit of Concentration","Unit of Concentration","True","True","string","edd707fc-ef2a-4c1a-8e37-800cfec67b36"
"BiomedicalConceptProperty","BiomedicalConceptProperty_112","Biospecimen Type","Biospecimen Type","True","True","string","b47f8d1a-8182-464d-8828-2aee356cf558"
"BiomedicalConceptProperty","BiomedicalConceptProperty_113","Laboratory Test Result","Laboratory Test Result","True","True","decimal","480468b8-7f92-4a5c-99cc-fe848f695b00"
"BiomedicalConceptProperty","BiomedicalConceptProperty_114","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","True","boolean","5c3e126b-86a3-408a-94f6-97654948de81"
"BiomedicalConceptProperty","BiomedicalConceptProperty_115","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","True","string","8c51643d-a4a6-43cd-a5df-d4b23f762237"
"BiomedicalConceptProperty","BiomedicalConceptProperty_116","Biospecimen Type","Biospecimen Type","True","True","string","afe7340f-861e-4077-8047-95ba1e59cc0c"
"BiomedicalConceptProperty","BiomedicalConceptProperty_117","Laboratory Test Result","Laboratory Test Result","True","True","decimal","90050634-147a-402d-b214-9a0f45336ae5"
"BiomedicalConceptProperty","BiomedicalConceptProperty_118","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","True","boolean","c75d5c90-379f-4289-b56c-39e0a9b159d9"
"BiomedicalConceptProperty","BiomedicalConceptProperty_119","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","True","string","72e136f3-b416-4502-8b0c-580d35212245"
"BiomedicalConceptProperty","BiomedicalConceptProperty_120","Biospecimen Type","Biospecimen Type","True","True","string","4320c010-dc1d-43f9-a2e5-d9e6ffcf3c4b"
"BiomedicalConceptProperty","BiomedicalConceptProperty_121","Laboratory Test Result","Laboratory Test Result","True","True","string","63a2b7a3-13dc-4ea6-95af-1b3496e253ce"
"BiomedicalConceptProperty","BiomedicalConceptProperty_122","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","True","boolean","cd664130-b812-4af2-a1e6-a4df962c25e5"
"BiomedicalConceptProperty","BiomedicalConceptProperty_123","Unit of Concentration","Unit of Concentration","True","True","string","460daf1b-561c-4600-9798-87031ec00699"
"BiomedicalConceptProperty","BiomedicalConceptProperty_124","Biospecimen Type","Biospecimen Type","True","True","string","63b1e7be-401c-4013-8abd-a31e92bb17ff"
"BiomedicalConceptProperty","BiomedicalConceptProperty_125","Laboratory Test Result","Laboratory Test Result","True","True","decimal","66d70939-43fa-4d0d-b537-5fd7ff4cb8d4"
"BiomedicalConceptProperty","BiomedicalConceptProperty_126","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","True","boolean","4b0942b6-b1a1-4f4b-9304-a23371705717"
"BiomedicalConceptProperty","BiomedicalConceptProperty_127","Molarity Unit","Molarity Unit","True","True","string","ab145ce0-5d15-4344-a8de-9d13a6d817e5"
"BiomedicalConceptProperty","BiomedicalConceptProperty_128","Biospecimen Type","Biospecimen Type","True","True","string","a33a3510-75b9-4336-8448-3e20436d8c1e"
"BiomedicalConceptProperty","BiomedicalConceptProperty_129","Laboratory Test Result","Laboratory Test Result","True","True","decimal","3b9908a8-ffd8-40af-be97-ccd7e844a394"
