"instanceType","id","name","label","synonyms","uuid:ID","reference"
"BiomedicalConcept","BiomedicalConcept_20","Body Temperature","Body Temperature","['Temperature']","7c01df21-c2ee-4b33-966d-e4158f0ed0a5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"BiomedicalConcept","BiomedicalConcept_21","Body Weight","Body Weight","['Weight']","5ddd2e90-7cf6-4055-805f-9c78b40a2290","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"BiomedicalConcept","BiomedicalConcept_22","Body Height","Body Height","['Height']","c8af3287-45d4-479e-8054-02b910b5e49c","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"BiomedicalConcept","BiomedicalConcept_23","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","f34a66f8-a902-414e-b73d-9a04c4696e98","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"BiomedicalConcept","BiomedicalConcept_24","Albumin Measurement","Albumin Measurement","['Albumin']","b4b243c9-4881-4e73-90b5-a9f00166a1dc","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"BiomedicalConcept","BiomedicalConcept_25","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","a2936574-535f-4bea-9e86-8a017b1ceb42","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"BiomedicalConcept","BiomedicalConcept_26","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","84804107-be93-4313-a1ed-33cc2be6ef42","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"BiomedicalConcept","BiomedicalConcept_27","Creatinine Measurement","Creatinine Measurement","['Creatinine']","3dc0fa17-d554-4247-9cd2-7da27199af43","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"BiomedicalConcept","BiomedicalConcept_28","Potassium Measurement","Potassium Measurement","['Potassium', 'K']","8dbc9f40-6852-47e0-bd12-c577f5e9a33b","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"BiomedicalConcept","BiomedicalConcept_29","Sodium Measurement","Sodium Measurement","['Sodium', 'NA']","c64add03-5ab3-448d-bbe6-82305d86b3fe","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"BiomedicalConcept","BiomedicalConcept_1","Adverse Event","Adverse Event","['Adverse Event Reported Term', 'AETERM']","c2160167-9427-403c-a09a-9674a31f45f3","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331"
"BiomedicalConcept","BiomedicalConcept_2","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']","317b8047-7d26-4dd0-81a6-e65d3d987b79","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"BiomedicalConcept","BiomedicalConcept_3","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']","af0c6032-3f50-40bb-9590-0944c449137b","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"BiomedicalConcept","BiomedicalConcept_4","Body Temperature","Body Temperature","['Temperature']","73583d62-ca23-4747-8a17-4ebe6d2380fd","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"BiomedicalConcept","BiomedicalConcept_5","Body Weight","Body Weight","['Weight']","9bda4a02-7292-4e26-b88c-bd57b05963d4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"BiomedicalConcept","BiomedicalConcept_6","Body Height","Body Height","['Height']","a0b47f93-79f0-4b20-bba3-2e1797e87a69","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"BiomedicalConcept","BiomedicalConcept_7","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","059212bb-c475-40ec-85b6-c2433a3dce7e","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"BiomedicalConcept","BiomedicalConcept_8","Albumin Measurement","Albumin Measurement","['Albumin']","241d622d-9d9d-4470-a8d5-24ac45e49e50","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"BiomedicalConcept","BiomedicalConcept_9","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","a20b4473-8e85-4232-ade2-94a1b8163fdd","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"BiomedicalConcept","BiomedicalConcept_10","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","858e6cab-0f99-4df2-89c5-390c148a7935","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"BiomedicalConcept","BiomedicalConcept_11","Creatinine Measurement","Creatinine Measurement","['Creatinine']","1abaf53e-dbe2-48c1-90b6-99ad29bea85e","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"BiomedicalConcept","BiomedicalConcept_12","Potassium Measurement","Potassium Measurement","['Potassium', 'K']","5a852ab5-da5a-46d3-8bf3-3643098488a4","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"BiomedicalConcept","BiomedicalConcept_13","Sodium Measurement","Sodium Measurement","['Sodium', 'NA']","8b4d8a5d-7ec4-4ce2-b355-d416fa42a65e","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"BiomedicalConcept","BiomedicalConcept_14","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']","1d64cce4-33b7-40f2-b67f-00a60f43cd09","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"BiomedicalConcept","BiomedicalConcept_15","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']","e998a85a-c39f-4aa0-a610-52527a6a1204","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"BiomedicalConcept","BiomedicalConcept_16","Heart Rate","Heart Rate","","1e932ef4-8b32-431f-aa99-d84205e5657d","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677"
"BiomedicalConcept","BiomedicalConcept_17","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']","6d8e9eaf-5725-4ee8-b805-c55583672bbf","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"BiomedicalConcept","BiomedicalConcept_18","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']","c9bfbaf6-03cc-462f-8d86-4ea4a93af848","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"BiomedicalConcept","BiomedicalConcept_19","Heart Rate","Heart Rate","","d34dd95c-5302-4349-a942-6b7bdce55cd4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677"
