"text","uuid:ID","purpose","instanceType","id","label","description","name"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","ceb925ff-f022-4586-bd60-eded5b545bde","","Endpoint","Endpoint_1","","","END1"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","89bb7b60-f332-40da-8cf4-6c8ffa7214ed","","Endpoint","Endpoint_2","","","END2"
"Adverse events","925a623f-8dd8-42c6-8ee3-15e857d0908c","","Endpoint","Endpoint_3","","","END3"
"Vital signs (weight, standing and supine blood pressure, heart rate)","07f2c076-0f42-42d5-af80-6c282951cfac","","Endpoint","Endpoint_4","","","END4"
"Laboratory evaluations (Change from Baseline)","c4937a9d-bca8-4bc8-be19-9f7e8b7f46ef","","Endpoint","Endpoint_5","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","END5"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","1a08c05b-87a3-4681-9296-a521703247a8","","Endpoint","Endpoint_6","","","END6"
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","2df88277-8461-40a5-a1e3-e3fd2b891b46","","Endpoint","Endpoint_7","","","END7"
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","43ec3852-b4a5-4e3c-8a27-c060f94b7f91","","Endpoint","Endpoint_8","","","END8"
"*** To be determined from protocol ***","9a16fc40-3550-4ca0-87e2-ebdb1ac712e1","","Endpoint","Endpoint_9","","","END9"
"*** To be determined from protocol ***","0c63fe8e-c079-42a9-98c4-da73540005eb","","Endpoint","Endpoint_10","","","END10"
"*** To be determined from protocol ***","a54a372a-e8f7-4d83-98f8-ef34ec4a7e68","","Endpoint","Endpoint_11","","","END11"
