"windowLabel","uuid:ID","value","valueLabel","instanceType","id","windowLower","windowUpper","label","description","name"
"","32887e4c-e971-456e-b302-c16e9c21d6d4","P2W","2 weeks","Timing","Timing_1","","","Screening","Screening timing","TIM1"
"-4..0 hours","ff8fcab3-afba-4326-ac07-8da7d48b7cd9","P2D","2 days","Timing","Timing_2","PT4H","PT0H","Pre dose","Pre dose timing","TIM2"
"","8f032de6-6e8d-4c29-9137-cf9703759faa","P1D","1 Day","Timing","Timing_3","","","Dosing","Dosing anchor","TIM3"
"-3..3 days","5a081fb7-e988-4388-8cb8-950219f3b3a8","P2W","2 Weeks","Timing","Timing_4","P3D","P3D","Week 2","Week 2 timing","TIM4"
"-3..3 days","eccbe808-985a-43d8-b137-ba17f41ee351","P4W","4 Weeks","Timing","Timing_5","P3D","P3D","Week 4","Week 4 timing","TIM5"
"-3..3 days","abfdaaab-3c61-40cd-acf2-5dcae1675c82","P6W","6 Weeks","Timing","Timing_6","P3D","P3D","Week 6","Week 6 timing","TIM6"
"-3..3 days","f1c12652-0047-4aea-af97-6972fce892d5","P8W","8 Weeks","Timing","Timing_7","P3D","P3D","Week 8","Week 8 timing","TIM7"
"-4..4 days","4516ee61-cd99-40bf-af86-ea765eed46a2","P12W","12 Weeks","Timing","Timing_9","P4D","P4D","Week 12","Week 12 timing","TIM9"
"-4..4 days","6789576a-0f55-458d-b036-32a918f661a2","P16W","16 Weeks","Timing","Timing_11","P4D","P4D","Week 16","Week 16 timing","TIM11"
"-4..4 days","e8f372e3-75d4-48e1-83e2-3331092d72ec","P20W","20 Weeks","Timing","Timing_13","P4D","P4D","Week 20","Week 20 timing","TIM13"
"-4..4 days","35090986-4ed6-45e3-8d6f-6393bb4e60b8","P24W","24 Weeks","Timing","Timing_15","P4D","P4D","Week 24","Week 24 timing","TIM15"
"-3..3 days","31c09a7a-d527-4da0-98b9-df51cf8cdad7","P26W","26 Weeks","Timing","Timing_16","P3D","P3D","Week 26","Week 26 timing","TIM16"
"","4f1e2648-366d-4a4e-8628-adb6fa809648","P2W","2 Weeks","Timing","Timing_8","","","Week 8 Home","Week 8 at home timing","TIM8"
"","312144e4-165a-455d-8a84-2f91c054daea","P2W","2 Weeks","Timing","Timing_10","","","Week 12 Home","Week 12 at home timing","TIM10"
"","ca40f1e9-ff4f-4560-a3c1-6feac2f37db5","P2W","2 Weeks","Timing","Timing_12","","","Week 16 Home","Week 16 at home timing","TIM12"
"","31fe1f1b-9ea0-4d72-9647-867cd907c528","P2W","2 Weeks","Timing","Timing_14","","","Week 20 Home","Week 20 at home timing","TIM14"
"","9fc8f6ac-f244-4d89-b2c1-9437d5f3d162","P1D","1 Day","Timing","Timing_17","","","Adverse Event","Adverse Event","TIM17"
"","93b4b0c4-f88f-4afd-8874-28af26dd40bb","P1D","1 Day","Timing","Timing_18","","","Early Termination","Early Termination","TIM18"
"","3caa3b2c-648c-44db-a575-dd8897d53a11","PT0M","0 mins","Timing","Timing_19","","","Supine","Supine","TIM19"
"","26ecb9a7-0685-45e9-bc41-ee6d55603850","PT5M","5 mins","Timing","Timing_20","","","VS while supine","VS while supine","TIM20"
"","3168b21b-54f1-40d8-ace4-0a8516068dae","PT0M","0 min","Timing","Timing_21","","","Standing","Standing","TIM21"
"","06ee5320-dd6a-47e6-a1f7-8f6a75e07f8b","PT1M","1 min","Timing","Timing_22","","","VS while standing","VS while standing","TIM22"
"","5fc8b2b2-92a6-46fa-92bc-6c884aa8c1db","PT0M","0 min","Timing","Timing_23","","","Standing","Standing","TIM23"
"","22181fc4-9f7d-4126-8bf2-85cec8959de2","PT2M","2 min","Timing","Timing_24","","","VS while standing","VS while standing","TIM24"
