"text","uuid:ID","instanceType","id","name"
"Subject identifier","40404c1a-1de9-434b-ab8b-c53c28055eb7","TransitionRule","TransitionRule_1","ENCOUNTER_START_RULE_1"
"completion of screening activities","98a5be68-4ed0-4c3e-be60-9c22fe53fdc1","TransitionRule","TransitionRule_2","ENCOUNTER_START_RULE_1"
"subject leaves clinic after connection of ambulatory ECG machine","adcca6f7-ad50-427c-a2eb-2775551d74b7","TransitionRule","TransitionRule_3","ENCOUNTER_START_RULE_2"
"subject has connection of ambulatory ECG machine removed","00111635-c69c-453b-8c4e-22440f1282d1","TransitionRule","TransitionRule_4","ENCOUNTER_START_RULE_3"
"Radomized","53ee69de-86c7-496c-9eb7-eba737267e90","TransitionRule","TransitionRule_5","ENCOUNTER_START_RULE_3"
"End of treatment","98643470-f7c4-4f51-a133-98af3934854b","TransitionRule","TransitionRule_6","ENCOUNTER_START_RULE_12"
"Informed consent","00dfde6e-1d7e-4aa9-bef7-dcc562c92202","TransitionRule","TransitionRule_7","ELEMENT_START_RULE_1"
"Completion of all screening activities and no more than 2 weeks from informed consent","d3856eb0-b6d9-491a-b92e-0171fcad835f","TransitionRule","TransitionRule_8","ELEMENT_END_RULE_1"
"Administration of first dose","ab244afe-63f7-41d6-9297-802386607e2f","TransitionRule","TransitionRule_9","ELEMENT_START_RULE_2"
"End of last scheduled visit on study (including early termination)","9e3b2428-93eb-4609-9c1a-0b02c4f061ee","TransitionRule","TransitionRule_14","ELEMENT_START_RULE_7"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","fa39d4f8-d8c8-4d06-99ae-8e14d457216f","TransitionRule","TransitionRule_15","ELEMENT_END_RULE_7"
"Administration of first dose","bd85fea8-24e3-429e-892a-bac1c268a0f5","TransitionRule","TransitionRule_10","ELEMENT_START_RULE_3"
"Randomized","a2d8f74b-e2c7-405f-bf00-052e12e5f7b8","TransitionRule","TransitionRule_11","ELEMENT_START_RULE_4"
"Administration of first dose (from patches supplied at Visit 4)","dcef4f92-b3e4-4781-98c3-ac0660dd5ece","TransitionRule","TransitionRule_12","ELEMENT_START_RULE_5"
"Administration of first dose (from patches supplied at Visit 12)","e2680cdf-bdf3-4a17-8e72-65b3f72fd26f","TransitionRule","TransitionRule_13","ELEMENT_START_RULE_6"
