"uuid:ID","instanceType","id","label","description","name"
"87507d89-adb5-41d0-9375-69c85fef5d18","Encounter","Encounter_1","Screening 1","Screening encounter","E1"
"b3f77ace-7456-4ce4-abcd-17bd6cd76ccb","Encounter","Encounter_2","Screening 2","Screening encounter - Ambulatory ECG Placement","E2"
"976e2dce-246a-4d40-a078-4eac8ba37f9b","Encounter","Encounter_3","Baseline","Baseline encounter - Ambulatory ECG Removal","E3"
"2408e94a-ee23-4b64-b142-ba056a3441a9","Encounter","Encounter_4","Week 2","Day 14","E4"
"e8024044-0ee3-43cb-82b6-4c9ea6ee1f35","Encounter","Encounter_5","Week 4","Day 28","E5"
"c3fe7400-1799-4447-aa40-cb257d192773","Encounter","Encounter_6","Week 6","Day 42","E7"
"588dec39-28ad-4084-ad31-b89654c623ea","Encounter","Encounter_7","Week 8","Day 56","E8"
"79a54e5a-262b-47cb-a1f2-d877b3c7c790","Encounter","Encounter_8","Week 12","Day 84","E9"
"167481d8-e28b-405f-b912-738314f45cf9","Encounter","Encounter_9","Week 16","Day 112","E10"
"bda5dddc-4e89-49b4-89c3-ba159437edfd","Encounter","Encounter_10","Week 20","Day 140","E11"
"70f54d4f-29cc-4a94-b988-4346a14c1d50","Encounter","Encounter_11","Week 24","Day 168","E12"
"f8b4378d-0183-4e21-8565-b0f3d4a110f3","Encounter","Encounter_12","Week 26","Day 182","E13"
