"uuid:ID","synonyms","instanceType","reference","id","label","name"
"1e9f18c8-3cdb-455a-81c8-45cc3583bf74","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept_20","Informed Consent Obtained","Informed Consent Obtained"
"f610bedf-2d31-4e00-a87d-85664587da29","","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept_21","Sex","Sex"
"457c8c0f-3d71-4699-9410-7f2d85502ed2","['Racial Group']","BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept_22","Race","Race"
"4a1b8f6c-b984-49ee-9418-f376ef6a12f2","['Temperature', 'Body Temperature']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept_23","Temperature","Temperature"
"1b0f3aee-0546-4f4c-aadd-820f9b9381ae","['Weight', 'Body Weight']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept_24","Weight","Weight"
"fb23cbbd-6ff0-4437-b9c2-7970523e6d35","['Height', 'Body Height']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept_25","Height","Height"
"12fe516a-95a9-4540-a86d-28681bc2e2e8","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma"
"57c5b981-d56d-4f24-9be7-c1bfbaf200b9","['Albumin', 'Albumin Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept_27","Albumin Presence in Urine","Albumin Presence in Urine"
"df3de32f-becb-4c09-86d5-609daaf3bd17","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma"
"9037dd65-c096-46a8-9b50-12d551acdbaa","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma"
