"uuid:ID","instanceType","id","label","description","name"
"dfb2cc9f-9d47-49ca-8f44-28d32d806cd9","ScheduledActivityInstance","ScheduledActivityInstance_9","Screen One","-","SCREEN1"
"809a2ec8-b63a-4f47-b2e0-18d26ad3a2ca","ScheduledActivityInstance","ScheduledActivityInstance_10","Screen Two","-","SCREEN2"
"7d452985-5a57-45f2-96c0-6c06c0b3e4a1","ScheduledActivityInstance","ScheduledActivityInstance_11","Dose","-","DOSE"
"c6ad3dd1-171b-4081-8d52-edc7571c5c53","ScheduledActivityInstance","ScheduledActivityInstance_12","Week 2","-","WK2"
"8c627b35-1146-44da-b52e-993843be7698","ScheduledActivityInstance","ScheduledActivityInstance_13","Week 4","-","WK4"
"ed0c500a-6469-4dac-9cb8-fa2a0a630e00","ScheduledActivityInstance","ScheduledActivityInstance_14","Week 6","-","WK6"
"fdf90cef-7e4d-40b5-9088-da1614871ab7","ScheduledActivityInstance","ScheduledActivityInstance_15","Week 8","-","WK8"
"afe11e47-1f7d-4b2a-a6c9-b7fdc27e70e9","ScheduledActivityInstance","ScheduledActivityInstance_16","Week NPI","-","WK8N"
"3c482c7e-b6d3-487a-bf16-cdc5662dca80","ScheduledActivityInstance","ScheduledActivityInstance_17","Week 12","-","WK12"
"9e649438-ebe9-4d4b-a75b-98f2eb9eb776","ScheduledActivityInstance","ScheduledActivityInstance_18","Week 12 NPI","-","WK12N"
"3bbfc29d-b5e9-4ee4-a5da-cc816f69cebf","ScheduledActivityInstance","ScheduledActivityInstance_19","Week 16","-","WK16"
"53d82ea9-65d0-4fdf-8c30-b62bb6b149d8","ScheduledActivityInstance","ScheduledActivityInstance_20","Week 16 NPI","-","WK16N"
"8a749707-273f-4154-af9a-3709480f28fd","ScheduledActivityInstance","ScheduledActivityInstance_21","Week 20","-","WK20"
"dfccf35f-6a67-4c53-823b-9c494929e169","ScheduledActivityInstance","ScheduledActivityInstance_22","Week 20 NPI","-","WK20N"
"8dfcbddd-a42c-46b2-9b47-64c0d1502431","ScheduledActivityInstance","ScheduledActivityInstance_23","Week 24","-","WK24"
"cbc97247-28d6-4884-bcb3-a64984b636d1","ScheduledActivityInstance","ScheduledActivityInstance_24","Week 26","-","WK26"
"d23938c9-77e1-4d6d-b048-2415e7787ccb","ScheduledActivityInstance","ScheduledActivityInstance_1","Adevers Event","-","AE"
"60354204-7f6d-43e5-b56b-261b05f26cb9","ScheduledActivityInstance","ScheduledActivityInstance_2","Early Termination","-","ET"
"81321342-ec88-4071-871c-25625d741a7d","ScheduledActivityInstance","ScheduledActivityInstance_3","5 minute supine","","VS_5MIN"
"e07df359-4e52-42e8-9a70-bfda9c03327c","ScheduledActivityInstance","ScheduledActivityInstance_4","Vital signs supine","","VS_SUPINE"
"56789662-4698-4c72-992b-9c523fd33920","ScheduledActivityInstance","ScheduledActivityInstance_5","1 minute standing","","VS_1MIN"
"5d538ec9-dbdc-4892-9925-76fbfec09f8e","ScheduledActivityInstance","ScheduledActivityInstance_6","Vital signs after 1 min standing","","VS_STAND1"
"29254ac9-7580-4864-bb2b-735d89017b9f","ScheduledActivityInstance","ScheduledActivityInstance_7","2 minute standing","","VS_2MIN"
"25e5fa67-628b-42f2-b943-04ec72d3bc09","ScheduledActivityInstance","ScheduledActivityInstance_8","Vital signs after 3 min standing","","VS_STAND3"
