"code","uuid:ID","decode","codeSystemVersion","instanceType","id","codeSystem"
"C98388","7d496b9a-6a81-4844-8c65-44d76acef70b","Interventional Study","2023-12-15","Code","Code_1","http://www.cdisc.org"
"C15601","233d214c-50b0-4102-b012-b12a4c1ea97a","Phase II Trial","2023-12-15","Code","Code_2","http://www.cdisc.org"
"C132352","1fdbafb9-7997-4275-9fec-0e69c2677a23","Sponsor Approval Date","2023-12-15","Code","Code_9","http://www.cdisc.org"
"C68846","f60c67ab-c6ad-430d-a1e2-c4f2b4be6dac","Global","2023-12-15","Code","Code_10","http://www.cdisc.org"
"C99904x3","ff94b1e7-69d4-4d6c-adef-3dffef8628ea","IRB/IEC Feedback","2023-12-15","Code","Code_72","http://www.cdisc.org"
"C17649","1fe77494-6bf0-47b2-9e88-2e039abf7bf7","Other","2023-12-15","Code","Code_73","http://www.cdisc.org"
"C41129","686efa4e-c6e3-4170-bd06-7d1988befdcf","Region","2023-12-15","Code","Code_75","http://www.cdisc.org"
"150","a5dbe5f5-e870-4700-af60-ff0f43776e87","Europe","2020-08","Code","Code_74","ISO 3166 1 alpha3"
"PHARMA","6114e4a6-e34d-4701-8b0a-af76761c589c","Eli Lilly","12","Code","Code_4","SPONSOR"
"C70793","6512eeee-737b-4e05-9749-3db8353aa9c8","Clinical Study Sponsor","2023-12-15","Code","Code_76","http://www.cdisc.org"
"USA","39eed650-b120-483f-9ab7-52b2e0d8fadc","United States of America","2020-08","Code","Code_77","ISO 3166 1 alpha3"
"C93453","fb261aa6-477f-4b66-8279-f6b3c547d291","Study Registry","2023-12-15","Code","Code_78","http://www.cdisc.org"
"USA","8a53e10f-56f2-46b6-9936-c2d16b4bd541","United States of America","2020-08","Code","Code_79","ISO 3166 1 alpha3"
"C49656","64b4492c-f5c7-4fa2-896f-52b05e067b67","Treatment Study","2023-12-15","Code","Code_137","http://www.cdisc.org"
"C49666","75b2eb6a-0c71-4871-8dde-0abc12c57709","Efficacy Study","2023-12-15","Code","Code_138","http://www.cdisc.org"
"C49667","aeae6ac2-93b5-42dd-9f52-f7ccb2599579","Safety Study","2023-12-15","Code","Code_139","http://www.cdisc.org"
"C49663","7746d090-e14e-4cef-8f54-fd6a9aa75c99","Pharmacokinetic Study","2023-12-15","Code","Code_140","http://www.cdisc.org"
"MILD_MOD_ALZ","402990ef-c674-4b51-b740-63451c1699d7","Mild to Moderate Alzheimer's Disease","12","Code","Code_134","SPONSOR"
"26929004","a9013bfc-1142-4be1-8158-07d785590d38","Alzheimer's disease","January 31, 2018","Code","Code_135","SNOMED"
"C99907x1","db435fdc-04bb-400d-a9b8-5975cad0e722","EXTENSION","2023-12-15","Code","Code_143","http://www.cdisc.org"
"C98704","06e6f0ba-3e8d-4f2a-b981-7dc8bd16b066","ADAPTIVE","2023-12-15","Code","Code_144","http://www.cdisc.org"
