"uuid:ID","instanceType","id","label","description","name"
"0ef05d96-be70-4d35-90f5-561c6f31b141","Activity","Activity_1","Informed consent","","Informed consent"
"7a936036-cece-4f79-a4a3-7ccaccf3a0e0","Activity","Activity_2","Inclusion and exclusion criteria","","Inclusion/exclusion criteria"
"ac14be30-8075-414f-ad21-5c1fed8d9a39","Activity","Activity_3","Patient number assigned","","Patient number assigned"
"1946ed88-8785-4a08-ba46-7b1463e34785","Activity","Activity_4","Demographics","","Demographics"
"a668bba1-c95d-4378-ba71-54949ef4f91e","Activity","Activity_5","Hachinski Ischemic Scale","","Hachinski"
"7265b946-fada-4eac-ae82-bdb9918fcb23","Activity","Activity_6","MMSE","","MMSE"
"c0395c0c-b6b8-4469-a471-0486012d6935","Activity","Activity_7","Physical examination","","Physical examination"
"72bd8d49-c8cb-43d3-9c85-37b04d66e8e4","Activity","Activity_8","Medical history","","Medical history"
"fa38230c-9d12-401f-b244-0856b14e5561","Activity","Activity_9","Habits","","Habits"
"1e6c1747-5125-4903-a6a8-fb87f4c9256e","Activity","Activity_10","Chest X-ray","","Chest X-ray"
"9fb66f46-5dc1-4cc5-8a1a-fbeb1c5aa7e7","Activity","Activity_11","Apo E genotyping","","Apo E genotyping"
"412c6bce-9a12-47c2-896f-1ba647666434","Activity","Activity_12","Patient randomised","","Patient randomised"
"8139e40c-b1c5-4a6e-b462-40d8fdd42c71","Activity","Activity_13","Vital Signs and Temperature","","Vital signs / Temperature"
"7bc49482-e2d5-4305-94e8-a30875cc85f0","Activity","Activity_14","Ambulatory ECG placed","","Ambulatory ECG placed"
"2dc5802c-a87b-4fc6-87f2-719f0e77e8b2","Activity","Activity_15","Ambulatory ECG removed","","Ambulatory ECG removed"
"6d92600d-2d5b-4b1b-94d4-d44d75e67b82","Activity","Activity_16","ECG","","ECG"
"0059b311-550f-4bd8-b064-02d7d4b565c3","Activity","Activity_17","Placebo TTS test","","Placebo TTS test"
"c129af8c-aea5-45dd-ae57-0c392131f34d","Activity","Activity_18","CT scan","","CT scan"
"8b242477-ac7c-4c6d-9a0c-17b2aeaf74bd","Activity","Activity_19","Concomitant medications","","Concomitant medications"
"52c32a4c-3a3a-46b6-8b5f-bbe98a78a481","Activity","Activity_20","Hematology","","Hematology"
"d41e8cfe-3bd6-4a60-ab67-22036f2c606c","Activity","Activity_21","Chemistry","","Chemistry"
"62cc5fd9-dad3-4a84-9ef4-7914d0dd16c6","Activity","Activity_22","Uninalysis","","Uninalysis"
"6424afba-361b-452b-9876-8d901ca40a23","Activity","Activity_23","Plasma Specimen (Xanomeline)","","Plasma Specimen (Xanomeline)"
"56741c81-0cfe-426d-a148-4df444c0e22a","Activity","Activity_24","Hemoglobin A1C","","Hemoglobin A1C"
"ec88fc08-c847-4e2b-a86e-9e62a4bcafe2","Activity","Activity_25","Study drug record , Medications dispensed, Medications returned","","Study drug"
"1a8f9b75-3c05-4fc4-b1f4-c1bb2f22ac2a","Activity","Activity_26","TTS Acceptability Survey","","TTS Acceptability Survey"
"8d8a0ecd-9854-46c2-9ab4-f9e38e3654ec","Activity","Activity_27","ADAS-Cog","","ADAS-Cog"
"6759b52f-bf53-41bf-beaf-ac00f46223d1","Activity","Activity_28","CIBIC+","","CIBIC+"
"7d2b0938-521b-419b-a49e-7b89042301de","Activity","Activity_29","DAD","","DAD"
"b7d988e0-c5d0-4972-becd-8d120a09f531","Activity","Activity_30","NPI-X","","NPI-X"
"77c6490f-04f9-4176-a92f-9cc67970998a","Activity","Activity_31","Adverse events","","Adverse events"
"5bf2f776-8748-40de-848b-2f4a40f56120","Activity","Activity_32","Check adverse events","","Check adverse events"
"f38003a6-052a-4c36-a6a5-93585a329041","Activity","Activity_33","Subject supine","","Supine"
"5712032f-2d67-499d-b697-9d6b3263589c","Activity","Activity_34","Vital signs while supine","","Vital Signs Supine"
"549fb6b7-464f-4375-bbff-038a45fd6821","Activity","Activity_35","Subject Standing","","Stand"
"f2c32483-d13d-44df-a226-518addab0520","Activity","Activity_36","Vital signs while standing","","Vital Signs Standing"
