"codeSystem","codeSystemVersion","uuid:ID","instanceType","code","decode","id"
"http://www.cdisc.org","2023-12-15","af9ed4a0-9fb3-49d6-aab3-f2bd77a7a164","Code","C98388","Interventional Study","Code_1"
"http://www.cdisc.org","2023-12-15","1e8f3671-72db-4291-af8c-7c1890d6ff26","Code","C15601","Phase II Trial","Code_2"
"http://www.cdisc.org","2023-12-15","f1a4ded1-0dde-46c5-8b76-3c0bc4f660e9","Code","C132352","Sponsor Approval Date","Code_9"
"http://www.cdisc.org","2023-12-15","5d392a17-c281-4816-bdfc-ce39089e44b2","Code","C68846","Global","Code_10"
"http://www.cdisc.org","2023-12-15","eab3184c-76bc-4d15-bfce-d3171efdae55","Code","C99904x3","IRB/IEC Feedback","Code_72"
"http://www.cdisc.org","2023-12-15","0df331a9-f67b-42d0-a9a3-fdce8fae4b26","Code","C17649","Other","Code_73"
"http://www.cdisc.org","2023-12-15","0ca0b432-bce1-40dc-b4f7-cddb07d09f1d","Code","C41129","Region","Code_75"
"ISO 3166 1 alpha3","2020-08","f78e53e8-a2e5-478d-bda4-5372f0003a09","Code","150","Europe","Code_74"
"SPONSOR","12","590a1c41-9a0c-49a6-a86f-2ca716b181e7","Code","PHARMA","Eli Lilly","Code_4"
"http://www.cdisc.org","2023-12-15","93fcbc4e-5ae8-4ea3-8f45-e054e77c894e","Code","C70793","Clinical Study Sponsor","Code_76"
"ISO 3166 1 alpha3","2020-08","ddd0fd41-8682-488a-b5da-81e0f2a98eae","Code","USA","United States of America","Code_77"
"http://www.cdisc.org","2023-12-15","3fa5e0e8-29b4-4c34-8b64-9a0bb1b4be56","Code","C93453","Study Registry","Code_78"
"ISO 3166 1 alpha3","2020-08","10481a75-5167-459b-8af1-1150fec51def","Code","USA","United States of America","Code_79"
"http://www.cdisc.org","2023-12-15","9b3481e0-5ccd-40ec-90e3-1666ef949882","Code","C49656","Treatment Study","Code_137"
"http://www.cdisc.org","2023-12-15","3d884205-0dce-406e-a7a1-4979f2f64f44","Code","C49666","Efficacy Study","Code_138"
"http://www.cdisc.org","2023-12-15","514c2744-9923-4673-9aad-fdcd9907de8d","Code","C49667","Safety Study","Code_139"
"http://www.cdisc.org","2023-12-15","35966f01-3173-4569-b427-c0bea559e746","Code","C49663","Pharmacokinetic Study","Code_140"
"SPONSOR","12","a762ca69-f418-4b47-963a-a60796a4d8b9","Code","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","Code_134"
"SNOMED","January 31, 2018","b1bfaaf6-4530-4c01-8981-209eec92a192","Code","26929004","Alzheimer's disease","Code_135"
"http://www.cdisc.org","2023-12-15","1043f068-dfc2-4836-9b64-cd269f14b452","Code","C99907x1","EXTENSION","Code_143"
"http://www.cdisc.org","2023-12-15","b37ce331-dfef-4714-8db7-51219deaac73","Code","C98704","ADAPTIVE","Code_144"
"http://www.cdisc.org","2023-12-15","32605b79-5645-495d-a328-f7b407f0be21","Code","C82639","Parallel Study","Code_141"
"http://www.cdisc.org","2023-12-15","a9bb34ea-1104-4a30-903c-523fa8fed868","Code","C25716","Visit","Code_83"
"http://www.cdisc.org","2023-12-15","a0b57314-b77c-417b-ad92-2ccf37d60a9e","Code","C51282","Clinic","Code_84"
"http://www.cdisc.org","2023-12-15","5cc1eb29-4b02-4f07-9e5b-fb61e751918b","Code","C175574","In Person","Code_85"
"http://www.cdisc.org","2023-12-15","3961178f-8486-4265-b4b3-ae35feaf4a06","Code","C25716","Visit","Code_86"
"http://www.cdisc.org","2023-12-15","cbbddcbe-2af3-46c5-aaf1-98ec0f122014","Code","C51282","Clinic","Code_87"
"http://www.cdisc.org","2023-12-15","680932b4-8f04-43e7-a23e-bb8895bc4a5c","Code","C175574","In Person","Code_88"
"http://www.cdisc.org","2023-12-15","63d466ee-aa95-4467-8e06-634d53db9773","Code","C25716","Visit","Code_89"
"http://www.cdisc.org","2023-12-15","cf4b1c66-a863-4cc7-91d9-d276136c6263","Code","C51282","Clinic","Code_90"
"http://www.cdisc.org","2023-12-15","d73903d5-c41e-4220-9f7a-52b5303efcc4","Code","C175574","In Person","Code_91"
"http://www.cdisc.org","2023-12-15","701c5351-75b1-4a1c-b3ba-9f2f3aefd7ce","Code","C25716","Visit","Code_92"
"http://www.cdisc.org","2023-12-15","b1fccfa1-d866-4c0e-8903-cce26dcedf37","Code","C51282","Clinic","Code_93"
"http://www.cdisc.org","2023-12-15","ee4b81bc-4324-41f8-a6b7-62d0020df73f","Code","C175574","In Person","Code_94"
"http://www.cdisc.org","2023-12-15","e0a8521c-f8e0-4fa9-90dc-fa9ed4e2ac52","Code","C25716","Visit","Code_95"
"http://www.cdisc.org","2023-12-15","c67fbf40-cda3-4f7d-9d95-7008d568c77f","Code","C51282","Clinic","Code_96"
"http://www.cdisc.org","2023-12-15","41a12d5b-2459-4b13-bf4c-1f0f5e060c90","Code","C175574","In Person","Code_97"
"http://www.cdisc.org","2023-12-15","e45de02d-bad9-4ec9-b409-ea0e70f14cb4","Code","C25716","Visit","Code_98"
"http://www.cdisc.org","2023-12-15","00f5e996-d900-448a-8859-2a664e468418","Code","C51282","Clinic","Code_99"
"http://www.cdisc.org","2023-12-15","cb234a17-a5f5-45cc-9a31-3167ea2f3f35","Code","C175574","In Person","Code_100"
"http://www.cdisc.org","2023-12-15","71b27a0b-8f55-44c8-b812-6a8f3dc1f83c","Code","C25716","Visit","Code_101"
"http://www.cdisc.org","2023-12-15","848312f4-b159-4cb2-ad92-c6937c59bb82","Code","C51282","Clinic","Code_102"
"http://www.cdisc.org","2023-12-15","6a59d78b-49f2-46cb-bde4-e88e7841b05b","Code","C175574","In Person","Code_103"
"http://www.cdisc.org","2023-12-15","374f442f-36ed-4d52-8471-e48c53adef3c","Code","C171537","Telephone Call","Code_104"
"http://www.cdisc.org","2023-12-15","d988d23b-30ba-43a4-9309-07927ee43826","Code","C25716","Visit","Code_105"
"http://www.cdisc.org","2023-12-15","fdd219d1-5b26-487f-95ab-bf50965b4419","Code","C51282","Clinic","Code_106"
"http://www.cdisc.org","2023-12-15","b1eb12c0-cd4e-4505-897c-978c53d276b4","Code","C175574","In Person","Code_107"
"http://www.cdisc.org","2023-12-15","af89a611-747c-489f-b5b3-0ab481036eb0","Code","C171537","Telephone Call","Code_108"
"http://www.cdisc.org","2023-12-15","47e0ba7b-7acd-430d-9866-911d50a41bda","Code","C25716","Visit","Code_109"
"http://www.cdisc.org","2023-12-15","e15baa8d-9255-4342-9586-78ec5ded6597","Code","C51282","Clinic","Code_110"
"http://www.cdisc.org","2023-12-15","2aca408f-557b-4290-9127-f2331c98bc18","Code","C175574","In Person","Code_111"
"http://www.cdisc.org","2023-12-15","c844703e-b4fa-460e-a818-7ed4ebf69e8f","Code","C171537","Telephone Call","Code_112"
"http://www.cdisc.org","2023-12-15","78daae2a-1109-4892-b826-3e83219a3cbf","Code","C25716","Visit","Code_113"
"http://www.cdisc.org","2023-12-15","18a6d920-c464-4294-84d4-4630c8501d20","Code","C51282","Clinic","Code_114"
"http://www.cdisc.org","2023-12-15","5ef8704b-03f6-4c13-a0da-c5bfb0e2358f","Code","C175574","In Person","Code_115"
"http://www.cdisc.org","2023-12-15","a6bcf0b4-8a9c-4c43-b295-d817f956f161","Code","C171537","Telephone Call","Code_116"
"http://www.cdisc.org","2023-12-15","d7243270-9cac-4ef0-9977-a11a587431d6","Code","C25716","Visit","Code_117"
"http://www.cdisc.org","2023-12-15","70af2d05-2155-4c1a-8688-481321830619","Code","C51282","Clinic","Code_118"
"http://www.cdisc.org","2023-12-15","e9ee2b17-8fd6-412b-b3bb-952ab293062d","Code","C175574","In Person","Code_119"
"http://www.cdisc.org","2023-12-15","c217b530-05f2-475d-8090-e1c979128510","Code","C25716","Visit","Code_120"
"http://www.cdisc.org","2023-12-15","cec405d9-cc2a-465d-ac4f-7504ef3e9fed","Code","C51282","Clinic","Code_121"
"http://www.cdisc.org","2023-12-15","05154f33-a64d-4882-a4bd-21e0299dc7a2","Code","C175574","In Person","Code_122"
"SNOMED","January 31, 2018","eb68ba98-ca94-4ac9-a131-916d3d35b383","Code","383371000119108","CT of head without contrast","Code_80"
"SPONSOR","12","9dc63d6b-11e2-4b05-aebb-70eba6702294","Code","123","Subject Supine","Code_81"
"SPONSOR","12","37ad4dbd-9da8-4335-af72-cc47a9ca66a0","Code","124","Subject Standing","Code_82"
"http://www.cdisc.org","2023-12-15","f523551c-20de-4d0d-a9e9-ebb3fad39827","Code","C82977","Dictionary-derived Term","Code_429"
"http://www.cdisc.org","2023-12-15","7073f5ad-b64b-427f-a1f5-ceb98f8f9173","Code","C82571","Reported Event Term","Code_430"
"http://www.cdisc.org","2023-12-15","4b4b776e-123b-4025-8944-31d0ff3bb275","Code","C82517","Observation Start Date Time","Code_431"
"http://www.cdisc.org","2023-12-15","11dc8fc3-4c01-4c37-969d-38d3a1cf2204","Code","C16735","Informed Consent","Code_432"
"http://www.cdisc.org","2023-12-15","9b5d93ab-630f-41c2-bca4-583361cd3b03","Code","C20197","Male","Code_433"
"http://www.cdisc.org","2023-12-15","25c0b1a1-87ca-4c4d-b4e9-8daa73ee185a","Code","C16576","Female","Code_434"
"http://www.cdisc.org","2023-12-15","54770af1-3831-4b5d-aa2e-c5713b4e9a55","Code","C28421","Sex","Code_435"
"http://www.cdisc.org","2023-12-15","d4f2a34f-f4f6-4a48-97dd-0a9b1fced89f","Code","C28421","Sex","Code_436"
"http://www.cdisc.org","2023-12-15","48951b59-46e6-4ba9-be43-a76e35e2e00c","Code","C17049","Race","Code_437"
"http://www.cdisc.org","2023-12-15","ce2f161f-9ba8-456a-b8f8-2572d8ef64d3","Code","C17049","Race","Code_438"
"http://www.cdisc.org","2023-12-15","7eba5964-f95f-4b5a-831e-785e7d0407e3","Code","C174446","TEMP","Code_439"
"http://www.cdisc.org","2023-12-15","4dc007b6-3da3-4948-8ebb-45500853c850","Code","C77140","Clinical Test Result","Code_440"
"http://www.cdisc.org","2023-12-15","a3056a28-f20d-4a28-b069-8a4a526224ed","Code","C42559","Degree Celsius","Code_441"
"http://www.cdisc.org","2023-12-15","245d1dba-dc04-4088-bcdc-45f85a8e205a","Code","C44277","Degree Fahrenheit","Code_442"
"http://www.cdisc.org","2023-12-15","eaab8cd0-3949-41e5-9623-0b219f3da5df","Code","C42537","Kelvin","Code_443"
"http://www.cdisc.org","2023-12-15","0ca83613-94a6-4598-bf74-1fb2856343e1","Code","C44276","Unit of Temperature","Code_444"
"http://www.cdisc.org","2023-12-15","17eee2e9-16ca-4c07-a4f0-e84aa1bd10e9","Code","C12674","Axilla","Code_445"
"http://www.cdisc.org","2023-12-15","11a009b3-89d1-4a4c-b0d2-7708a08595a6","Code","C12394","Ear","Code_446"
"http://www.cdisc.org","2023-12-15","d62f72b3-7a1d-4bab-a8ea-b27a34d0c96f","Code","C89803","Forehead","Code_447"
"http://www.cdisc.org","2023-12-15","aaa3de20-9bec-4af9-bc04-35adf27160f9","Code","C12421","Oral Cavity","Code_448"
"http://www.cdisc.org","2023-12-15","88570ad5-7510-48db-a613-bc2cdcb35ddc","Code","C12390","Rectum","Code_449"
"http://www.cdisc.org","2023-12-15","19f2246e-8f66-4db1-a712-c0bbe8f47ed2","Code","C13717","Anatomic Site","Code_450"
"http://www.cdisc.org","2023-12-15","b1f33e9a-a786-48c3-93c8-8d3a915cfd0e","Code","C174446","TEMP","Code_451"
"http://www.cdisc.org","2023-12-15","a7b7c6ba-c7d5-4e69-aada-38d2c8a9059c","Code","C25208","WEIGHT","Code_452"
"http://www.cdisc.org","2023-12-15","4ef8c143-5892-4bb2-8161-3a26722f9b12","Code","C77140","Clinical Test Result","Code_453"
"http://www.cdisc.org","2023-12-15","4bdac9b1-7f0d-4341-b7c6-eef94e5e764c","Code","C48531","Pound","Code_454"
"http://www.cdisc.org","2023-12-15","5544dc00-92df-4ee8-add9-301a6b086f15","Code","C48155","Gram","Code_455"
"http://www.cdisc.org","2023-12-15","b473ec69-1a89-4fe7-80b4-ad1f059cc637","Code","C28252","Kilogram","Code_456"
"http://www.cdisc.org","2023-12-15","32752634-f3ec-490c-9e5c-58eda77276b7","Code","C48208","Unit of Weight","Code_457"
"http://www.cdisc.org","2023-12-15","7d4a2764-fe8c-4000-9623-40b31f5231d6","Code","C25208","WEIGHT","Code_458"
"http://www.cdisc.org","2023-12-15","3091a9b8-cb49-4fbf-a1de-3171b6dee4a7","Code","C25347","HEIGHT","Code_459"
"http://www.cdisc.org","2023-12-15","ef22a131-ab7b-48fb-a33b-5b9417cac8e5","Code","C77140","Clinical Test Result","Code_460"
"http://www.cdisc.org","2023-12-15","9cf15d25-4e57-4131-91a5-d68d32e13ff8","Code","C49668","Centimeter","Code_461"
"http://www.cdisc.org","2023-12-15","45b1efb6-d9ef-4227-9fd6-964eaf6b6fd3","Code","C48500","Inch","Code_462"
"http://www.cdisc.org","2023-12-15","ccc42f08-f0fc-4836-9000-51cb457a0d94","Code","C41139","Meter","Code_463"
"http://www.cdisc.org","2023-12-15","6fe2ee8b-2358-4bc6-b3a6-6591f6c8ca2c","Code","C168688","Unit of Height","Code_464"
"http://www.cdisc.org","2023-12-15","2e7289f9-59e6-49bd-8a2c-63e087299de5","Code","C25347","HEIGHT","Code_465"
"http://www.cdisc.org","2023-12-15","bf5efbb5-6f5d-45a8-8b11-02e2de0196ea","Code","C64433","ALT","Code_466"
"http://www.cdisc.org","2023-12-15","4d161c08-0de6-41a9-8f6f-9738a492e04f","Code","C36292","Laboratory Test Result","Code_467"
"http://www.cdisc.org","2023-12-15","46bc4f28-47e9-4dee-b9dc-1ec5b6d9aaec","Code","C67456","Unit per Liter","Code_468"
"http://www.cdisc.org","2023-12-15","47dbe48a-a4c0-4f24-b397-7aaa89f2efa1","Code","C67397","Microkatal per Liter","Code_469"
"http://www.cdisc.org","2023-12-15","04af840c-8260-4ffb-a97c-0d49d0aab888","Code","C67376","International Unit per Liter","Code_470"
"http://www.cdisc.org","2023-12-15","b918539b-71f4-4af5-a47e-a7f89d980b09","Code","C70510","Nanokatal per Liter","Code_471"
"http://www.cdisc.org","2023-12-15","b047af23-4dc4-42e6-9766-e60fb837d7b8","Code","C67365","Unit of Catalytic Activity Concentration","Code_472"
"http://www.cdisc.org","2023-12-15","8062a45a-ed68-410d-a136-cbc652a9c280","Code","C70713","Biospecimen Type","Code_473"
"http://www.cdisc.org","2023-12-15","1985891e-9ba6-4e06-9ae6-3e65957155a1","Code","C49487","No","Code_474"
"http://www.cdisc.org","2023-12-15","41d83ea3-1dc9-440f-bd58-6f59b7775bfb","Code","C49488","Yes","Code_475"
"http://www.cdisc.org","2023-12-15","ccfc9b6c-454b-45c7-b7c5-b3bc4a1251b1","Code","C83309","Laboratory Test Fasting Status","Code_476"
"http://www.cdisc.org","2023-12-15","40c9c576-5caf-4afb-9a6f-4912cacd3a84","Code","C64433","ALT","Code_477"
"http://www.cdisc.org","2023-12-15","a78bcebb-5f38-4287-8c34-e8b9e173cb1d","Code","C64431","ALB","Code_478"
"http://www.cdisc.org","2023-12-15","a5b97daf-a567-4ed1-bc8f-dba36f07f32c","Code","C36292","Laboratory Test Result","Code_479"
"http://www.cdisc.org","2023-12-15","65f34f76-84d3-4201-ba2f-4617622cf817","Code","C70713","Biospecimen Type","Code_480"
"http://www.cdisc.org","2023-12-15","6ba3b2e8-0375-4e17-8f3b-ec72526b90c4","Code","C49487","No","Code_481"
