"uuid:ID","description","instanceType","name","label","id"
"59ba110d-5fb8-4c94-bcfa-a4f2677e44bf","-","ScheduledActivityInstance","SCREEN1","Screen One","ScheduledActivityInstance_9"
"09b88e39-7885-4b0a-81b1-b010c9f6ed62","-","ScheduledActivityInstance","SCREEN2","Screen Two","ScheduledActivityInstance_10"
"7eac60da-de57-444d-94cd-3ae97b078232","-","ScheduledActivityInstance","DOSE","Dose","ScheduledActivityInstance_11"
"af1e9672-9769-43f4-9900-e9c81a7c7af4","-","ScheduledActivityInstance","WK2","Week 2","ScheduledActivityInstance_12"
"a9a7c995-a68d-40f3-9b87-d9bbcba214b6","-","ScheduledActivityInstance","WK4","Week 4","ScheduledActivityInstance_13"
"91bce837-22d1-4ccd-86c4-8c8998134d04","-","ScheduledActivityInstance","WK6","Week 6","ScheduledActivityInstance_14"
"3b963740-71c9-4f26-9368-13851c4c7cde","-","ScheduledActivityInstance","WK8","Week 8","ScheduledActivityInstance_15"
"efb07236-ec98-474e-8c33-fc37443d776d","-","ScheduledActivityInstance","WK8N","Week NPI","ScheduledActivityInstance_16"
"048138a8-77af-4749-ab63-f486f4fe949f","-","ScheduledActivityInstance","WK12","Week 12","ScheduledActivityInstance_17"
"4f1646f7-a099-440a-80d5-57b5b250a61e","-","ScheduledActivityInstance","WK12N","Week 12 NPI","ScheduledActivityInstance_18"
"8c7df27e-6cc1-4ea3-ad1f-7a2a7f81f5e0","-","ScheduledActivityInstance","WK16","Week 16","ScheduledActivityInstance_19"
"8a146d34-1820-45f7-bc52-38d0527e25e5","-","ScheduledActivityInstance","WK16N","Week 16 NPI","ScheduledActivityInstance_20"
"a3ec7cf6-11d2-48dc-af94-421592c304a3","-","ScheduledActivityInstance","WK20","Week 20","ScheduledActivityInstance_21"
"d29de52e-5544-4574-baba-4307c45e58ec","-","ScheduledActivityInstance","WK20N","Week 20 NPI","ScheduledActivityInstance_22"
"187336dd-23ca-434b-803d-09e44f621b28","-","ScheduledActivityInstance","WK24","Week 24","ScheduledActivityInstance_23"
"606c4bce-7073-417f-b40f-40961095942c","-","ScheduledActivityInstance","WK26","Week 26","ScheduledActivityInstance_24"
"822c69a1-4892-4c2d-aa04-3b60c02856b6","-","ScheduledActivityInstance","AE","Adevers Event","ScheduledActivityInstance_1"
"5787b39a-18e7-4382-b6db-28d4b87c07ba","-","ScheduledActivityInstance","ET","Early Termination","ScheduledActivityInstance_2"
"69d44b88-fffc-46f3-bbaa-9a78e39a8643","","ScheduledActivityInstance","VS_5MIN","5 minute supine","ScheduledActivityInstance_3"
"62bd2851-cf16-45cf-959b-8f6739077942","","ScheduledActivityInstance","VS_SUPINE","Vital signs supine","ScheduledActivityInstance_4"
"ac96dc74-b301-410e-a113-20701b1cab3c","","ScheduledActivityInstance","VS_1MIN","1 minute standing","ScheduledActivityInstance_5"
"4bf603a2-94fa-41ee-8768-64716a121f1a","","ScheduledActivityInstance","VS_STAND1","Vital signs after 1 min standing","ScheduledActivityInstance_6"
"fb44a9fd-83c9-4f1e-8231-9136e4f63e87","","ScheduledActivityInstance","VS_2MIN","2 minute standing","ScheduledActivityInstance_7"
"8ff2178b-eef4-46e4-a11f-22f5eda30709","","ScheduledActivityInstance","VS_STAND3","Vital signs after 3 min standing","ScheduledActivityInstance_8"
