"uuid:ID","description","instanceType","name","purpose","text","label","id"
"b17fd4ab-76e2-4f9b-9c3f-aa63d8cc2c6b","","Endpoint","END1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","Endpoint_1"
"fafaa87d-09b0-4263-a584-17abab474bbc","","Endpoint","END2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","Endpoint_2"
"11122a5a-2bd0-4513-a35b-b36dc6d7f550","","Endpoint","END3","","Adverse events","","Endpoint_3"
"98a09989-a193-4ef9-96a5-148f3f8d6870","","Endpoint","END4","","Vital signs (weight, standing and supine blood pressure, heart rate)","","Endpoint_4"
"926085b3-1d41-45fc-8fe8-7c091c3dcdc8","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","END5","","Laboratory evaluations (Change from Baseline)","","Endpoint_5"
"4f239055-a1ff-4669-b674-8c5fd8e36d3c","","Endpoint","END6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","Endpoint_6"
"50d564b4-363f-484e-af4b-ef8c3b1c4e0e","","Endpoint","END7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","Endpoint_7"
"6e37df0b-f1a5-4e3a-a8d8-1000b743fafd","","Endpoint","END8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","Endpoint_8"
"7f3c2a1b-c39f-4230-bc38-01a22f503ef7","","Endpoint","END9","","*** To be determined from protocol ***","","Endpoint_9"
"d1a420dd-a52f-460c-9ed0-69f419e82f0a","","Endpoint","END10","","*** To be determined from protocol ***","","Endpoint_10"
"23291135-2bb4-462c-9fc3-6d691802a549","","Endpoint","END11","","*** To be determined from protocol ***","","Endpoint_11"
