"uuid:ID","description","instanceType","name","label","id"
"288c642c-78db-4751-bef3-e282b9e9d035","","Activity","Informed consent","Informed consent","Activity_1"
"f36b1eb2-5b77-40c3-a04c-ddaf5ec6b65c","","Activity","Inclusion/exclusion criteria","Inclusion and exclusion criteria","Activity_2"
"bdcad157-20fe-4941-b3f1-c10a1b408f73","","Activity","Patient number assigned","Patient number assigned","Activity_3"
"219447a9-1f96-4792-9cb6-41d32ba4505a","","Activity","Demographics","Demographics","Activity_4"
"e4bf650d-51a8-4311-873d-4a5137d5bed2","","Activity","Hachinski","Hachinski Ischemic Scale","Activity_5"
"062ca648-646e-435c-8099-fc192d02ae60","","Activity","MMSE","MMSE","Activity_6"
"75539a46-47f8-4f23-b356-bf3559f9b640","","Activity","Physical examination","Physical examination","Activity_7"
"79bad854-7dbe-44b5-a0dd-9accdefae88a","","Activity","Medical history","Medical history","Activity_8"
"d7092d94-394d-46dc-bfde-422a15624f37","","Activity","Habits","Habits","Activity_9"
"af344f11-25a5-40f4-8851-e0c0b91fbaae","","Activity","Chest X-ray","Chest X-ray","Activity_10"
"d922fc84-6aad-4562-9259-96da4c2f3023","","Activity","Apo E genotyping","Apo E genotyping","Activity_11"
"f13b94dc-2f39-4491-86d4-b2ae572bfb94","","Activity","Patient randomised","Patient randomised","Activity_12"
"35208d30-0f53-408a-ab5b-8c27345457fe","","Activity","Vital signs / Temperature","Vital Signs and Temperature","Activity_13"
"774efd42-659b-4f4c-a06b-61278907e61c","","Activity","Ambulatory ECG placed","Ambulatory ECG placed","Activity_14"
"f384cea2-2dc4-48b7-8da5-c03ee86f6182","","Activity","Ambulatory ECG removed","Ambulatory ECG removed","Activity_15"
"722518b7-e999-45bf-9eb2-9aeead2ae838","","Activity","ECG","ECG","Activity_16"
"5c7634d4-9ff7-41b2-bbc4-39c9d14d97b0","","Activity","Placebo TTS test","Placebo TTS test","Activity_17"
"dbe11b85-8820-49f0-876f-5bc469b36461","","Activity","CT scan","CT scan","Activity_18"
"a26c5e05-afcc-49ea-975c-a852ac3d1b8e","","Activity","Concomitant medications","Concomitant medications","Activity_19"
"210104f5-ead0-4352-a6c1-e32edff1bfed","","Activity","Hematology","Hematology","Activity_20"
"8ed7f5df-5cbd-4caf-87fa-a9a2b3f2d0d0","","Activity","Chemistry","Chemistry","Activity_21"
"fac6b7b8-aa7a-496b-99c6-c89b987eac6a","","Activity","Uninalysis","Uninalysis","Activity_22"
"5b43f618-d914-4b69-9d1e-79c1163e6561","","Activity","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","Activity_23"
"899ac596-eede-4027-91bb-c84939348e9d","","Activity","Hemoglobin A1C","Hemoglobin A1C","Activity_24"
"170943d4-a6ad-4d92-a6da-047b7fd2df05","","Activity","Study drug","Study drug record , Medications dispensed, Medications returned","Activity_25"
"17c8d713-4eaf-4f2c-85b3-bb6d3ca6d2b9","","Activity","TTS Acceptability Survey","TTS Acceptability Survey","Activity_26"
"48ae71b3-481a-4012-8034-a19d6badcf3e","","Activity","ADAS-Cog","ADAS-Cog","Activity_27"
"e80ac7cf-87b9-4a8a-91ea-76537b3d5ade","","Activity","CIBIC+","CIBIC+","Activity_28"
"2447704f-c19e-464e-ac29-ca9333841253","","Activity","DAD","DAD","Activity_29"
"f7929c97-795a-425b-ada0-ddb213b302ec","","Activity","NPI-X","NPI-X","Activity_30"
"ccaa084d-6857-4e0e-9ce5-9703da0d9418","","Activity","Adverse events","Adverse events","Activity_31"
"f38bf211-f4d6-4e0b-95ab-dc1705f754bc","","Activity","Check adverse events","Check adverse events","Activity_32"
"40d98247-60c4-4eca-a343-3ca965724847","","Activity","Supine","Subject supine","Activity_33"
"108b7c3e-a3f1-46c5-a888-4e1abdbf2119","","Activity","Vital Signs Supine","Vital signs while supine","Activity_34"
"6ecf58bf-a53a-42e1-81a5-cdab80210747","","Activity","Stand","Subject Standing","Activity_35"
"0a2c30d2-76e7-4e00-a76a-ced9f8b03a56","","Activity","Vital Signs Standing","Vital signs while standing","Activity_36"
