"windowUpper","uuid:ID","description","instanceType","name","value","label","valueLabel","windowLabel","id","windowLower"
"","c52818e9-21b9-4660-b7a6-ce84c3deae3c","Screening timing","Timing","TIM1","P2W","Screening","2 weeks","","Timing_1",""
"PT0H","deb7b310-47d7-4bfd-a39c-cc544acfc355","Pre dose timing","Timing","TIM2","P2D","Pre dose","2 days","-4..0 hours","Timing_2","PT4H"
"","c8fcd339-a0ff-4d17-8838-6ffe73558303","Dosing anchor","Timing","TIM3","P1D","Dosing","1 Day","","Timing_3",""
"P3D","1cbf351b-437d-4491-aa43-b07603944125","Week 2 timing","Timing","TIM4","P2W","Week 2","2 Weeks","-3..3 days","Timing_4","P3D"
"P3D","a800137a-d826-47a7-8203-0c52412eea5b","Week 4 timing","Timing","TIM5","P4W","Week 4","4 Weeks","-3..3 days","Timing_5","P3D"
"P3D","f14a6c65-bb01-4785-a498-43816e5b7f1e","Week 6 timing","Timing","TIM6","P6W","Week 6","6 Weeks","-3..3 days","Timing_6","P3D"
"P3D","d060efee-0515-45fb-b372-ed07035d48b7","Week 8 timing","Timing","TIM7","P8W","Week 8","8 Weeks","-3..3 days","Timing_7","P3D"
"P4D","8e39b1d5-3b9a-4d8b-8ff0-507afbb8700d","Week 12 timing","Timing","TIM9","P12W","Week 12","12 Weeks","-4..4 days","Timing_9","P4D"
"P4D","48597050-464b-4444-ae44-80c170f9c3a4","Week 16 timing","Timing","TIM11","P16W","Week 16","16 Weeks","-4..4 days","Timing_11","P4D"
"P4D","7a610c40-dc90-4060-8da9-d8def3117211","Week 20 timing","Timing","TIM13","P20W","Week 20","20 Weeks","-4..4 days","Timing_13","P4D"
"P4D","0712ba78-1b95-419f-90b5-f833e037b378","Week 24 timing","Timing","TIM15","P24W","Week 24","24 Weeks","-4..4 days","Timing_15","P4D"
"P3D","2a33be79-cb03-48ce-ac62-e222ebe37bd7","Week 26 timing","Timing","TIM16","P26W","Week 26","26 Weeks","-3..3 days","Timing_16","P3D"
"","6a4ccce0-fb5b-4c8c-ada0-176ac750522b","Week 8 at home timing","Timing","TIM8","P2W","Week 8 Home","2 Weeks","","Timing_8",""
"","6105ad0c-757a-4c90-974f-a636e9adc29b","Week 12 at home timing","Timing","TIM10","P2W","Week 12 Home","2 Weeks","","Timing_10",""
"","393901dd-2dcf-441d-af22-38a5a8095a79","Week 16 at home timing","Timing","TIM12","P2W","Week 16 Home","2 Weeks","","Timing_12",""
"","973e4514-7aa7-4435-af62-f8ebcf8c5e9d","Week 20 at home timing","Timing","TIM14","P2W","Week 20 Home","2 Weeks","","Timing_14",""
"","216daa0a-8c7e-450d-990d-5fbe21763eb0","Adverse Event","Timing","TIM17","P1D","Adverse Event","1 Day","","Timing_17",""
"","62852848-54a3-490b-998a-a142f75fb0bb","Early Termination","Timing","TIM18","P1D","Early Termination","1 Day","","Timing_18",""
"","6b5bb10d-9d48-4aa9-9e63-c213d177a459","Supine","Timing","TIM19","PT0M","Supine","0 mins","","Timing_19",""
"","d66e6c71-6875-4644-8473-b1e9d7f84c06","VS while supine","Timing","TIM20","PT5M","VS while supine","5 mins","","Timing_20",""
"","8dfb8960-9ad5-48ee-9378-c5cfb721439e","Standing","Timing","TIM21","PT0M","Standing","0 min","","Timing_21",""
"","edc2201f-cafa-46b9-89d0-7775a5c1f4f7","VS while standing","Timing","TIM22","PT1M","VS while standing","1 min","","Timing_22",""
"","0d60fe7e-a112-4969-873a-01179d51b8eb","Standing","Timing","TIM23","PT0M","Standing","0 min","","Timing_23",""
"","99b7637d-f8fd-4135-92cd-a6701f193003","VS while standing","Timing","TIM24","PT2M","VS while standing","2 min","","Timing_24",""
