"uuid:ID","instanceType","name","text","id"
"6cd5d2d6-314c-4d2b-bc2d-d09fa398ab46","TransitionRule","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule_1"
"0a254735-58c3-4997-bdb0-912ba6207de3","TransitionRule","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule_2"
"f4f8ea89-88a4-4f2f-a88b-dacc4c71538c","TransitionRule","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"bdeeb077-b5d7-4808-afa5-38a93dfbdcc7","TransitionRule","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"d305addf-bf41-45c5-922b-c38f7f7d106b","TransitionRule","ENCOUNTER_START_RULE_3","Radomized","TransitionRule_5"
"abc901a6-eed2-4a32-9957-6d71e154358f","TransitionRule","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule_6"
"94166d5e-701f-4405-9d70-96f9b778e74e","TransitionRule","ELEMENT_START_RULE_1","Informed consent","TransitionRule_7"
"b3a8f3f2-358c-4ffe-bce7-8b505d7c8374","TransitionRule","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"6674e685-d024-4928-a9a9-6510cc1d9f26","TransitionRule","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule_9"
"02b3c23d-df41-4141-b466-12390508d0db","TransitionRule","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"04eb7a99-0b93-4f72-97ca-32e4d11cb4c3","TransitionRule","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"2294e52a-2219-48c3-9fb2-05085c49cd45","TransitionRule","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule_10"
"dee8d016-5dad-4202-a87c-5b296c42271c","TransitionRule","ELEMENT_START_RULE_4","Randomized","TransitionRule_11"
"169aba76-0d0e-4ee5-894e-d8904e6708c2","TransitionRule","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"8bd1ccb9-5575-4de7-ad2c-e8bb22b59ebb","TransitionRule","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
