"description","instanceType","name","id","label","uuid:ID"
"-","ScheduledActivityInstance","SCREEN1","ScheduledActivityInstance_9","Screen One","035e8256-e8bc-44d4-8ad8-77f56538a917"
"-","ScheduledActivityInstance","SCREEN2","ScheduledActivityInstance_10","Screen Two","b3b6d5f0-6b37-49df-b795-1b3ab81140c2"
"-","ScheduledActivityInstance","DOSE","ScheduledActivityInstance_11","Dose","ed97c9ac-8987-47a9-b023-a39f6e195761"
"-","ScheduledActivityInstance","WK2","ScheduledActivityInstance_12","Week 2","0001685c-c760-480a-b309-abde946cf94d"
"-","ScheduledActivityInstance","WK4","ScheduledActivityInstance_13","Week 4","906ed4ec-fe8d-47d4-83c4-f7757e87acdb"
"-","ScheduledActivityInstance","WK6","ScheduledActivityInstance_14","Week 6","b565dd78-16e0-4385-93dc-662adbc98374"
"-","ScheduledActivityInstance","WK8","ScheduledActivityInstance_15","Week 8","ca27f322-40e2-4081-bcad-b62ddffe3a44"
"-","ScheduledActivityInstance","WK8N","ScheduledActivityInstance_16","Week NPI","22f8dbb7-a7f3-4ffe-857b-42d580d03c69"
"-","ScheduledActivityInstance","WK12","ScheduledActivityInstance_17","Week 12","1c594133-64ae-4e5b-94e4-88fe4cd8e5e1"
"-","ScheduledActivityInstance","WK12N","ScheduledActivityInstance_18","Week 12 NPI","6072f593-77dd-4a46-bf63-993cd6d13b80"
"-","ScheduledActivityInstance","WK16","ScheduledActivityInstance_19","Week 16","4a2c94f0-745d-4f00-aeb5-db01bd8817ce"
"-","ScheduledActivityInstance","WK16N","ScheduledActivityInstance_20","Week 16 NPI","eb951a43-d616-4978-b799-e4dcdcc7a86f"
"-","ScheduledActivityInstance","WK20","ScheduledActivityInstance_21","Week 20","d61ffdd8-7bd8-43e7-a7da-f91bca9d9cfb"
"-","ScheduledActivityInstance","WK20N","ScheduledActivityInstance_22","Week 20 NPI","476a20e0-212f-489a-86bd-2f74f459761f"
"-","ScheduledActivityInstance","WK24","ScheduledActivityInstance_23","Week 24","5c96b6b0-6b5a-4f25-9b38-8254fe40c712"
"-","ScheduledActivityInstance","WK26","ScheduledActivityInstance_24","Week 26","c25e21aa-830d-4ae6-8c72-e3d61f4f3f3d"
"-","ScheduledActivityInstance","AE","ScheduledActivityInstance_1","Adevers Event","1fafca40-e1cd-405c-bc85-62d3b2f6a882"
"-","ScheduledActivityInstance","ET","ScheduledActivityInstance_2","Early Termination","2438981d-5d47-4775-a5f8-5475623ac712"
"","ScheduledActivityInstance","VS_5MIN","ScheduledActivityInstance_3","5 minute supine","83269d62-c1a2-4354-8602-779b057bd86f"
"","ScheduledActivityInstance","VS_SUPINE","ScheduledActivityInstance_4","Vital signs supine","f2948e74-6897-4850-b813-c038bdebf001"
"","ScheduledActivityInstance","VS_1MIN","ScheduledActivityInstance_5","1 minute standing","61496525-dbc1-4be2-95ee-78291a7dfbab"
"","ScheduledActivityInstance","VS_STAND1","ScheduledActivityInstance_6","Vital signs after 1 min standing","55d22d23-de52-47ff-86dc-827c76086785"
"","ScheduledActivityInstance","VS_2MIN","ScheduledActivityInstance_7","2 minute standing","786bcd57-d19f-44be-95db-46e3edcdfa44"
"","ScheduledActivityInstance","VS_STAND3","ScheduledActivityInstance_8","Vital signs after 3 min standing","ec9bd0d9-af55-4493-af1c-f1012f499ce4"
