"instanceType","name","id","text","uuid:ID"
"TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier","56134f45-1873-4252-a0a1-a740a31b82bf"
"TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities","b81685d7-0638-49a6-a1b7-867cf144547a"
"TransitionRule","ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","13477e45-a932-467d-abeb-9454be3669fc"
"TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed","8ccc5934-8c63-49f8-93bd-97fe3302732e"
"TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized","8d7d4c4b-8fda-42a7-915c-35e5e548eb2a"
"TransitionRule","ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment","bf28bc58-7f27-4af1-a5e7-3922c431e996"
"TransitionRule","ELEMENT_START_RULE_1","TransitionRule_7","Informed consent","71094e12-6324-43b2-be50-99454bb71aed"
"TransitionRule","ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","93e58c01-8465-4d88-9c51-f3b61c78b62d"
"TransitionRule","ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose","106666e2-5708-4cf3-a602-038cc6a0083e"
"TransitionRule","ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)","d0fc004a-a55e-4ee6-a22e-025cca820316"
"TransitionRule","ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","b92ef3f3-004f-46ed-a0e1-f5959d588e3a"
"TransitionRule","ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose","298314f8-81b6-4a1f-8914-d2c8128bbf48"
"TransitionRule","ELEMENT_START_RULE_4","TransitionRule_11","Randomized","052b2163-4e6f-4b10-bc0b-81881f7ddc02"
"TransitionRule","ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","e829176f-044f-4618-bfdd-fab6029d1b0c"
"TransitionRule","ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","4e0af280-8509-44d7-b742-e33134587cfa"
