"instanceType","code","id","codeSystem","codeSystemVersion","decode","uuid:ID"
"Code","C98388","Code_1","http://www.cdisc.org","2023-12-15","Interventional Study","fb1b430a-589b-49c2-a810-813efc46db88"
"Code","C15601","Code_2","http://www.cdisc.org","2023-12-15","Phase II Trial","d7bf9ac7-ad45-4f33-8a05-1f191f135397"
"Code","C132352","Code_9","http://www.cdisc.org","2023-12-15","Sponsor Approval Date","49a84960-af6f-40f2-a604-91790812fffa"
"Code","C68846","Code_10","http://www.cdisc.org","2023-12-15","Global","4539b949-a482-4cc3-803b-1b630bdd657d"
"Code","C99904x3","Code_72","http://www.cdisc.org","2023-12-15","IRB/IEC Feedback","cde03e60-e07f-486f-b359-dfb1246646f0"
"Code","C17649","Code_73","http://www.cdisc.org","2023-12-15","Other","106a14d2-8c1c-4593-9bc3-890cf506bbb5"
"Code","C41129","Code_75","http://www.cdisc.org","2023-12-15","Region","3a9cd4de-4b53-4121-afab-43e5f67f7ff7"
"Code","150","Code_74","ISO 3166 1 alpha3","2020-08","Europe","a47f08a0-647c-4171-a75a-ba9d9bb58ba4"
"Code","PHARMA","Code_4","SPONSOR","12","Eli Lilly","857bb79f-1dc9-4780-af69-4abb32e575fd"
"Code","C70793","Code_76","http://www.cdisc.org","2023-12-15","Clinical Study Sponsor","8e28339e-bf0c-4970-bb06-f11c9c951e37"
"Code","USA","Code_77","ISO 3166 1 alpha3","2020-08","United States of America","808bf9d1-0123-42a7-a9ce-f8e5c62e46bb"
"Code","C93453","Code_78","http://www.cdisc.org","2023-12-15","Study Registry","96fc789c-19e1-48e7-9c06-7ef28cd149f7"
"Code","USA","Code_79","ISO 3166 1 alpha3","2020-08","United States of America","c936742b-157c-422a-8467-71b9ac942d99"
"Code","C49656","Code_137","http://www.cdisc.org","2023-12-15","Treatment Study","10f4a05f-e101-4fef-a0a1-c8d98092932f"
"Code","C49666","Code_138","http://www.cdisc.org","2023-12-15","Efficacy Study","ecc7bd5b-a45a-4f7f-ad6d-025181054a50"
"Code","C49667","Code_139","http://www.cdisc.org","2023-12-15","Safety Study","bd5c5e06-81a3-40ca-9202-8266c720e639"
