"description","instanceType","name","id","label","uuid:ID"
"","Activity","Informed consent","Activity_1","Informed consent","7212e3ad-9ee0-4d40-b080-23f1157e1922"
"","Activity","Inclusion/exclusion criteria","Activity_2","Inclusion and exclusion criteria","bbc64fc9-68d5-4bf5-93b0-dbf91261ed9e"
"","Activity","Patient number assigned","Activity_3","Patient number assigned","f892bb91-4b64-4468-b17b-ba0333b17fde"
"","Activity","Demographics","Activity_4","Demographics","5dbc04ff-4552-4613-93bb-d9be75ee952f"
"","Activity","Hachinski","Activity_5","Hachinski Ischemic Scale","434cb642-65c9-469f-9cca-6026a0a5b5a4"
"","Activity","MMSE","Activity_6","MMSE","54a4504b-1c10-4f94-854f-7848a0e66bf4"
"","Activity","Physical examination","Activity_7","Physical examination","f0a923cb-1b87-44e6-83c8-474f778d76e4"
"","Activity","Medical history","Activity_8","Medical history","3b4f0519-465d-4f1c-8021-3597916fd8f3"
"","Activity","Habits","Activity_9","Habits","4dcb0827-7dd3-4e32-bf5a-45faa3626baa"
"","Activity","Chest X-ray","Activity_10","Chest X-ray","d7cd7e6c-78fa-4ab7-9f0c-0aafe62658c4"
"","Activity","Apo E genotyping","Activity_11","Apo E genotyping","63c6593e-95d1-43d2-9867-2ade217a8a0f"
"","Activity","Patient randomised","Activity_12","Patient randomised","ba8e0272-ba79-45e3-b9eb-fe0ada1a8283"
"","Activity","Vital signs / Temperature","Activity_13","Vital Signs and Temperature","2930b6a9-2dcf-441e-8e88-3308f2fb1efb"
"","Activity","Ambulatory ECG placed","Activity_14","Ambulatory ECG placed","e5ba26a8-7c6e-468b-b94a-1b220f190515"
"","Activity","Ambulatory ECG removed","Activity_15","Ambulatory ECG removed","c53a4f2c-5d16-4623-adc9-beb0414838ba"
"","Activity","ECG","Activity_16","ECG","7dc94c40-d41e-49c9-8d03-e5b27f6e1c00"
"","Activity","Placebo TTS test","Activity_17","Placebo TTS test","39e227b6-d5bc-450e-b663-9cdd1f02e051"
"","Activity","CT scan","Activity_18","CT scan","d44d4d4a-72da-40b9-83cd-b4f826b1d338"
"","Activity","Concomitant medications","Activity_19","Concomitant medications","5045f46c-83c4-4df8-946f-15c81949e2b8"
"","Activity","Hematology","Activity_20","Hematology","63e1233e-ba4b-4a3d-a420-dc6e3767d368"
"","Activity","Chemistry","Activity_21","Chemistry","22893f60-902b-43b3-8cf7-781fcf94fcb3"
"","Activity","Uninalysis","Activity_22","Uninalysis","a0a86b61-ab60-43e7-b89c-015ce7053c99"
"","Activity","Plasma Specimen (Xanomeline)","Activity_23","Plasma Specimen (Xanomeline)","800c6916-d856-4bdc-8758-4e040d24b929"
"","Activity","Hemoglobin A1C","Activity_24","Hemoglobin A1C","a5d8e8ea-dd72-4cf0-94de-75e11685daa1"
"","Activity","Study drug","Activity_25","Study drug record , Medications dispensed, Medications returned","779e5017-a72e-48f9-ba3d-165e0b2be027"
"","Activity","TTS Acceptability Survey","Activity_26","TTS Acceptability Survey","b088df3e-b46c-4ec8-9586-bd796c1144fc"
"","Activity","ADAS-Cog","Activity_27","ADAS-Cog","1a2289cc-10cd-46ab-8f7f-888b239fc1f9"
"","Activity","CIBIC+","Activity_28","CIBIC+","0e58ef7e-5e21-4a22-a98d-4fa2148c8459"
"","Activity","DAD","Activity_29","DAD","266afce4-3ab1-4a1c-8754-73ddb7b2d973"
"","Activity","NPI-X","Activity_30","NPI-X","31cc2021-8972-43dc-9fae-6742e4acb4d4"
"","Activity","Adverse events","Activity_31","Adverse events","6d79ed31-3e31-4558-8943-e85e610ade5e"
"","Activity","Check adverse events","Activity_32","Check adverse events","d531eee0-dd67-422d-bc89-d6035e46036e"
"","Activity","Supine","Activity_33","Subject supine","1238d0b4-498e-44d2-9af6-a21efbd5c2aa"
"","Activity","Vital Signs Supine","Activity_34","Vital signs while supine","b143f581-59c9-4055-986e-33d36c579580"
"","Activity","Stand","Activity_35","Subject Standing","90b04c04-9190-4bde-89b5-9f9b6af2dfe2"
"","Activity","Vital Signs Standing","Activity_36","Vital signs while standing","df3f0c5a-40e4-46bd-a5ce-678ec487bec0"
