"reference","synonyms","instanceType","name","id","label","uuid:ID"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept","Informed Consent Obtained","BiomedicalConcept_20","Informed Consent Obtained","8e92dbd7-45fc-4882-8445-9214bbc52e4d"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","BiomedicalConcept","Sex","BiomedicalConcept_21","Sex","7320f288-5aad-44c2-aaad-216b112ed6cf"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","BiomedicalConcept","Race","BiomedicalConcept_22","Race","c78bbf43-223f-40f4-94d7-7ed8c803bb6f"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept","Temperature","BiomedicalConcept_23","Temperature","ab9b7889-549e-4a3f-916d-94d550cdda74"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept","Weight","BiomedicalConcept_24","Weight","f3e3e331-26c8-419b-a6a5-626f37441a96"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept","Height","BiomedicalConcept_25","Height","7c1226ef-06dd-47d4-9d30-2c27ee842bcf"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","842d439b-c1cc-494e-a155-264403a7a09e"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","['Albumin', 'Albumin Measurement']","BiomedicalConcept","Albumin Presence in Urine","BiomedicalConcept_27","Albumin Presence in Urine","622fde19-9091-4ea3-aebc-749106a33409"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","473be7ae-007e-416b-9d70-7c4ae7833224"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","12d43b6b-c8c1-45a8-8b54-3791982777c4"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept","Creatinine Concentration in Urine","BiomedicalConcept_30","Creatinine Concentration in Urine","5680f2aa-6953-4700-92a5-fd5663ba77d6"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept","Potassium Concentration in Urine","BiomedicalConcept_31","Potassium Concentration in Urine","37e9c484-94c5-4ea5-ad6b-00754c45a890"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept","Sodium Concentration in Urine","BiomedicalConcept_32","Sodium Concentration in Urine","15bb27a0-c30d-46a3-beb9-158c98efbe65"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood","9ddb55b2-69bd-490f-8a2e-37577ec6756a"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept","Adverse Event Prespecified","BiomedicalConcept_1","Adverse Event Prespecified","10fb4b03-4788-4ec1-8c8e-e04b383cb132"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept","Systolic Blood Pressure","BiomedicalConcept_2","Systolic Blood Pressure","982bd6d7-f498-4d42-a4d4-378f8bf8b8dc"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept","Diastolic Blood Pressure","BiomedicalConcept_3","Diastolic Blood Pressure","f61db53f-13d4-42c0-b6f7-c6aeff54bad8"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","['Temperature', 'Body Temperature']","BiomedicalConcept","Temperature","BiomedicalConcept_4","Temperature","5f504c07-25e5-47f8-aa61-ea55ef161ef0"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","['Weight', 'Body Weight']","BiomedicalConcept","Weight","BiomedicalConcept_5","Weight","0ba52d51-d44d-4d36-85dc-c7e2b8def3e3"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","['Height', 'Body Height']","BiomedicalConcept","Height","BiomedicalConcept_6","Height","2d21721f-dc75-4c75-9ee1-16da22c0519c"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","2ef89768-9ac8-4162-b565-9bcec4c81fa9"
