"description","instanceType","name","id","label","uuid:ID"
"Screening encounter","Encounter","E1","Encounter_1","Screening 1","bd785e3a-6764-464f-932c-09d9bf60d2fd"
"Screening encounter - Ambulatory ECG Placement","Encounter","E2","Encounter_2","Screening 2","6806417b-0bda-4997-881b-b16ccbb4ebaf"
"Baseline encounter - Ambulatory ECG Removal","Encounter","E3","Encounter_3","Baseline","4abdd65b-0b29-450b-9b80-fa73d3293aae"
"Day 14","Encounter","E4","Encounter_4","Week 2","386acaf6-6da0-46d2-98d6-2330c11112ca"
"Day 28","Encounter","E5","Encounter_5","Week 4","20dc4031-6fe5-40fe-8ac6-7b1dc19789cf"
"Day 42","Encounter","E7","Encounter_6","Week 6","bb94870b-7f0f-463b-a8b9-c62eff64b13f"
"Day 56","Encounter","E8","Encounter_7","Week 8","32c8dca2-6bec-48e3-a12e-8026eb249847"
"Day 84","Encounter","E9","Encounter_8","Week 12","64cc984c-9e8a-49d8-8914-996bcc95f171"
"Day 112","Encounter","E10","Encounter_9","Week 16","3ee8ba81-a4f7-46e5-907e-15a19df599d8"
"Day 140","Encounter","E11","Encounter_10","Week 20","016d6081-92d1-4903-a7a8-94498240fb06"
"Day 168","Encounter","E12","Encounter_11","Week 24","68fffc05-88c9-4e97-beda-b682b5fd319d"
"Day 182","Encounter","E13","Encounter_12","Week 26","d4a3b882-0d58-4493-8b8e-d01a3206e1fe"
