"description","instanceType","name","id","text","label","purpose","uuid:ID"
"","Endpoint","END1","Endpoint_1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","","073e247f-988c-44dd-9e8d-73c8e4f3d17b"
"","Endpoint","END2","Endpoint_2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","","d174c562-3e6f-48ce-a68f-a77bae8c262d"
"","Endpoint","END3","Endpoint_3","Adverse events","","","9c35e90c-8261-4068-92f7-f6181b1f8971"
"","Endpoint","END4","Endpoint_4","Vital signs (weight, standing and supine blood pressure, heart rate)","","","29eefa15-fa8f-4ec9-a365-b459fac21db5"
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","END5","Endpoint_5","Laboratory evaluations (Change from Baseline)","","","f470e84e-859c-4fbd-aec0-89da4a89cb65"
"","Endpoint","END6","Endpoint_6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","","205e43d2-5575-4fab-99f7-534cabe54d0a"
"","Endpoint","END7","Endpoint_7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","","c31ab8ce-ae1c-4480-b2b8-14d265dd51cb"
"","Endpoint","END8","Endpoint_8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","","ce1781f7-e12d-4cb1-9058-3e04b3be4b01"
"","Endpoint","END9","Endpoint_9","*** To be determined from protocol ***","","","690505ea-a7f9-45c6-bae3-425c15b4408f"
"","Endpoint","END10","Endpoint_10","*** To be determined from protocol ***","","","5bf8f158-3948-4454-ba51-cc5c65c39191"
"","Endpoint","END11","Endpoint_11","*** To be determined from protocol ***","","","28dd1b06-ef9e-4d1a-a3be-70b699444a48"
