"value","description","instanceType","name","uuid:ID","id","label","windowUpper","valueLabel","windowLower","windowLabel"
"P2W","Screening timing","Timing","TIM1","9ae4633a-0313-4b3e-a28d-89849f7aa9cf","Timing_1","Screening","","2 weeks","",""
"P2D","Pre dose timing","Timing","TIM2","4b5825fa-db92-49f4-b1f0-431f8ab191d6","Timing_2","Pre dose","PT0H","2 days","PT4H","-4..0 hours"
"P1D","Dosing anchor","Timing","TIM3","73fef924-c04d-4e2b-bf82-662eb85204df","Timing_3","Dosing","","1 Day","",""
"P2W","Week 2 timing","Timing","TIM4","00e5075a-29d3-472f-b1bb-f4c406ed7d75","Timing_4","Week 2","P3D","2 Weeks","P3D","-3..3 days"
"P4W","Week 4 timing","Timing","TIM5","639fd787-5adf-4fe3-a842-4d80755b807d","Timing_5","Week 4","P3D","4 Weeks","P3D","-3..3 days"
"P6W","Week 6 timing","Timing","TIM6","1e10ef5d-a54e-4fa1-a972-916d666872b7","Timing_6","Week 6","P3D","6 Weeks","P3D","-3..3 days"
"P8W","Week 8 timing","Timing","TIM7","d5505f86-507d-44ba-9ea7-fbf954af9595","Timing_7","Week 8","P3D","8 Weeks","P3D","-3..3 days"
"P12W","Week 12 timing","Timing","TIM9","8cde1dc5-ba4e-48f1-a7d4-7c276b6a9bac","Timing_9","Week 12","P4D","12 Weeks","P4D","-4..4 days"
"P16W","Week 16 timing","Timing","TIM11","7f946276-b801-457f-be19-265d363c5b70","Timing_11","Week 16","P4D","16 Weeks","P4D","-4..4 days"
"P20W","Week 20 timing","Timing","TIM13","1ffe7883-6ab9-4097-979f-fd2b149ba20a","Timing_13","Week 20","P4D","20 Weeks","P4D","-4..4 days"
"P24W","Week 24 timing","Timing","TIM15","46fc34ec-7b4e-4fbd-975f-aa764b5ae288","Timing_15","Week 24","P4D","24 Weeks","P4D","-4..4 days"
"P26W","Week 26 timing","Timing","TIM16","b12ba133-f94e-4912-8c30-c68f7c4ca316","Timing_16","Week 26","P3D","26 Weeks","P3D","-3..3 days"
"P2W","Week 8 at home timing","Timing","TIM8","8a767615-86d5-419e-bdc8-27d2cf28e6b0","Timing_8","Week 8 Home","","2 Weeks","",""
"P2W","Week 12 at home timing","Timing","TIM10","d7c96207-f4a3-4c7d-ba8b-a3e3cdc31110","Timing_10","Week 12 Home","","2 Weeks","",""
"P2W","Week 16 at home timing","Timing","TIM12","73838462-1e60-45de-8386-63058933d5c3","Timing_12","Week 16 Home","","2 Weeks","",""
"P2W","Week 20 at home timing","Timing","TIM14","2f319d9a-07ca-40ba-bf36-d4b7b8047808","Timing_14","Week 20 Home","","2 Weeks","",""
"P1D","Adverse Event","Timing","TIM17","e13bf8ca-b962-4416-8297-9b9c83c18762","Timing_17","Adverse Event","","1 Day","",""
"P1D","Early Termination","Timing","TIM18","32129abc-26d1-4026-a862-3f45f02b6778","Timing_18","Early Termination","","1 Day","",""
"PT0M","Supine","Timing","TIM19","fad70039-2f00-4f2a-81a0-ef6ba1703441","Timing_19","Supine","","0 mins","",""
"PT5M","VS while supine","Timing","TIM20","420a636b-78e8-42fc-bfcb-6f18db7a4db9","Timing_20","VS while supine","","5 mins","",""
"PT0M","Standing","Timing","TIM21","c3b8e857-d3de-47e8-ab5b-5850a4bc4684","Timing_21","Standing","","0 min","",""
"PT1M","VS while standing","Timing","TIM22","68a60958-3c39-4abb-b0d7-a65eeca0f8f9","Timing_22","VS while standing","","1 min","",""
"PT0M","Standing","Timing","TIM23","460c2d22-041e-4f3e-a831-b95a4301d795","Timing_23","Standing","","0 min","",""
"PT2M","VS while standing","Timing","TIM24","9a39e298-eb7a-4c74-bbe4-b61d9a08fc7e","Timing_24","VS while standing","","2 min","",""
