"codeSystemVersion","decode","codeSystem","id","code","uuid:ID","instanceType"
"2023-09-29","Interventional Study","http://www.cdisc.org","Code_1","C98388","06738cc5-2c30-4b43-ba2a-b357ef756697","Code"
"2023-09-29","Phase II Trial","http://www.cdisc.org","Code_2","C15601","e71980ee-d8d5-4164-9a3c-96b72eb3a8f6","Code"
"2023-09-29","Sponsor Approval Date","http://www.cdisc.org","Code_9","C132352","1f9344f9-fd3f-4d69-965a-28ec2a4c0b95","Code"
"2023-09-29","Global","http://www.cdisc.org","Code_10","C68846","703dfdbb-1c55-4b11-b96f-a93044b35f0e","Code"
"2023-09-29","IRB/IEC Feedback","http://www.cdisc.org","Code_72","C99904x3","691170af-a89b-4f55-bcb3-05f8cf894a77","Code"
"2023-09-29","Other","http://www.cdisc.org","Code_73","C17649","4dbc997c-bb72-4bdf-a3d3-8f254796abb1","Code"
"2023-09-29","Region","http://www.cdisc.org","Code_75","C41129","c73b716b-aaa7-4014-8c63-d277bacac26b","Code"
"2020-08","Europe","ISO 3166 1 alpha3","Code_74","150","f9c757c5-a929-4c72-8543-06dfebe8ae95","Code"
"12","Eli Lilly","SPONSOR","Code_4","PHARMA","fb475e79-5586-44cb-a942-13e9379c27d7","Code"
"2023-09-29","Clinical Study Sponsor","http://www.cdisc.org","Code_76","C70793","18c24f32-5d39-4cb1-9c70-32ca1e8039ae","Code"
"2020-08","Denmark","ISO 3166 1 alpha3","Code_77","DNK","eea5664b-e185-4381-a6fa-87603c3dfb9f","Code"
"2023-09-29","Study Registry","http://www.cdisc.org","Code_78","C93453","5295f78d-0165-44df-ae6f-e7c7d246cd76","Code"
"2023-09-29","Treatment Study","http://www.cdisc.org","Code_136","C49656","85ac8825-b936-455f-b8ee-54d594abe5a9","Code"
"2023-09-29","Efficacy Study","http://www.cdisc.org","Code_137","C49666","325482ec-5d1c-4673-8125-0822310414ed","Code"
"2023-09-29","Safety Study","http://www.cdisc.org","Code_138","C49667","ae1a1706-81b3-481a-8b2a-75b37a81ada7","Code"
"2023-09-29","Pharmacokinetic Study","http://www.cdisc.org","Code_139","C49663","62835e80-7fa4-492c-8765-528daec11410","Code"
"12","Mild to Moderate Alzheimer's Disease","SPONSOR","Code_133","MILD_MOD_ALZ","a0234d5d-894f-444f-be07-2b0ab8b8296e","Code"
"January 31, 2018","Alzheimer's disease","SNOMED","Code_134","26929004","72b511ae-aefe-4ff6-a227-247b2e991855","Code"
"2023-09-29","EXTENSION","http://www.cdisc.org","Code_142","C99907x1","38f147aa-d379-475e-9780-b4945e4cf8f4","Code"
"2023-09-29","ADAPTIVE","http://www.cdisc.org","Code_143","C98704","c6ac39bc-f7d5-4033-920e-c10b79c01051","Code"
"2023-09-29","Parallel Study","http://www.cdisc.org","Code_140","C82639","f5247ead-cd9f-4159-9ffa-69019583a75c","Code"
"2023-09-29","Visit","http://www.cdisc.org","Code_82","C25716","b6f17503-2a16-43a2-8cf7-b5c77d59935b","Code"
"2023-09-29","Clinic","http://www.cdisc.org","Code_83","C51282","003fecbb-dc02-455a-b4d5-973bf02d60f2","Code"
"2023-09-29","In Person","http://www.cdisc.org","Code_84","C175574","c4869adf-e2ef-401c-9845-b75417c1d8f1","Code"
"2023-09-29","Visit","http://www.cdisc.org","Code_85","C25716","e7148217-297b-4e0d-a16a-ec7fbf83162f","Code"
"2023-09-29","Clinic","http://www.cdisc.org","Code_86","C51282","9f10447c-8823-4d62-be67-06899fcd48cc","Code"
"2023-09-29","In Person","http://www.cdisc.org","Code_87","C175574","ea4a9a19-2a5b-4de3-9afa-b0b0cf7aa751","Code"
