"label","reference","synonyms","id","name","uuid:ID","instanceType"
"Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","BiomedicalConcept_20","Body Temperature","949bc63f-9b6a-4ed6-a9c2-42516e4517c8","BiomedicalConcept"
"Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","BiomedicalConcept_21","Body Weight","49c825e0-63ae-4835-982f-dbaeeda6e978","BiomedicalConcept"
"Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","BiomedicalConcept_22","Body Height","1043eb18-8c7b-455a-9251-c91212688806","BiomedicalConcept"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","BiomedicalConcept_23","Alanine Aminotransferase Measurement","442fb56a-1294-4640-9854-98557ba079a8","BiomedicalConcept"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","BiomedicalConcept_24","Albumin Measurement","955ea172-32e1-49b9-a5c4-48b004575a09","BiomedicalConcept"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","BiomedicalConcept_25","Alkaline Phosphatase Measurement","f2577173-3876-490c-8a83-7bac49d98bba","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","BiomedicalConcept_26","Aspartate Aminotransferase Measurement","dd61ca70-100e-4ffc-9be2-1af800b2afed","BiomedicalConcept"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","BiomedicalConcept_27","Creatinine Measurement","f5cec0ae-9782-4487-ae8e-71585119b92e","BiomedicalConcept"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","BiomedicalConcept_28","Potassium Measurement","807c7b4d-3972-49ab-b796-0bad3e041426","BiomedicalConcept"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","BiomedicalConcept_29","Sodium Measurement","5e3c05bf-732b-4e3a-9028-76340442ffe0","BiomedicalConcept"
"Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept_1","Adverse Event","23625c18-6d5d-4c1a-8882-c4f7433db009","BiomedicalConcept"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_2","Systolic Blood Pressure","0ff67478-55e0-42bf-a71a-60fb437b9cb0","BiomedicalConcept"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_3","Diastolic Blood Pressure","06354c86-43e1-4e92-8866-768d23d6b754","BiomedicalConcept"
"Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']","BiomedicalConcept_4","Body Temperature","445af5af-99ee-444c-9122-b1d8ede52b4e","BiomedicalConcept"
"Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']","BiomedicalConcept_5","Body Weight","40731fb0-6b07-46af-89ca-755cae995688","BiomedicalConcept"
"Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']","BiomedicalConcept_6","Body Height","1577d67a-ef37-4017-a312-645071ae9031","BiomedicalConcept"
"Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","BiomedicalConcept_7","Alanine Aminotransferase Measurement","d7b7e0ae-cb4a-456e-99e8-85b12f7a6998","BiomedicalConcept"
"Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","BiomedicalConcept_8","Albumin Measurement","0821b66e-3c55-4eb4-bce0-7e69940550e1","BiomedicalConcept"
"Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","BiomedicalConcept_9","Alkaline Phosphatase Measurement","9beab6cf-24d9-4812-bfc1-58e12ccfa7f5","BiomedicalConcept"
"Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","BiomedicalConcept_10","Aspartate Aminotransferase Measurement","2bf660dd-1d89-4fd4-babe-0b40c5f2f021","BiomedicalConcept"
"Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","BiomedicalConcept_11","Creatinine Measurement","09b5235f-bcd1-4f29-b18e-edf877e5819d","BiomedicalConcept"
"Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","BiomedicalConcept_12","Potassium Measurement","ecfd3fab-cf9f-46d8-81ac-cc1db8305ee4","BiomedicalConcept"
"Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","BiomedicalConcept_13","Sodium Measurement","36b08abf-9185-490f-9ae6-17b6bc6eb309","BiomedicalConcept"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_14","Systolic Blood Pressure","807f8742-9eac-457c-a68e-5226e5febcc7","BiomedicalConcept"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_15","Diastolic Blood Pressure","62463813-0efb-431e-9c6f-4782d1acc072","BiomedicalConcept"
"Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","","BiomedicalConcept_16","Heart Rate","3565f165-2207-4d38-bbed-d992265927bc","BiomedicalConcept"
"Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_17","Systolic Blood Pressure","a5c18c38-aeae-4f68-80e8-468e1be009c5","BiomedicalConcept"
"Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_18","Diastolic Blood Pressure","c6d72962-3ceb-4d72-bd26-c532e854bea6","BiomedicalConcept"
"Heart Rate","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C49677","","BiomedicalConcept_19","Heart Rate","d06bc522-5b70-4259-b4cd-4378214bc87a","BiomedicalConcept"
