"label","description","id","name","uuid:ID","instanceType"
"Screening 1","Screening encounter","Encounter_1","E1","5c7bcfb5-b502-424a-838f-3e8a09b11657","Encounter"
"Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter_2","E2","a6b8a26a-a361-4648-aa05-870267a6c408","Encounter"
"Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter_3","E3","df99d2a3-24d6-41e1-95dc-ebfc32b42728","Encounter"
"Week 2","Day 14","Encounter_4","E4","4f8884fb-f4d5-4bd6-8c33-e026b8b2c9f5","Encounter"
"Week 4","Day 28","Encounter_5","E5","f8ecf38d-469e-4628-9714-e8ff1a383df3","Encounter"
"Week 6","Day 42","Encounter_6","E7","445f822d-8eb4-4afa-91fb-165b3dbf67b4","Encounter"
"Week 8","Day 56","Encounter_7","E8","205c019f-5559-4107-a8a7-6ef24b80ae66","Encounter"
"Week 12","Day 84","Encounter_8","E9","b714df0f-7613-45cf-8992-2ad9df306039","Encounter"
"Week 16","Day 112","Encounter_9","E10","efecdf49-afca-459b-9884-69e292c23690","Encounter"
"Week 20","Day 140","Encounter_10","E11","177b19af-a103-4c95-9607-6aee9acbb4ee","Encounter"
"Week 24","Day 168","Encounter_11","E12","48e53b36-28a2-4f5e-8822-166707162eee","Encounter"
"Week 26","Day 182","Encounter_12","E13","fd633d96-bb5e-48f4-b0fe-7c8eb5cffb02","Encounter"
