"text","id","name","uuid:ID","instanceType"
"Subject identifier","TransitionRule_1","ENCOUNTER_START_RULE_1","57f516fe-3adc-4ac3-9cce-8cc8af10a769","TransitionRule"
"completion of screening activities","TransitionRule_2","ENCOUNTER_START_RULE_1","1e1957c7-e380-446b-8fe5-2a20abab3331","TransitionRule"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","ENCOUNTER_START_RULE_2","6031225b-f27d-4780-b0b7-3b11092c2fb3","TransitionRule"
"subject has connection of ambulatory ECG machine removed","TransitionRule_4","ENCOUNTER_START_RULE_3","f3dbd10b-f95a-4576-b4ea-1002a15d12af","TransitionRule"
"Radomized","TransitionRule_5","ENCOUNTER_START_RULE_3","83b7ce17-06c4-4e0a-9b78-104526cfcf08","TransitionRule"
"End of treatment","TransitionRule_6","ENCOUNTER_START_RULE_12","123c1372-cd9d-4e67-9a06-ee25da38de58","TransitionRule"
"Informed consent","TransitionRule_7","ELEMENT_START_RULE_1","00b1d86f-e356-4c30-9fb1-8be9f701a5b1","TransitionRule"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","ELEMENT_END_RULE_1","ada031b6-c35e-41b9-bea5-08e58c5780c6","TransitionRule"
"Administration of first dose","TransitionRule_9","ELEMENT_START_RULE_2","a62b8959-00ac-49ed-8871-070eabc3f757","TransitionRule"
"End of last scheduled visit on study (including early termination)","TransitionRule_14","ELEMENT_START_RULE_7","765884b7-d6bb-4acc-834b-495fc95c3e36","TransitionRule"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","ELEMENT_END_RULE_7","bfdc4bf1-97b8-48ea-9e6a-b6e662c133b4","TransitionRule"
"Administration of first dose","TransitionRule_10","ELEMENT_START_RULE_3","5d257c9f-7395-4381-bf3f-3dfcaca5f860","TransitionRule"
"Randomized","TransitionRule_11","ELEMENT_START_RULE_4","d7c9acf5-6ec6-4d9b-bfa1-a8f816474a50","TransitionRule"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","ELEMENT_START_RULE_5","b7032527-417e-444c-9847-2273b52d709a","TransitionRule"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","ELEMENT_START_RULE_6","b8b384aa-86e3-45c7-b419-95f1b16dd42e","TransitionRule"
