"label","isRequired","datatype","id","name","isEnabled","uuid:ID","instanceType"
"Vital Signs Result","True","decimal","BiomedicalConceptProperty_98","Vital Signs Result","True","84c606cb-bcf2-4744-a198-459f67af6f8c","BiomedicalConceptProperty"
"Unit of Temperature","True","string","BiomedicalConceptProperty_99","Unit of Temperature","True","fddec148-f24c-483b-96f3-cd8510a97758","BiomedicalConceptProperty"
"Vital Signs Location","True","string","BiomedicalConceptProperty_100","Vital Signs Location","True","1aa860f7-a141-42a5-91dd-e30661a7125e","BiomedicalConceptProperty"
"Vital Signs Result","True","decimal","BiomedicalConceptProperty_101","Vital Signs Result","True","18dd4427-6877-44c3-b806-b0b7f68e42bf","BiomedicalConceptProperty"
"Unit of Weight","True","string","BiomedicalConceptProperty_102","Unit of Weight","True","e51ac76e-0230-48cc-91a2-7d5348091244","BiomedicalConceptProperty"
"Vital Signs Result","True","decimal","BiomedicalConceptProperty_103","Vital Signs Result","True","d5c5d817-a629-4767-8d78-ee73cd6ea121","BiomedicalConceptProperty"
"Unit of Height","True","string","BiomedicalConceptProperty_104","Unit of Height","True","976b5dac-9dfc-4f02-9030-16f828e055a6","BiomedicalConceptProperty"
"Laboratory Test Result","True","decimal","BiomedicalConceptProperty_105","Laboratory Test Result","True","63345712-4303-411c-9b07-1b8c91fc129f","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","boolean","BiomedicalConceptProperty_106","Laboratory Test Fasting Status","True","4006705e-6740-45a1-8e76-7cca550aa527","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","string","BiomedicalConceptProperty_107","Unit of Catalytic Activity Concentration","True","64ed54da-7d3c-4a32-9ca5-8383eb208ee9","BiomedicalConceptProperty"
"Biospecimen Type","True","string","BiomedicalConceptProperty_108","Biospecimen Type","True","7db8c56a-3e67-4334-9952-dd26beca1a87","BiomedicalConceptProperty"
"Laboratory Test Result","True","string","BiomedicalConceptProperty_109","Laboratory Test Result","True","ea7fdae8-0490-42f0-8da0-1d09b9eb2e30","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","boolean","BiomedicalConceptProperty_110","Laboratory Test Fasting Status","True","f0935d92-921e-4d31-820d-339e4dcddcce","BiomedicalConceptProperty"
"Unit of Concentration","True","string","BiomedicalConceptProperty_111","Unit of Concentration","True","ffb52b17-d106-43b8-9e73-93a0f3c8d416","BiomedicalConceptProperty"
"Biospecimen Type","True","string","BiomedicalConceptProperty_112","Biospecimen Type","True","43c9236c-4043-4457-be4d-a89a074a05ca","BiomedicalConceptProperty"
"Laboratory Test Result","True","decimal","BiomedicalConceptProperty_113","Laboratory Test Result","True","4a68633e-92c4-42a4-8484-544783949629","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","boolean","BiomedicalConceptProperty_114","Laboratory Test Fasting Status","True","669b0be9-e148-44a1-9e1a-d06048599a91","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","string","BiomedicalConceptProperty_115","Unit of Catalytic Activity Concentration","True","43eaff31-4226-40be-8262-f93bffb85053","BiomedicalConceptProperty"
"Biospecimen Type","True","string","BiomedicalConceptProperty_116","Biospecimen Type","True","15d5e331-c2db-474c-94a8-3d9e984cfec3","BiomedicalConceptProperty"
"Laboratory Test Result","True","decimal","BiomedicalConceptProperty_117","Laboratory Test Result","True","136796a1-21c0-4761-92b5-5dea68ca8530","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","boolean","BiomedicalConceptProperty_118","Laboratory Test Fasting Status","True","7a743c2d-2ee2-4fba-826a-2f8fed3ab460","BiomedicalConceptProperty"
"Unit of Catalytic Activity Concentration","True","string","BiomedicalConceptProperty_119","Unit of Catalytic Activity Concentration","True","ea25dd82-81bf-47d3-99ef-3d20139f9681","BiomedicalConceptProperty"
"Biospecimen Type","True","string","BiomedicalConceptProperty_120","Biospecimen Type","True","6c9bfa4c-3e08-44df-9902-b89e99a5cd33","BiomedicalConceptProperty"
"Laboratory Test Result","True","string","BiomedicalConceptProperty_121","Laboratory Test Result","True","b1c70c55-0db5-43ce-a68a-8f15680f21f8","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","boolean","BiomedicalConceptProperty_122","Laboratory Test Fasting Status","True","4a7fab55-550f-43a9-a9b4-60a122ad61d3","BiomedicalConceptProperty"
"Unit of Concentration","True","string","BiomedicalConceptProperty_123","Unit of Concentration","True","91fdaefd-9099-4a3c-9c8d-a0567b13cd12","BiomedicalConceptProperty"
"Biospecimen Type","True","string","BiomedicalConceptProperty_124","Biospecimen Type","True","ba2955d4-7774-404d-94a5-3875753ac5f5","BiomedicalConceptProperty"
"Laboratory Test Result","True","decimal","BiomedicalConceptProperty_125","Laboratory Test Result","True","2503f4ce-f99d-40eb-9710-67fa600c1001","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","boolean","BiomedicalConceptProperty_126","Laboratory Test Fasting Status","True","8e484c70-cb27-4e96-b471-359e1032bbb0","BiomedicalConceptProperty"
"Molarity Unit","True","string","BiomedicalConceptProperty_127","Molarity Unit","True","08365f54-8e98-4fe1-bbdb-fae0458cf546","BiomedicalConceptProperty"
"Biospecimen Type","True","string","BiomedicalConceptProperty_128","Biospecimen Type","True","4fe7402d-3e18-4592-8e0f-c44a5be75398","BiomedicalConceptProperty"
"Laboratory Test Result","True","decimal","BiomedicalConceptProperty_129","Laboratory Test Result","True","52da5db4-b576-4407-a24a-308492e92a63","BiomedicalConceptProperty"
"Laboratory Test Fasting Status","True","boolean","BiomedicalConceptProperty_130","Laboratory Test Fasting Status","True","4019f37b-59d0-466f-afd6-a6c8dc94412e","BiomedicalConceptProperty"
"Molarity Unit","True","string","BiomedicalConceptProperty_131","Molarity Unit","True","ab504e60-04dd-459f-9506-8e3bb303a328","BiomedicalConceptProperty"
"Biospecimen Type","True","string","BiomedicalConceptProperty_132","Biospecimen Type","True","28edd01c-c1e0-46a1-9cd9-3912138f7640","BiomedicalConceptProperty"
"Adverse Event Verbatim Description","True","string","BiomedicalConceptProperty_1","Adverse Event Verbatim Description","True","79b7b948-2cdd-48ae-a3b2-607ce0dfe1ab","BiomedicalConceptProperty"
"Adverse Event Dictionary Derived Term","True","string","BiomedicalConceptProperty_2","Adverse Event Dictionary Derived Term","True","d69abddc-fc68-4b38-9e2b-5a03a55217b6","BiomedicalConceptProperty"
"Adverse Event Category","True","string","BiomedicalConceptProperty_3","Adverse Event Category","True","733cbe18-b9cd-4f15-bbe2-f8e7ab029d9a","BiomedicalConceptProperty"
