"label","windowUpper","window","value","description","id","name","uuid:ID","windowLower","instanceType"
"Screening","","","P2W","Screening timing","Timing_1","TIM1","bcb79985-1001-4697-b959-78afcf56c458","","Timing"
"Pre dose","PT0H","-4..0 hours","P2D","Pre dose timing","Timing_2","TIM2","e44504c1-e83d-4aaf-ae44-f7764a67dbb1","PT4H","Timing"
"Dosing","","","P1D","Dosing anchor","Timing_3","TIM3","953b512f-700c-460e-bd84-360806665533","","Timing"
"Week 2","P3D","-3..3 days","P2W","Week 2 timing","Timing_4","TIM4","f3258227-655c-4982-a5c6-210a6b553965","P3D","Timing"
"Week 4","P3D","-3..3 days","P4W","Week 4 timing","Timing_5","TIM5","d6a491bb-7f46-467a-b837-400c59ad65a1","P3D","Timing"
"Week 6","P3D","-3..3 days","P6W","Week 6 timing","Timing_6","TIM6","4a7d99b6-a86c-436a-a1b2-567483e9e142","P3D","Timing"
"Week 8","P3D","-3..3 days","P8W","Week 8 timing","Timing_7","TIM7","20403e6e-ec95-4f00-9420-18f6270336b7","P3D","Timing"
"Week 12","P4D","-4..4 days","P12W","Week 12 timing","Timing_9","TIM9","ffea8cba-5a1f-40ca-922b-b096ad531b8e","P4D","Timing"
"Week 16","P4D","-4..4 days","P16W","Week 16 timing","Timing_11","TIM11","685cb540-51d9-44a9-869d-14d6dda27684","P4D","Timing"
"Week 20","P4D","-4..4 days","P20W","Week 20 timing","Timing_13","TIM13","aca9341c-26e9-486e-ada1-e4dfb4c24adb","P4D","Timing"
"Week 24","P4D","-4..4 days","P24W","Week 24 timing","Timing_15","TIM15","bebe696e-7368-4103-b5a0-e012bfb69642","P4D","Timing"
"Week 26","P3D","-3..3 days","P26W","Week 26 timing","Timing_16","TIM16","676ed0da-cd6f-4767-81bd-c7c2ee6bb98e","P3D","Timing"
"Week 8 Home","","","P2W","Week 8 at home timing","Timing_8","TIM8","a787a7df-4587-461d-822e-4c4fea320667","","Timing"
"Week 12 Home","","","P2W","Week 12 at home timing","Timing_10","TIM10","c3a417d3-9e95-40ab-a66a-229fca545b7e","","Timing"
"Week 16 Home","","","P2W","Week 16 at home timing","Timing_12","TIM12","b3fc81c8-8a50-4c6d-b7a9-2f1bc1112020","","Timing"
"Week 20 Home","","","P2W","Week 20 at home timing","Timing_14","TIM14","de45a82f-d072-4a32-a061-b3ae36e0de5f","","Timing"
"Adverse Event","","","P1D","Adverse Event","Timing_17","TIM17","a84ab648-edf1-4e50-87f7-607d37e10183","","Timing"
"Early Termination","","","P1D","Early Termination","Timing_18","TIM18","f6e4dc4b-3e97-4f1c-9e34-6b4d9d9d97df","","Timing"
"Supine","","","PT0M","Supine","Timing_19","TIM19","c8d73615-e5d4-4095-b455-eb2c5e168e27","","Timing"
"VS while supine","","","PT5M","VS while supine","Timing_20","TIM20","70090566-6e8c-4d71-8c90-c536e9207944","","Timing"
"Standing","","","PT0M","Standing","Timing_21","TIM21","cd928250-96a4-4117-af1f-541060a2212c","","Timing"
"VS while standing","","","PT1M","VS while standing","Timing_22","TIM22","7533241d-f03d-4c9b-bbe5-4a5894c05931","","Timing"
"Standing","","","PT0M","Standing","Timing_23","TIM23","29a74e10-7b60-4674-88f5-0d53847b6f17","","Timing"
"VS while standing","","","PT2M","VS while standing","Timing_24","TIM24","301b5ce5-e49b-48e4-8120-a91afd9828a1","","Timing"
