"text","sectionNumber","sectionTitle","id","name","uuid:ID","instanceType"
"","0","Root","NarrativeContent_1","ROOT","663e4746-2f0e-43e1-b76c-670782f889dc","NarrativeContent"
"<div><usdm:section name=""M11-title-page""></div>","0","TITLE PAGE","NarrativeContent_2","SECTION 0","672f2c77-77ee-46bf-8e24-90276d6ace7e","NarrativeContent"
"<div></div>","1","PROTOCOL SUMMARY","NarrativeContent_3","SECTION 1","63bb1ea0-ae5c-4d61-bb65-9fd26a07f685","NarrativeContent"
"<div></div>","1.1","Protocol Synopsis","NarrativeContent_4","SECTION 1.1","c8a662be-74e5-4a65-a4d9-224f7f0cf931","NarrativeContent"
"<div></div>","1.2","Trial Schema","NarrativeContent_5","SECTION 1.2","24165317-3a41-4d25-8f56-5b6c457a3ab2","NarrativeContent"
"<div></div>","1.3","Schedule of Activities","NarrativeContent_6","SECTION 1.3","bbe486f9-4ab6-43a9-9d0c-3fec60cf9cf3","NarrativeContent"
"<div></div>","2","INTRODUCTION","NarrativeContent_7","SECTION 2","dd7c4dca-61a8-49ac-bb04-10b1f1c973d3","NarrativeContent"
"<div></div>","2.1","Purpose of Trial","NarrativeContent_8","SECTION 2.1","0176e7e4-8afd-47a9-9a85-7ad7b78cdded","NarrativeContent"
"<div></div>","2.2","Summary of Benefits and Risks","NarrativeContent_9","SECTION 2.2","3f1cc682-a2cc-4a98-9e76-dbf32eb85a57","NarrativeContent"
"<div></div>","3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_10","SECTION 3","37ff60c5-1daa-4829-bf49-fd30b141e1b1","NarrativeContent"
"<div><usdm:section name=""M11-objective-endpoints""></div>","3.1","Primary Objectives","NarrativeContent_11","SECTION 3.1","5e7c61d9-583a-4206-a396-d32bc685b71a","NarrativeContent"
"<div></div>","4","TRIAL DESIGN","NarrativeContent_12","SECTION 4","de46cc38-9a2e-4973-a466-c63d92bf6c95","NarrativeContent"
