"uuid:ID","name","instanceType","id","description","label"
"15a730ce-b186-4420-ad5c-193f3b768484","E1","Encounter","Encounter_1","Screening encounter","Screening 1"
"4707d780-19cf-473e-87ff-607e25bdf673","E2","Encounter","Encounter_2","Screening encounter - Ambulatory ECG Placement","Screening 2"
"1f9b8dad-669d-4233-94dd-2e11bd3f767b","E3","Encounter","Encounter_3","Baseline encounter - Ambulatory ECG Removal","Baseline"
"5671be6d-118a-4377-bda3-7d193338936a","E4","Encounter","Encounter_4","Day 14","Week 2"
"c9c27f28-6914-46a1-8987-380219aa1e93","E5","Encounter","Encounter_5","Day 28","Week 4"
"af96c6df-9477-4be6-b43e-6ab930d5a201","E7","Encounter","Encounter_6","Day 42","Week 6"
"c461b7df-3a46-4e19-99bc-60365db64b8d","E8","Encounter","Encounter_7","Day 56","Week 8"
"123d4c02-7cb5-4e01-a1c8-17527398b2fb","E9","Encounter","Encounter_8","Day 84","Week 12"
"b611ba14-3cdc-4ed0-86a6-73f6592dde17","E10","Encounter","Encounter_9","Day 112","Week 16"
"10bba16c-1871-4820-9a7b-b048d7710de6","E11","Encounter","Encounter_10","Day 140","Week 20"
"7bd241fa-ad36-4e21-a2fc-fd6bcfe5aa8c","E12","Encounter","Encounter_11","Day 168","Week 24"
"3498c135-ae6d-4a97-bae8-6f85c8ad6b44","E13","Encounter","Encounter_12","Day 182","Week 26"
