"uuid:ID","name","purpose","instanceType","id","description","text","label"
"3592f3a5-808c-4873-b699-e3c3b092861f","END1","","Endpoint","Endpoint_1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24",""
"3bdbee0f-dc77-4a3e-9281-50a92d494453","END2","","Endpoint","Endpoint_2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24",""
"52be4915-6d01-4ba4-b3c4-2471a2325fe6","END3","","Endpoint","Endpoint_3","","Adverse events",""
"cacac0e1-5f5b-452c-a7ed-e5f7af9cdbfa","END4","","Endpoint","Endpoint_4","","Vital signs (weight, standing and supine blood pressure, heart rate)",""
"0db3375e-0948-4210-b4d1-0d735d8b5786","END5","","Endpoint","Endpoint_5","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Laboratory evaluations (Change from Baseline)",""
"9b35779f-472c-4ea1-bd65-5ebc16cafb72","END6","","Endpoint","Endpoint_6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16",""
"909ed49e-a280-4e07-b493-089076ad440e","END7","","Endpoint","Endpoint_7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16",""
"e529d281-76fa-462a-babd-250dd9c53e61","END8","","Endpoint","Endpoint_8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24",""
"89ffa65c-5424-4b9f-a1de-16b76bb09f46","END9","","Endpoint","Endpoint_9","","*** To be determined from protocol ***",""
"ec1c62fc-0439-42d4-9605-2450e6f3e507","END10","","Endpoint","Endpoint_10","","*** To be determined from protocol ***",""
"8772e664-dc1c-4c0a-95d0-8b4cd76e8e57","END11","","Endpoint","Endpoint_11","","*** To be determined from protocol ***",""
