"uuid:ID","codeSystem","instanceType","code","decode","id","codeSystemVersion"
"2f4fe37e-2a2a-43ab-a73e-e56a7c966f8f","http://www.cdisc.org","Code","C98388","Interventional Study","Code_1","2023-12-15"
"c7a06f16-654b-453d-bf4f-c2af87013d2e","http://www.cdisc.org","Code","C15601","Phase II Trial","Code_2","2023-12-15"
"167b7ccc-b900-4c6d-9a23-95df90325411","http://www.cdisc.org","Code","C132352","Sponsor Approval Date","Code_9","2023-12-15"
"2803beb6-be08-4a7f-b652-1f19e6e46d88","http://www.cdisc.org","Code","C68846","Global","Code_10","2023-12-15"
"681a6fdf-30ea-4d1a-bb1b-dc7e3d6e2efd","http://www.cdisc.org","Code","C99904x3","IRB/IEC Feedback","Code_72","2023-12-15"
"b2b02226-4653-4d0e-8145-095bf64b593a","http://www.cdisc.org","Code","C17649","Other","Code_73","2023-12-15"
"c1c77fac-fa9a-4c6e-a4d2-8930955a4656","http://www.cdisc.org","Code","C41129","Region","Code_75","2023-12-15"
"35c5515e-1a82-4345-a9c0-d79e29a57b4e","ISO 3166 1 alpha3","Code","150","Europe","Code_74","2020-08"
"43c9a5f2-1b99-45d1-bbd3-83ad1e52c2d8","SPONSOR","Code","PHARMA","Eli Lilly","Code_4","12"
"c3406f57-7ddc-45c6-972c-050ee3138052","http://www.cdisc.org","Code","C70793","Clinical Study Sponsor","Code_76","2023-12-15"
"be14f61c-364a-425b-9e66-da55a6d034df","ISO 3166 1 alpha3","Code","USA","United States of America","Code_77","2020-08"
"62fa9107-f45c-455a-9779-c74ea32eadf6","http://www.cdisc.org","Code","C93453","Study Registry","Code_78","2023-12-15"
"2c2951b8-4862-4687-ba65-2812eb96a0a8","ISO 3166 1 alpha3","Code","USA","United States of America","Code_79","2020-08"
"3423b763-e0b7-49f6-b6b2-418731c5982c","http://www.cdisc.org","Code","C49656","Treatment Study","Code_137","2023-12-15"
"163b257b-b5bc-49ba-8387-f5db6ab80cf9","http://www.cdisc.org","Code","C49666","Efficacy Study","Code_138","2023-12-15"
"fe0e73b1-6f25-4483-9f6f-814ef37dac02","http://www.cdisc.org","Code","C49667","Safety Study","Code_139","2023-12-15"
"37570750-d7d0-49f9-926f-54cd34c8a943","http://www.cdisc.org","Code","C49663","Pharmacokinetic Study","Code_140","2023-12-15"
"2686c99a-fe64-4a0d-a4b3-9f628cf53768","SPONSOR","Code","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease","Code_134","12"
"da30cb84-f58a-4a1a-ab8e-f2d60ad0c784","SNOMED","Code","26929004","Alzheimer's disease","Code_135","January 31, 2018"
"ce77b6b1-ffef-4476-9050-b0e64f8181dd","http://www.cdisc.org","Code","C99907x1","EXTENSION","Code_143","2023-12-15"
"af0785bb-76a3-4e8f-b0e4-5683155dbfba","http://www.cdisc.org","Code","C98704","ADAPTIVE","Code_144","2023-12-15"
"fa75ed4a-af5f-4cf6-9e1c-704c177defb0","http://www.cdisc.org","Code","C82639","Parallel Study","Code_141","2023-12-15"
"8256be91-fd45-4fe1-a0ff-34e76e4c41c8","http://www.cdisc.org","Code","C25716","Visit","Code_83","2023-12-15"
"1a8223af-b27a-4918-87a8-f3e7d5efb0a9","http://www.cdisc.org","Code","C51282","Clinic","Code_84","2023-12-15"
"19e67b4f-b939-4e07-8034-110eefbed6aa","http://www.cdisc.org","Code","C175574","In Person","Code_85","2023-12-15"
"56214257-3996-4879-970c-960cab48b990","http://www.cdisc.org","Code","C25716","Visit","Code_86","2023-12-15"
"677098e5-38e3-4fd6-858b-9189a351fb54","http://www.cdisc.org","Code","C51282","Clinic","Code_87","2023-12-15"
"f79dde0d-d3b3-46a5-b929-1545989eab19","http://www.cdisc.org","Code","C175574","In Person","Code_88","2023-12-15"
"c32abab4-7882-4a54-9be9-f8e773333b48","http://www.cdisc.org","Code","C25716","Visit","Code_89","2023-12-15"
"a00ffef9-d1c0-4703-a010-452c7eb3ca0e","http://www.cdisc.org","Code","C51282","Clinic","Code_90","2023-12-15"
"9819ad20-d8ef-4f90-996a-4c6da094e1d3","http://www.cdisc.org","Code","C175574","In Person","Code_91","2023-12-15"
"f2b87bbd-3510-4a36-9033-e9254ce0017b","http://www.cdisc.org","Code","C25716","Visit","Code_92","2023-12-15"
"0f167f00-cda8-486c-9058-b32613438553","http://www.cdisc.org","Code","C51282","Clinic","Code_93","2023-12-15"
"26e3eda3-3a74-4ad7-a55d-22cc999d8f86","http://www.cdisc.org","Code","C175574","In Person","Code_94","2023-12-15"
"e1a1c8b0-bcd2-4c1e-87db-37f40f0f3502","http://www.cdisc.org","Code","C25716","Visit","Code_95","2023-12-15"
"827cf259-dbfa-4d2d-a7a5-9bf397762651","http://www.cdisc.org","Code","C51282","Clinic","Code_96","2023-12-15"
"61c70971-f908-4b9e-903d-40b897f87f05","http://www.cdisc.org","Code","C175574","In Person","Code_97","2023-12-15"
"78856bd4-f3f7-4d00-b919-702ad50157a0","http://www.cdisc.org","Code","C25716","Visit","Code_98","2023-12-15"
