"uuid:ID","name","instanceType","id","text"
"e29fbabd-325f-4ad0-9ba5-abb78358d9a3","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_1","Subject identifier"
"f189adaa-9a98-4d98-98f1-485396eda402","ENCOUNTER_START_RULE_1","TransitionRule","TransitionRule_2","completion of screening activities"
"1acc4913-afbd-4763-9628-77e93fe38a03","ENCOUNTER_START_RULE_2","TransitionRule","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"461e6d4c-216a-48b3-a2e6-e98cdf4dc269","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"62a6c394-29d6-4e28-b22b-e7640507513e","ENCOUNTER_START_RULE_3","TransitionRule","TransitionRule_5","Radomized"
"0193522e-ccf1-4a60-a35e-ff86bdbb8de8","ENCOUNTER_START_RULE_12","TransitionRule","TransitionRule_6","End of treatment"
"e566a0f8-810d-46ce-bbd5-e927424f104a","ELEMENT_START_RULE_1","TransitionRule","TransitionRule_7","Informed consent"
"eba846b1-983d-483f-ae40-88f959a997b2","ELEMENT_END_RULE_1","TransitionRule","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"01f5253f-1393-4c6b-bd82-8007ce2157a5","ELEMENT_START_RULE_2","TransitionRule","TransitionRule_9","Administration of first dose"
"a358802e-1e2b-4f0c-a722-c7c8c22ca595","ELEMENT_START_RULE_7","TransitionRule","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"6a6e495f-166e-4ccc-a0f2-e2d280146323","ELEMENT_END_RULE_7","TransitionRule","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"1307ea58-b9c2-46f6-ad51-f220d2cf3717","ELEMENT_START_RULE_3","TransitionRule","TransitionRule_10","Administration of first dose"
"4fe6412c-197d-41d0-a8ac-36ee82ceddcd","ELEMENT_START_RULE_4","TransitionRule","TransitionRule_11","Randomized"
"4dfbc041-be0b-4e7c-8df3-e544f219cb7a","ELEMENT_START_RULE_5","TransitionRule","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"22a3047a-2d80-410b-9ae7-2e8f52833d95","ELEMENT_START_RULE_6","TransitionRule","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
