"uuid:ID","name","instanceType","id","description","label"
"80d05add-11e4-4559-9bf8-5110e2adbda1","SCREEN1","ScheduledActivityInstance","ScheduledActivityInstance_9","-","Screen One"
"d6b54f65-6bd2-4dc3-af52-9b7fefc236a5","SCREEN2","ScheduledActivityInstance","ScheduledActivityInstance_10","-","Screen Two"
"e115b325-1eba-461e-859c-19da64b4747b","DOSE","ScheduledActivityInstance","ScheduledActivityInstance_11","-","Dose"
"1f5d5e3d-9373-4442-837d-21577958de1e","WK2","ScheduledActivityInstance","ScheduledActivityInstance_12","-","Week 2"
"ee191e62-891c-499b-bda1-e81e7cbdb89c","WK4","ScheduledActivityInstance","ScheduledActivityInstance_13","-","Week 4"
"d6f19fc0-7296-42ef-9507-3b7af13fba83","WK6","ScheduledActivityInstance","ScheduledActivityInstance_14","-","Week 6"
"10e8d38a-ac9c-4026-b841-466e6058e60d","WK8","ScheduledActivityInstance","ScheduledActivityInstance_15","-","Week 8"
"6109b021-a310-43da-9384-b58640378116","WK8N","ScheduledActivityInstance","ScheduledActivityInstance_16","-","Week NPI"
"b6a9cc42-0ef0-4daa-8170-016e9b061d1f","WK12","ScheduledActivityInstance","ScheduledActivityInstance_17","-","Week 12"
"4f62d275-e6de-4fbb-a037-e5a17cad2db4","WK12N","ScheduledActivityInstance","ScheduledActivityInstance_18","-","Week 12 NPI"
"4bbb51ee-413c-447f-9550-e707fb81d7db","WK16","ScheduledActivityInstance","ScheduledActivityInstance_19","-","Week 16"
"135f8db9-d8a4-40b2-bed3-5eb17f42f6ac","WK16N","ScheduledActivityInstance","ScheduledActivityInstance_20","-","Week 16 NPI"
"8e5fd3c4-e576-4659-8403-5f70f7016561","WK20","ScheduledActivityInstance","ScheduledActivityInstance_21","-","Week 20"
"ac2abf00-892c-4d08-bc99-92dcac8a4c6a","WK20N","ScheduledActivityInstance","ScheduledActivityInstance_22","-","Week 20 NPI"
"62176af8-28f9-491f-a995-2a1bb1b9df83","WK24","ScheduledActivityInstance","ScheduledActivityInstance_23","-","Week 24"
"bade8bfb-1795-4131-b239-9f8bbb2cedda","WK26","ScheduledActivityInstance","ScheduledActivityInstance_24","-","Week 26"
"5b90e83f-29ce-463f-838d-9355447b97f3","AE","ScheduledActivityInstance","ScheduledActivityInstance_1","-","Adevers Event"
"4412b3ea-9879-4f1a-acb8-021a5a8a2274","ET","ScheduledActivityInstance","ScheduledActivityInstance_2","-","Early Termination"
"d0e103c7-4d4f-4441-b05c-d482fef2dcb5","VS_5MIN","ScheduledActivityInstance","ScheduledActivityInstance_3","","5 minute supine"
"4677846f-4145-4b90-a166-b9ede2648f67","VS_SUPINE","ScheduledActivityInstance","ScheduledActivityInstance_4","","Vital signs supine"
"11568a68-0819-48bc-a821-d7c9055e26e5","VS_1MIN","ScheduledActivityInstance","ScheduledActivityInstance_5","","1 minute standing"
"d1c14ebe-5a63-481c-8986-445742026aeb","VS_STAND1","ScheduledActivityInstance","ScheduledActivityInstance_6","","Vital signs after 1 min standing"
"6ade1955-02fa-4c8a-820f-ab41e7af4941","VS_2MIN","ScheduledActivityInstance","ScheduledActivityInstance_7","","2 minute standing"
"ab941ff1-eb11-432b-a7f8-9d2b145f508a","VS_STAND3","ScheduledActivityInstance","ScheduledActivityInstance_8","","Vital signs after 3 min standing"
