"uuid:ID","name","instanceType","id","description","label"
"80f470ec-b99e-41fd-a465-d091646b2546","Informed consent","Activity","Activity_1","","Informed consent"
"598db34a-9040-47f8-9b3a-3850889a0a9d","Inclusion/exclusion criteria","Activity","Activity_2","","Inclusion and exclusion criteria"
"5be4a149-9a64-4393-abcc-c936f2d8d98b","Patient number assigned","Activity","Activity_3","","Patient number assigned"
"41420264-f91e-4984-9a30-97f43b2012e2","Demographics","Activity","Activity_4","","Demographics"
"5b617bd2-31c3-4b1f-b47f-e75b4a929c00","Hachinski","Activity","Activity_5","","Hachinski Ischemic Scale"
"dc1e7e36-5e55-4f49-b4a4-df422ba804bc","MMSE","Activity","Activity_6","","MMSE"
"21578df9-0963-465d-8338-6e3c07812d8b","Physical examination","Activity","Activity_7","","Physical examination"
"d0e6519f-8998-4ef2-9f02-70647af13ab9","Medical history","Activity","Activity_8","","Medical history"
"f9140c21-8e45-4943-85e6-1fdd7f7faa64","Habits","Activity","Activity_9","","Habits"
"35ce8c6b-a89d-4e11-9425-6291d5ddda13","Chest X-ray","Activity","Activity_10","","Chest X-ray"
"7ddb4ad3-517e-4b84-a154-ea07a44291c6","Apo E genotyping","Activity","Activity_11","","Apo E genotyping"
"ca240404-2161-42f5-b576-6417d5880f00","Patient randomised","Activity","Activity_12","","Patient randomised"
"8bfb9304-b54f-45e1-9f8b-8dc996e1586c","Vital signs / Temperature","Activity","Activity_13","","Vital Signs and Temperature"
"216ae1f6-8d6e-4fae-8a27-43510af4fd6e","Ambulatory ECG placed","Activity","Activity_14","","Ambulatory ECG placed"
"4a9320c7-13b5-4b94-ae24-1153b3f2d20c","Ambulatory ECG removed","Activity","Activity_15","","Ambulatory ECG removed"
"b9196c1c-b8d5-450b-9930-78141b96f344","ECG","Activity","Activity_16","","ECG"
"4ef5265e-5fad-4fa1-8cf9-f61faad392e6","Placebo TTS test","Activity","Activity_17","","Placebo TTS test"
"b9de7c50-18ab-4601-b611-bb4cb59252f3","CT scan","Activity","Activity_18","","CT scan"
"5aa1d9a7-350c-4fd8-ad9c-203ecfd4e0c5","Concomitant medications","Activity","Activity_19","","Concomitant medications"
"3cc3ee41-a7d8-4a91-9b4c-ae85ae38b4dd","Hematology","Activity","Activity_20","","Hematology"
"62a2fe1d-86e7-41e2-a6a9-97f3db6d0afa","Chemistry","Activity","Activity_21","","Chemistry"
"d1376e95-ecaf-4ba6-818b-863213fc040e","Uninalysis","Activity","Activity_22","","Uninalysis"
"de4e70fd-fbbe-4679-9123-d4060dac6e36","Plasma Specimen (Xanomeline)","Activity","Activity_23","","Plasma Specimen (Xanomeline)"
"867c92aa-4930-4d9b-b90c-a11ba2524fe5","Hemoglobin A1C","Activity","Activity_24","","Hemoglobin A1C"
"9041b330-a992-4984-b6f6-42243db27ac8","Study drug","Activity","Activity_25","","Study drug record , Medications dispensed, Medications returned"
"193b2168-ca83-4603-a46d-6c17a88d9299","TTS Acceptability Survey","Activity","Activity_26","","TTS Acceptability Survey"
"ca93d68f-d119-481a-97ad-bf6a48209146","ADAS-Cog","Activity","Activity_27","","ADAS-Cog"
"d0810328-3215-420f-b110-9711ced29ec7","CIBIC+","Activity","Activity_28","","CIBIC+"
"e8e1155e-2a76-4556-ad00-ee369d7e4b73","DAD","Activity","Activity_29","","DAD"
"263846b3-fe94-4ed1-8d6b-e55b6f2a26c9","NPI-X","Activity","Activity_30","","NPI-X"
"764b261f-18a2-4e01-84b2-b9dc75c3a720","Adverse events","Activity","Activity_31","","Adverse events"
"8c219488-b5bb-4c24-a4bf-e3859a8844bc","Check adverse events","Activity","Activity_32","","Check adverse events"
"1e4d6616-b737-46ed-949d-b125b57b6dbf","Supine","Activity","Activity_33","","Subject supine"
"a77af5bc-4100-438a-bde6-12a6c63aaa88","Vital Signs Supine","Activity","Activity_34","","Vital signs while supine"
"a834a7be-dad7-43fa-87bf-690524dd0998","Stand","Activity","Activity_35","","Subject Standing"
"37303829-2b12-411e-8232-adf554f8d4c3","Vital Signs Standing","Activity","Activity_36","","Vital signs while standing"
