"uuid:ID","name","synonyms","reference","instanceType","id","label"
"6b498a72-e37d-4003-ad94-37e55a4c0245","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept","BiomedicalConcept_20","Informed Consent Obtained"
"e7ecbabd-39fa-4773-834f-86414349462b","Sex","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","BiomedicalConcept_21","Sex"
"751b610a-1127-4905-8a98-149edcdd9811","Race","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","BiomedicalConcept_22","Race"
"b4addbc8-31b0-44e6-9151-09493d1c2cc0","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","BiomedicalConcept_23","Temperature"
"0b1bafc2-caf8-4407-a562-e00902e3806f","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","BiomedicalConcept_24","Weight"
"ede49b7c-971c-4ef4-b3df-15460ce09377","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","BiomedicalConcept_25","Height"
"6f367341-dbf4-41a9-b84a-2abc90e54535","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma"
"11753805-3210-486c-bdf4-d0b354be411f","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","BiomedicalConcept_27","Albumin Presence in Urine"
"3b52375e-0f7a-45ef-84a0-0191c9730a9f","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma"
"743460a9-dec5-4701-a7f4-c2a96558ba38","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma"
"26626a07-bb5f-4a2c-b886-635e09f4e2ed","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","BiomedicalConcept_30","Creatinine Concentration in Urine"
"9c55b678-eb3f-42fd-816c-720055b5a458","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","BiomedicalConcept_31","Potassium Concentration in Urine"
"19a0e8bc-4851-43e9-b33b-60731cdac3b9","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","BiomedicalConcept_32","Sodium Concentration in Urine"
"58a0ed93-a9b9-40bb-9aaa-5a34fbccadec","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood"
"76555ce9-33e5-4057-bc0b-36c71d5d4a2c","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","BiomedicalConcept_1","Adverse Event Prespecified"
"4716917a-e098-4136-a01f-de891c03b1aa","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_2","Systolic Blood Pressure"
