"id","description","instanceType","label","name","uuid:ID"
"Activity_1","Informed Consent","Activity","Informed Consent","INFORMED_CONSENT","608ef687-151e-406e-b1ba-2a11118bffbc"
"Activity_2","Randomization","Activity","Randomization","RANDOMIZATION","70e1f08f-1087-4428-aa71-5451c7b42b80"
"Activity_3","Admission to CRU","Activity","Admission to CRU","ADMISSION","ff774342-9b78-4d7d-bf8c-ed869c857b2c"
"Activity_4","Discharge from CRU","Activity","Discharge from CRU","DISCHARGE","b5d60634-7469-4465-8c5f-05acade09f5f"
"Activity_5","Medical History","Activity","Medical History","MEDICAL HISTORY","60b0cb2e-8356-48c0-b164-93baab1e11d8"
"Activity_6","Collect Pre-existing Conditions and Adverse Events","Activity","Collect Pre-existing Conditions and Adverse Events","PRE_EXIST_AND_AE","12ce6af6-f5d1-435a-bf9a-defaa58bff93"
"Activity_7","Physical Exam","Activity","Physical Exam","PHYSICAL EXAM","4ba8751f-7136-4413-8b95-a4e490331c98"
"Activity_8","Height and Weight","Activity","Height and Weight","HEIGHT_WEIGHT","b3878fb7-4682-4d0d-bc24-885ed88a449d"
"Activity_9","Hypoglycemic Events","Activity","Hypoglycemic Events","HYPOGLYCEMIC_EVENTS","0205dac4-7523-4182-a606-669a8366cf5a"
"Activity_10","Concomitant Medication","Activity","Collect Concomitant Medications","CONCOMITANT MEDS","8c6243a6-0013-4210-af62-6be4cd6a77f4"
"Activity_11","Insulin infusion","Activity","Insulin infusion to Induce Hypoglycemia","INSULIN_INFUSION","a7b54f0a-9e4b-4478-9706-851e5e42ce2c"
"Activity_12","PG Monitoring","Activity","PG Monitoring","PG_MONITOR","02fc30c2-4ae9-4841-867a-b549aa3a7843"
"Activity_13","Study Treatment administration","Activity","Study Treatment Administration","STUDY_TREATMENT","b239c61f-a5db-4657-b761-f895fb76956d"
"Activity_16","Vital Signs","Activity","Vital Signs (Supine Blood Pressure, Pulse Rate, and Body Temperature)","VITAL_SIGNS","30794068-b90b-4892-b81b-71451ad7246d"
"Activity_17","Single 12-lead ECG (Local)","Activity","Single 12-lead ECG (Local)","SINGLE_ECG","aa4ba381-a7c7-465e-9a2e-c8fd59e88cee"
"Activity_18","Triplicate 12-lead ECG","Activity","Triplicate 12-lead ECG (Central)","TRIPLICATE_ECG","ec451670-2bab-47a6-ac82-9ecc9911e7e0"
"Activity_19","Clinical Serology Tests","Activity","Clinical Serology Tests","SEROLOGY","c020a0c8-c2ed-435d-9153-f81e381f001e"
"Activity_20","Clinical Lab Tests","Activity","Clinical Lab Tests","LAB_TESTS","a4fc1d19-754b-4dfa-8b01-caa55975d8ce"
"Activity_21","HbA1c","Activity","HbA1c","HBA1C","80298d40-fb0d-4f5b-94bc-655ecd2173a2"
"Activity_22","Pregnancy Tests","Activity","Pregnancy Test (Female patients of childbearing potential only)","PREGNANCY","b1e6b711-8e20-4071-b78a-903816d26426"
"Activity_23","Follicle-stimulating hormone","Activity","FSH (Female patients only)","FSH","1cfc589e-aa97-44a8-94bc-45c32fba1699"
"Activity_24","Ethanol testing","Activity","Ethanol testing","ETHANOL","350de09c-3e27-416d-ba51-e16e5569b4cd"
"Activity_25","Urine Drug Screen","Activity","Urine Drug Screen","DRUG_SCREEN","b587923c-483a-42bc-98e5-463dc7ed1715"
"Activity_26","PK (Glucagon)","Activity","PK (Glucagon)","PK_GLUCAGON","ac02bf43-84bb-4634-8747-918cc02866ec"
"Activity_27","Plasma Glucose for PD","Activity","Plasma Glucose for PD","PLASMA_GLUCOSE","608494e1-2928-4a9f-94d6-015fd95c9577"
"Activity_28","Genetic Sample","Activity","Genetic Sample (stored)","GENETIC_SAMPLE","0838545d-9eb1-4d55-b504-e92d0b1b7d4a"
"Activity_29","Anti-glucagon antibodies","Activity","Anti-glucagon Antibodies","ANTIBODIES","5811cebd-afd7-47ec-a58b-99dc045507bb"
"Activity_30","Clarke Hypoglycemia Awareness Survey","Activity","Clarke Hypoglycemia Awareness Survey","CLARKE_SURVEY","e74de95d-159f-4f81-a92f-4b1607aee08a"
"Activity_31","Nasal and Non-nasal Score Quaestionnaire","Activity","Nasal and Non-nasal Score Quaestionnaire","NASAL_SCORE","78c45e86-0583-4e93-8abf-34d2b52b579e"
"Activity_32","Edinburgh Hypoglycemia Scale: Experimental Hypoglycemia","Activity","Edinburgh Hypoglycemia Scale: Experimental Hypoglycemia","EDINBURGH_SCALE","3df47db3-f5e9-4a18-85bf-84be36f0f3da"
"Activity_34","Weight","Activity","Weight","WEIGHT","50aed87d-a4da-4a69-b119-5c9ad49d4f78"
"Activity_14","Injection Site Assessment","Activity","Injection-Site Assessment","INJ_SITE_ASSESSMENT","3b11931c-dba2-4853-9e65-02f776a8b15c"
"Activity_15","Nasal inspection","Activity","Nasal Inspection","NASAL_INSPECTION","28c280f1-eb7d-414a-8c81-bf27910e0ab8"
"Activity_33","Meal","Activity","Meal","MEAL","32955e7d-c4fe-43c5-bc61-0fcfb734a0d5"
