"id","value","window","description","instanceType","label","name","windowLower","windowUpper","uuid:ID"
"Timing_1","P28D","0..26 Days","Screening visit timing","Timing","-28 Days","TIMING_1","P0D","P26D","700700d0-0386-4dd0-a9e9-7f79deebb638"
"Timing_2","P1D","","Period 1, Day Minus 1 timing","Timing","-1 Day","TIMING_2","","","e5dc8aab-b8dc-4d87-ad53-b3ac2b714fdb"
"Timing_3","PT0M","","Period 1, Radomisation timing","Timing","Radomisation","TIMING_3","","","a7bbe3c8-6d5a-48bc-b815-97e69e216c5a"
"Timing_4","PT0M","","Period 1, Pre infusion timing","Timing","Pre infusion","TIMING_4","","","2247c81a-1cce-4f34-b315-34ca744991f3"
"Timing_5","PT0M","","Period 1, Infusion timing","Timing","Infusion","TIMING_5","","","6eab16e7-d2ce-4873-82e4-aa82b0dfb797"
"Timing_6","P1D","","Period 1, Treatment anchor","Timing","Day 1","TIMING_6","","","78d161b7-1e18-4756-9453-bd7b84007d17"
"Timing_7","PT0M","","Period 1, Discharge timing","Timing","Discharge","TIMING_7","","","45080dd2-b730-4815-b573-3b40f53c3ed0"
"Timing_8","P3D","0.. 11 Days","Washout timing","Timing","Washout","TIMING_8","P0D","P11D","77592c0c-f4a3-4d5d-b0d8-915f95370e01"
"Timing_9","P0D","","Period 2, Day Minus 1 timing","Timing","-1 Day","TIMING_9","","","3121e593-fd5a-4289-b27b-836014bad051"
"Timing_10","P1D","","Period 2, Pre infusion timing","Timing","Pre infusion","TIMING_10","","","cbbc6711-bbe0-4e61-9b72-df87ebb7d37a"
"Timing_11","PT0M","","Period 2, Infusion timing","Timing","Infusion","TIMING_11","","","442c7d64-4850-4998-a088-b98e77dc9f8c"
"Timing_12","PT0M","","Period 2, Treatment anchor","Timing","Day 1","TIMING_12","","","01fc40d4-9120-4209-9fcc-0036a7a29f4c"
"Timing_13","PT0M","","Period 2, Discharge timing","Timing","Discharge","TIMING_13","","","47878676-b8ba-4d0c-8583-2fab02cd9d03"
"Timing_14","P28D","2..2 Days","Follow Up timing","Timing","Follow up","TIMING_14","P2D","P2D","27a4b846-3d87-4485-a0b2-7558868debd4"
"Timing_15","P1D","","Additional Follow Up timing","Timing","Additional Follow Up","TIMING_15","","","0ed5f72c-11b2-45a4-8307-c7c88c748025"
"Timing_31","PT0M","","Pre Hypoglycemia Induction timing","Timing","Pre Hypoglycemia Induction","TIMING_31","","","00bfa8be-172f-437f-bc43-be354d2ace60"
"Timing_32","PT30M","","30 min before timing","Timing","30 min before","TIMING_32","","","3c0c1728-3020-418c-a6d8-27c9d5dfeaab"
"Timing_33","PT15M","","15 min before timing","Timing","15 min before","TIMING_33","","","4fdcd581-ce0e-4fec-bde5-22d2dde95720"
"Timing_34","PT0M","","Hypoglycemia Induction timing","Timing","Hypoglycemia Induction","TIMING_34","","","857bbd55-a2d0-40b7-9b6b-983e4e7bf899"
"Timing_35","PT0M","","Hypoglycemia Induction complete timing","Timing","Hypoglycemia Induction finished","TIMING_36","","","5df794bb-6018-48ef-933f-73ea9f8e7a3d"
"Timing_16","PT0M","","Pre Dose timing","Timing","Pre Dose","TIMING_16","","","c49efea2-aa9c-49bd-ab56-1057609526c6"
"Timing_17","PT0M","","Dose Timing","Timing","Dose","TIMING_17","","","b4db1899-4100-485f-bb28-e7d75de62f45"
"Timing_18","PT5M","","5 min","Timing","5 min","TIMING_18","","","0e0b55dc-610d-42bd-bef1-47cf64b9d11c"
"Timing_19","PT10M","","10 min","Timing","10 min","TIMING_19","","","d178aec5-2697-4d3d-8b94-c4b730ffb38d"
"Timing_20","PT15M","","15 min","Timing","15 min","TIMING_20","","","c372dde6-d41f-4e19-932e-d47669debc75"
"Timing_21","PT20M","","20 min","Timing","20 min","TIMING_21","","","62aeac2d-e91a-4413-a36b-d88f3432c18a"
"Timing_22","PT25M","","25 min","Timing","25 min","TIMING_22","","","90231594-c3fa-4760-b0cb-edc90f890128"
"Timing_23","PT30M","","30 min","Timing","30 min","TIMING_23","","","674da2c6-8d26-4ba3-ba82-17bf05c2dfe9"
"Timing_24","PT40M","","40 min","Timing","40 min","TIMING_24","","","d8279eb6-f61e-404d-8b30-402a75fc736d"
"Timing_25","PT50M","","50min","Timing","50min","TIMING_25","","","d48a39a8-a2d3-4f2e-8960-c4a0d421a204"
"Timing_26","PT60M","","60min","Timing","60min","TIMING_26","","","d7b76220-1636-42f9-beb6-f1e4586fa3d7"
"Timing_27","PT90M","","90 min","Timing","90 min","TIMING_27","","","8006676e-adf3-4505-8e4e-e7b78559dd79"
"Timing_28","PT120M","","120 min","Timing","120 min","TIMING_28","","","14f15b25-7d04-4e44-9054-f9edfcf69b18"
"Timing_29","PT240M","","240 min","Timing","240 min","TIMING_29","","","0f6c38d8-3cb0-4a0c-973e-dc214bd69f32"
"Timing_30","PT0M","","Meal Timing","Timing","Meal","TIMING_30","","","fce504e2-6a49-4b80-b789-4a3e51b03a7e"
