"id","description","instanceType","label","reference","name","uuid:ID"
"BiomedicalConceptSurrogate_2","Informed Consent Obtained","BiomedicalConceptSurrogate","Informed Consent Obtained","None set","Informed Consent Obtained","ddbc1b6f-149f-4659-860f-4346da9a69f9"
"BiomedicalConceptSurrogate_3","Medical History Free Text Format","BiomedicalConceptSurrogate","Medical History Free Text Format","None set","Medical History Free Text Format","ba9d481e-7671-4a78-ba00-442067265895"
"BiomedicalConceptSurrogate_4","Weight","BiomedicalConceptSurrogate","Weight","None set","Weight","5780c14e-df57-4d09-ae13-a897f97becd1"
"BiomedicalConceptSurrogate_5","Height","BiomedicalConceptSurrogate","Height","None set","Height","ae69496e-e9c0-46c6-803c-d83127a98247"
"BiomedicalConceptSurrogate_6","Concomitant Medication Free Text Format","BiomedicalConceptSurrogate","Concomitant Medication Free Text Format","None set","Concomitant Medication Free Text Format","51f5078d-ffa6-4308-9e85-5925aa209325"
"BiomedicalConceptSurrogate_7","SYSBP","BiomedicalConceptSurrogate","SYSBP","None set","SYSBP","6c57c8f4-5883-4daa-9b2a-2bbfa6a1b514"
"BiomedicalConceptSurrogate_8","DIABP","BiomedicalConceptSurrogate","DIABP","None set","DIABP","e239e11f-98cc-4827-912d-461ca9774c1c"
"BiomedicalConceptSurrogate_9","Hepatitis B surface antigen","BiomedicalConceptSurrogate","Hepatitis B surface antigen","None set","Hepatitis B surface antigen","0c948b67-3387-4e17-ada9-ce47f1979183"
"BiomedicalConceptSurrogate_10","Hepatitis C antibody","BiomedicalConceptSurrogate","Hepatitis C antibody","None set","Hepatitis C antibody","c0350748-aa6a-401b-9f2f-42ee277ab9dc"
"BiomedicalConceptSurrogate_11","HIV","BiomedicalConceptSurrogate","HIV","None set","HIV","8698ee08-fc1c-419f-9858-1ca95a5c9e77"
"BiomedicalConceptSurrogate_12","Syphilis","BiomedicalConceptSurrogate","Syphilis","None set","Syphilis","31838c5b-a0e0-4730-831a-5d64d0fcabf5"
"BiomedicalConceptSurrogate_13","Hematocrit","BiomedicalConceptSurrogate","Hematocrit","None set","Hematocrit","43151968-0fd4-49e5-b3a9-ebc7d57dc477"
"BiomedicalConceptSurrogate_14","Hemoglobin","BiomedicalConceptSurrogate","Hemoglobin","None set","Hemoglobin","c15b54b9-a284-48a2-a581-b77a3c076a1c"
"BiomedicalConceptSurrogate_15","Erythrocyte count (RBC)","BiomedicalConceptSurrogate","Erythrocyte count (RBC)","None set","Erythrocyte count (RBC)","2948ce07-9b5d-4d25-9b36-0bbade12e86d"
"BiomedicalConceptSurrogate_16","Mean cell volume","BiomedicalConceptSurrogate","Mean cell volume","None set","Mean cell volume","d86dcd7a-276b-4720-9f51-0a480e157b9a"
"BiomedicalConceptSurrogate_17","Mean cell hemoglobin","BiomedicalConceptSurrogate","Mean cell hemoglobin","None set","Mean cell hemoglobin","196093c9-b388-4183-a5ab-1f148ce34d51"
"BiomedicalConceptSurrogate_18","Mean cell hemoglobin concentration","BiomedicalConceptSurrogate","Mean cell hemoglobin concentration","None set","Mean cell hemoglobin concentration","ba0ad1c1-27ba-4050-aec6-0f155163d163"
"BiomedicalConceptSurrogate_19","Platelets","BiomedicalConceptSurrogate","Platelets","None set","Platelets","387c3459-e1ee-457c-ab48-a8beffef15d0"
"BiomedicalConceptSurrogate_20","Leukocytes (WBC)","BiomedicalConceptSurrogate","Leukocytes (WBC)","None set","Leukocytes (WBC)","5478ac13-6d60-4b6f-8293-9118de44390a"
"BiomedicalConceptSurrogate_21","Cell morphology","BiomedicalConceptSurrogate","Cell morphology","None set","Cell morphology","141a2ad0-e583-4b13-8a3d-f7a81a29937b"
"BiomedicalConceptSurrogate_22","Neutrophils","BiomedicalConceptSurrogate","Neutrophils","None set","Neutrophils","27dd631c-bf52-4f5a-a4be-d76631d13f22"
"BiomedicalConceptSurrogate_23","Lymphocytes","BiomedicalConceptSurrogate","Lymphocytes","None set","Lymphocytes","5c15273e-30eb-477a-99ed-f5821da51894"
"BiomedicalConceptSurrogate_24","Monocytes","BiomedicalConceptSurrogate","Monocytes","None set","Monocytes","fb62b2ee-49e7-4a43-bfab-6024b6bb58fe"
"BiomedicalConceptSurrogate_25","Eosinophils","BiomedicalConceptSurrogate","Eosinophils","None set","Eosinophils","93bad593-b22f-4e13-b523-bc56d6ca4a2d"
"BiomedicalConceptSurrogate_26","Basophils","BiomedicalConceptSurrogate","Basophils","None set","Basophils","be4ce5ce-d21e-4feb-a403-2a0d26c58ad8"
"BiomedicalConceptSurrogate_27","Sodium","BiomedicalConceptSurrogate","Sodium","None set","Sodium","ba9e0ad7-3b7f-4f39-a1ae-3678978f6572"
